n_agents,alpha,mean,ci_low,ci_high,independent_panels,cluster_bootstrap_replicates
8.0,0.0,-0.02576406998533392,-0.04446755051373901,-0.009292570441039446,16,10000
8.0,0.2,-0.02794880894365084,-0.045490853870336835,-0.012130487106807879,16,10000
8.0,0.5,-0.020597213752953328,-0.03658298899495366,-0.006062778528937383,16,10000
8.0,0.8,-0.01969617029461098,-0.03230890178667352,-0.00782954388905821,16,10000
16.0,0.0,-0.057759052282030786,-0.08216246305118789,-0.034486093945803424,16,10000
16.0,0.2,-0.05798586740656995,-0.08013888506431176,-0.0362257333499362,16,10000
16.0,0.5,-0.059733261313692096,-0.07870346319564182,-0.039620080585568436,16,10000
16.0,0.8,-0.06534481314393828,-0.08671061503013912,-0.04428504386177891,16,10000
