accepted_physical_actions_v8,action_policy_id,actionable_opportunities,agent_count,allocation_inequality_gini,application,attempted_sketch_messages,autonomous_beneficial_actions,autonomous_harmful_actions,autonomous_neutral_actions,belief_updates_from_delivered_sketches,beneficial_actions,commitment_failures,completed_at,complexity,consensus_recovery_steps,conservation_feasible,coupling,critical_shortage_exposure,cross_community_messages,decision_epochs,delivered_sketch_messages,delivered_useful_sketch_bytes,delivery_completion,detected_groups,detection_groups,detection_recall,disagreement_time_integrated_error,dropped_messages,dropped_sketch_messages,encoding,environment_seed,event_count,false_alarm_groups,false_alarm_rate,forwarded_sketch_messages,fragmentation,fully_counted_bytes,fully_counted_messages,harmful_actions,horizon,information_actions,information_condition,maximum_cascade_depth,maximum_conservation_residual,maximum_detection_delay_steps,maximum_message_age,mean_detection_delay_steps,mean_message_age,mean_quantization_l1_error,net_causal_utility,network_disruption,neutral_actions,normalized_autonomous_reward,normalized_time_integrated_estimation_error,operational_bytes,operational_messages,operational_node_count,operator_escalation_requests,operator_executed_actions,physical_actions,pointwise_estimation_mae_max,pointwise_estimation_mae_p90,pointwise_estimation_mae_p95,privacy_boundary_pass,proposed_physical_actions,redundant_sketch_bytes,resource_waste,retries,run_id,scheduler,service_loss,service_reaching_actions,sketch_bytes,sketch_header_bytes,sketch_integrity_bytes,sketch_messages,sketch_on_wire_bytes,sketch_payload_bytes,stage,stale_belief_rows,stale_sketch_bytes,started_at,stochastic_tape_digest,time_to_first_critical_delivery,topology_family,total_bytes,total_messages,transmitted_sketch_messages,trigger_activation_rate,trigger_activations,trigger_configuration_digest,trigger_evaluations,trigger_reasons,weighted_unmet_critical_need,belief_consensus_recovery,cascaded_failures,crew_travel,crew_utilization,repeated_work_orders,restoration_time_mean,unsafe_switching_or_isolation,unserved_critical_load_auc
268,frozen_local_rule,442,52,0.41561609574692304,humanitarian,29603,118,144,0,1023,118,0,2026-08-17T03:27:04.460011+00:00,large,27.0,True,high,79256.08518557374,179,20,24265,627120,163.1898476971056,151,151,1.0,0.037228836862546695,134,5338,fp16,880104,70486,119,0.7628205128205128,21899,medium,1216326,27561,144,100,492,private_fragmented,3,5.684341886080802e-14,15.0,90.0,0.2980132450331126,16.384615384615383,2.807937221375616e-05,586.0919101010455,high,0,-28.971259047713872,0.05297265570256599,137086,580,30,168,0,268,0.1938082643562448,0.09588851669297824,0.11114344801866606,True,626,343480,10.519971949512374,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-l1_belief_drift-c1987b7c3312-fp16-frozen_local_rule,l1_belief_drift,157545.74599047736,105,0,647544,107924,0,1079240,323772,pilots,693,0,2026-08-17T03:26:52.153182+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,137086,580,26981,0.9230769230769231,960,c1987b7c3312,1040,"{'initial_reference': 156, 'l1_belief_drift': 822, 'maximum_silence': 61, 'partition_recovery': 1}",3921.4371681367106,,,,,,,,
269,frozen_local_rule,442,52,0.4152421146684257,humanitarian,20438,120,145,0,702,120,0,2026-08-17T03:26:15.379140+00:00,large,52.0,True,high,80472.10576207093,178,20,16908,434280,164.6780054301316,151,151,1.0,0.03851334301189521,134,3530,fp16,880104,53964,119,0.7628205128205128,15303,medium,889452,19394,145,100,491,private_fragmented,3,5.684341886080802e-14,15.0,90.0,0.2980132450331126,21.072115384615383,2.6508709490447608e-05,620.8908879795226,high,0,-28.983097408190257,0.05441336978870283,136852,579,30,167,0,269,0.1938082643562448,0.09869021061624961,0.11447972933353483,True,625,242040,10.28006126833569,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-matched_random-38fb0a18a6da-fp16-frozen_local_rule,matched_random,158016.70520470137,107,0,451560,75260,0,752600,225780,pilots,684,0,2026-08-17T03:26:04.332616+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,136852,579,18815,0.6307692307692307,656,38fb0a18a6da,1040,"{'initial_reference': 156, 'matched_random_selected': 174, 'matched_random_wait': 384, 'maximum_silence': 325, 'partition_recovery': 1}",3923.8472282734747,,,,,,,,
271,frozen_local_rule,443,52,0.4150617892613109,humanitarian,19004,119,146,0,663,119,0,2026-08-17T03:26:07.387556+00:00,large,27.0,True,high,80445.32142169857,178,20,15771,406400,164.3616261093166,151,151,1.0,0.03864162698930866,134,3233,fp16,880104,51395,119,0.7628205128205128,14282,medium,839202,18138,146,100,491,private_fragmented,3,3.552713678800501e-14,15.0,90.0,0.3973509933774834,21.548076923076923,2.7375848101409103e-05,620.3443704525088,high,0,-28.992640597087437,0.0546680473275778,136842,579,30,167,0,271,0.1938082643562448,0.09999074314540068,0.11609454455113023,True,626,224440,10.269127273329389,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-matched_random-51434b2214b6-fp16-frozen_local_rule,matched_random,158043.42574673513,106,0,421416,70236,0,702360,210708,pilots,683,0,2026-08-17T03:25:56.557739+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,136842,579,17559,0.5884615384615385,612,51434b2214b6,1040,"{'initial_reference': 156, 'matched_random_selected': 82, 'matched_random_wait': 428, 'maximum_silence': 373, 'partition_recovery': 1}",3925.0511402258726,,,,,,,,
269,frozen_local_rule,442,52,0.4152421146684257,humanitarian,22187,119,146,0,745,119,0,2026-08-17T03:26:22.800147+00:00,large,52.0,True,high,80588.31885331101,178,20,18309,471960,164.6780054301316,151,151,1.0,0.0383822229988647,134,3878,fp16,880104,57114,119,0.7628205128205128,16568,medium,952565,20972,146,100,491,private_fragmented,3,5.684341886080802e-14,15.0,90.0,0.2980132450331126,20.91346153846154,2.6506241320294795e-05,601.7450795860962,high,0,-29.048092915944,0.05407809266769312,136845,579,30,167,0,269,0.1938082643562448,0.0979269326050416,0.11331901139745672,True,625,260400,10.28006126833569,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-matched_random-681a73b1e0f1-fp16-frozen_local_rule,matched_random,158129.43704039228,107,0,489432,81572,0,815720,244716,pilots,685,0,2026-08-17T03:26:11.477301+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,136845,579,20393,0.6865384615384615,714,681a73b1e0f1,1040,"{'initial_reference': 156, 'matched_random_selected': 278, 'matched_random_wait': 326, 'maximum_silence': 279, 'partition_recovery': 1}",3952.687232451032,,,,,,,,
267,frozen_local_rule,443,52,0.41540634228026474,humanitarian,0,116,145,0,0,116,0,2026-08-17T03:25:43.987102+00:00,large,52.0,True,high,80968.54130297429,178,20,0,0,161.51628368368978,151,151,1.0,0.044910832717438634,134,0,fp16,880104,16605,120,0.7692307692307693,0,medium,136355,577,145,100,490,private_fragmented,3,5.3290705182007514e-14,0.0,0.0,0.0,0.0,0.0,603.7791161017169,high,0,-29.07386217543559,0.04798349583628891,136355,577,30,166,0,267,0.1938082643562448,0.07769981862189346,0.0905773560972229,True,625,0,10.776393616582668,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-none-806ed450405e-fp16-frozen_local_rule,none,158271.3325306148,103,0,0,0,0,0,0,pilots,0,0,2026-08-17T03:25:37.706053+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,136355,577,0,0.0,0,806ed450405e,1040,{'disabled': 1040},3939.366073727203,,,,,,,,
268,frozen_local_rule,441,52,0.4158318598536647,humanitarian,13620,123,140,0,490,123,0,2026-08-17T03:26:05.352298+00:00,large,52.0,True,high,80289.67092460499,178,20,11839,297920,165.39550683765597,151,151,1.0,0.04102052981931055,134,1781,fp16,880104,42071,119,0.7628205128205128,10798,medium,663573,13752,140,100,491,private_fragmented,3,5.684341886080802e-14,45.0,90.0,0.8940397350993378,24.490384615384617,2.692953764909454e-05,619.4987489135161,high,0,-28.959051845042186,0.05834407309966871,136613,578,30,168,0,268,0.1938082643562448,0.10687572845795097,0.11844270211859867,True,625,175640,10.518724220581666,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-periodic-4caef583da51-fp16-frozen_local_rule,periodic,157891.8167469411,109,0,316176,52696,0,526960,158088,pilots,678,0,2026-08-17T03:25:55.395720+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,136613,578,13174,0.4,416,4caef583da51,1040,"{'initial_reference': 156, 'maximum_silence': 259, 'partition_recovery': 1, 'periodic_wait': 624}",3922.6904382401403,,,,,,,,
271,frozen_local_rule,444,52,0.4151535820214643,humanitarian,17840,117,148,0,624,117,0,2026-08-17T03:25:48.150497+00:00,large,27.0,True,high,79841.2066140568,178,20,14816,381520,163.86102897210017,151,151,1.0,0.03865147970857667,134,3024,fp16,880104,49272,119,0.7628205128205128,13381,medium,794946,17035,148,100,490,private_fragmented,3,8.526512829121202e-14,15.0,90.0,0.3973509933774834,21.620192307692307,2.7327421067635377e-05,591.0862251330832,high,0,-29.01759309379384,0.05458792562185041,136666,578,30,166,0,271,0.1938082643562448,0.09976327929934153,0.11434506572442822,True,626,211120,10.102261560923914,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-periodic-52761a8cde7f-fp16-frozen_local_rule,periodic,157814.11555325057,105,0,394968,65828,0,658280,197484,pilots,684,0,2026-08-17T03:25:37.913156+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,136666,578,16457,0.551923076923077,574,52761a8cde7f,1040,"{'initial_reference': 156, 'maximum_silence': 417, 'partition_recovery': 1, 'periodic_wait': 466}",3907.1977359721504,,,,,,,,
271,frozen_local_rule,444,52,0.4151535820214643,humanitarian,17840,117,148,0,624,117,0,2026-08-17T03:25:57.052788+00:00,large,27.0,True,high,79841.2066140568,178,20,14816,381520,163.86102897210017,151,151,1.0,0.03865147970857667,134,3024,fp16,880104,49272,119,0.7628205128205128,13381,medium,794946,17035,148,100,490,private_fragmented,3,8.526512829121202e-14,15.0,90.0,0.3973509933774834,21.620192307692307,2.7327421067635377e-05,591.0862251330832,high,0,-29.01759309379384,0.05458792562185041,136666,578,30,166,0,271,0.1938082643562448,0.09976327929934153,0.11434506572442822,True,626,211120,10.102261560923914,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-periodic-6ad813e35c14-fp16-frozen_local_rule,periodic,157814.11555325057,105,0,394968,65828,0,658280,197484,pilots,684,0,2026-08-17T03:25:46.507911+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,136666,578,16457,0.551923076923077,574,6ad813e35c14,1040,"{'initial_reference': 156, 'maximum_silence': 417, 'partition_recovery': 1, 'periodic_wait': 466}",3907.1977359721504,,,,,,,,
268,frozen_local_rule,442,52,0.41588028515915937,humanitarian,22985,120,142,0,806,120,0,2026-08-17T03:26:47.410909+00:00,large,52.0,True,high,79679.24340878328,178,20,18956,487720,164.25120552220343,151,151,1.0,0.03752090020698826,134,4029,fp16,880104,58548,119,0.7628205128205128,17148,medium,980184,21672,142,100,490,private_fragmented,3,4.529709940470639e-14,15.0,90.0,0.2980132450331126,19.384615384615383,2.7334879609265304e-05,589.7968817067151,high,0,-28.984082073290786,0.05363444776861709,136384,577,30,168,0,268,0.1938082643562448,0.0977533314248072,0.11296137802174551,True,626,270520,10.518724220581666,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-predictive_uncertainty_change-71c476debc21-fp16-frozen_local_rule,predictive_uncertainty_change,157656.0136247205,107,0,506280,84380,0,843800,253140,pilots,689,0,2026-08-17T03:26:35.989062+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,136384,577,21095,0.7096153846153846,738,71c476debc21,1040,"{'initial_reference': 156, 'maximum_silence': 256, 'partition_recovery': 1, 'predictive_uncertainty_change': 627}",3905.2644502433277,,,,,,,,
268,frozen_local_rule,442,52,0.41549773147604546,humanitarian,26251,118,143,0,915,118,0,2026-08-17T03:26:42.798264+00:00,large,52.0,True,high,79176.97357403123,179,20,21693,560520,162.89987212273638,151,151,1.0,0.03734944251720538,134,4558,fp16,880104,64561,119,0.7628205128205128,19595,medium,1101473,24689,143,100,492,private_fragmented,3,8.526512829121202e-14,15.0,90.0,0.2980132450331126,18.23076923076923,2.7822154172961174e-05,603.6253583937297,high,0,-28.92010339395382,0.05372672846560828,137113,580,30,168,0,268,0.1938082643562448,0.09640078663749942,0.11253778005248179,True,626,307200,10.337959968543023,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-predictive_uncertainty_change-725a913ab228-fp16-frozen_local_rule,predictive_uncertainty_change,157486.01245319197,104,0,578616,96436,0,964360,289308,pilots,691,0,2026-08-17T03:26:31.073940+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,137113,580,24109,0.8125,845,725a913ab228,1040,"{'initial_reference': 156, 'maximum_silence': 162, 'partition_recovery': 1, 'predictive_uncertainty_change': 721}",3894.2487162649745,,,,,,,,
