candidate_name,method,encoding,configuration_digest,configuration_json
always_on_fp16,always_on,fp16,f06f6808d09b,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""always_on"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
none_fp16,none,fp16,806ed450405e,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""none"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
periodic_18,periodic,fp16,52761a8cde7f,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""periodic"",""periodic_interval_steps"":18,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
periodic_30,periodic,fp16,6ad813e35c14,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""periodic"",""periodic_interval_steps"":30,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
periodic_42,periodic,fp16,4caef583da51,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":42,""method"":""periodic"",""periodic_interval_steps"":42,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
random_015,matched_random,fp16,51434b2214b6,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""matched_random"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.15,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
random_030,matched_random,fp16,38fb0a18a6da,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""matched_random"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
random_045,matched_random,fp16,681a73b1e0f1,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""matched_random"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.45,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
kpi_006,kpi_change,fp16,d83b95b9a33f,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.06,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""kpi_change"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
kpi_012,kpi_change,fp16,314c8c128df2,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.12,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""kpi_change"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
