candidate_name,application,method,panels,mean_sketch_bytes,mean_fully_counted_bytes,mean_sketch_byte_reduction,mean_fully_counted_byte_reduction,mean_message_reduction,mean_estimation_error,mean_estimation_error_increase,mean_disagreement_error,mean_disagreement_error_increase,mean_detection_delay_increase,maximum_pointwise_p95,mean_service_loss_increase,mean_harmful_action_increase,mean_reward_degradation,mean_activation_rate
always_on_fp16,humanitarian,always_on,4,492250.0,578146.75,0.0,0.0,0.0,0.049875085676901056,0.0,0.0329514955703842,0.0,0.0,0.111143448018666,0.0,0.0,0.0,1.0
always_on_fp16,utility_restoration,always_on,4,498950.0,554654.25,0.0,0.0,0.0,0.047217142066258246,0.0,0.032628013508367575,0.0,0.0,0.1346904040455976,0.0,0.0,0.0,1.0
always_on_fp32,humanitarian,always_on,4,492250.0,578146.75,0.0,0.0,0.0,0.049875085676901056,0.0,0.0329514955703842,0.0,0.0,0.111143448018666,0.0,0.0,0.0,1.0
always_on_fp32,utility_restoration,always_on,4,498950.0,554654.25,0.0,0.0,0.0,0.047217142066258246,0.0,0.032628013508367575,0.0,0.0,0.1346904040455976,0.0,0.0,0.0,1.0
always_on_uint8,humanitarian,always_on,4,492250.0,578146.75,0.0,0.0,0.0,0.049875085676901056,0.0,0.0329514955703842,0.0,0.0,0.111143448018666,0.0,0.0,0.0,1.0
always_on_uint8,utility_restoration,always_on,4,498950.0,554654.25,0.0,0.0,0.0,0.047217142066258246,0.0,0.032628013508367575,0.0,0.0,0.1346904040455976,0.0,0.0,0.0,1.0
aoi_18,humanitarian,age_of_information,4,283940.0,369732.25,0.4270600300496783,0.36074765405846243,0.4270600300496783,0.05404474354997225,0.004169657873071173,0.041000945824372935,0.008049450253988724,0.23604541154209993,0.1253414568161409,86.26563956895671,1.5,0.08567581152302128,0.5379807692307693
aoi_18,utility_restoration,age_of_information,4,294240.0,349825.25,0.42908080772245905,0.36305738359563494,0.42908080772245905,0.04735768714897313,0.00014054508271487548,0.03372107163182107,0.001093058123453501,0.28571428571428586,0.1552989002806774,-4.76627683766236,0.25,0.0004407848153685917,0.5375000000000001
aoi_30,humanitarian,age_of_information,4,248110.0,333958.25,0.568451578701653,0.4763978001717548,0.568451578701653,0.06087583670673585,0.011000751029834777,0.048218735776413224,0.015267240206029023,0.38197729422894966,0.1349755580079196,46.38922259565817,1.0,0.03883777548151557,0.3879807692307693
aoi_30,utility_restoration,age_of_information,4,257420.0,312928.75,0.576533333359497,0.48330719455219223,0.576533333359497,0.052001049965610856,0.004783907899352598,0.03773743562896107,0.0051094221205935,0.35714285714285715,0.1669752920389687,-4.76627683766236,0.25,-0.0016569080219227955,0.38958333333333334
generalized_008,humanitarian,generalized_information,4,463960.0,549743.0,0.12999305639008285,0.11067032878395298,0.12999305639008285,0.05074760447509032,0.0008725187981892483,0.0336953703877512,0.0007438748173669981,0.0,0.111143448018666,-5.220711751981412,-0.25,-0.006123451665720259,0.8677312271062269
generalized_008,utility_restoration,generalized_information,4,451360.0,506946.25,0.20496527752943428,0.16685942512778426,0.20496527752943428,0.04757007032469018,0.00035292825843192405,0.03266529470339314,3.728119502557567e-05,0.0,0.1346904040455976,1.6442727188186268,0.25,0.002976985947530153,0.7946771978021978
