n_agents,topology,temperature,communication_availability,fragmentation,independent_n,mean_abs_magnetization_mean,mean_abs_magnetization_ci_low,mean_abs_magnetization_ci_high,belief_action_consistency_mean,belief_action_consistency_ci_low,belief_action_consistency_ci_high,susceptibility_per_agent_mean,susceptibility_per_agent_ci_low,susceptibility_per_agent_ci_high,heat_capacity_per_agent_mean,heat_capacity_per_agent_ci_low,heat_capacity_per_agent_ci_high,integrated_autocorrelation_time_mean,integrated_autocorrelation_time_ci_low,integrated_autocorrelation_time_ci_high,activity_mean,activity_ci_low,activity_ci_high,macrostate_shannon_mean,macrostate_shannon_ci_low,macrostate_shannon_ci_high
64,lattice,1.4,0.4,0,4,0.331938244,0.286490181,0.377386307,0.4793526786,0.4683377558,0.4903676013,6.406256896,5.145313124,7.667200669,1.127976523,0.9679748173,1.287978228,10.87205391,2.630330489,19.11377734,0.2921875,0.2843831313,0.2999918687,0.8720023725,0.8501132876,0.8938914574
64,lattice,1.4,0.4,0.5,4,0.2785714286,0.2680088258,0.2891340313,0.4678571429,0.4628221955,0.4728920902,3.578493228,2.961351449,4.195635006,0.9660530363,0.8495425318,1.082563541,6.035606065,4.907432328,7.163779803,0.2876581101,0.2834812966,0.2918349237,0.7981359705,0.7674384754,0.8288334657
64,lattice,1.4,0.4,1,4,0.3090959821,0.2445083219,0.3736836424,0.4639508929,0.4452506938,0.482651092,2.432599219,1.793831109,3.071367329,0.8937934598,0.7285751175,1.059011802,4.053848462,2.250825601,5.856871324,0.2617373512,0.2469523769,0.2765223254,0.7366103586,0.6983077756,0.7749129416
64,lattice,1.4,0.7,0,4,0.4929315476,0.4630278308,0.5228352644,0.5858630952,0.5734150435,0.598311147,11.62592943,10.12659268,13.12526617,2.093869408,1.900915521,2.286823296,16.26468889,12.47923508,20.0501427,0.2325892857,0.2237409326,0.2414376388,0.9130396889,0.9054456916,0.9206336863
64,lattice,1.4,0.7,0.5,4,0.4866815476,0.4082822158,0.5650808794,0.5816220238,0.5547653198,0.6084787279,3.8706887,1.738181806,6.003195593,1.853448842,1.433399852,2.273497833,9.011952597,2.821565746,15.20233945,0.2297154018,0.2163766873,0.2430541162,0.7723261576,0.6804231091,0.8642292061
64,lattice,1.4,0.7,1,4,0.3524739583,0.2465268634,0.4584210532,0.5201264881,0.4926704501,0.5475825261,2.588877437,1.733542231,3.444212643,1.224821564,0.8725441618,1.577098965,5.09779733,2.087415534,8.108179125,0.2376767113,0.2254673921,0.2498860305,0.7431627133,0.6967034863,0.7896219402
64,lattice,1.4,1,0,4,0.8412016369,0.8300216031,0.8523816707,0.7873883929,0.7752054892,0.7995712965,0.4238522306,0.2830276697,0.5646767916,1.810518339,1.550917414,2.070119264,1.884758288,1.355795988,2.413720588,0.118187314,0.1138876162,0.1224870118,0.4338542759,0.4148240026,0.4528845492
64,lattice,1.4,1,0.5,4,0.744828869,0.7098718099,0.7797859282,0.728125,0.716606936,0.739643064,10.90845747,-0.659663261,22.4765782,2.697102419,1.820583761,3.573621076,16.07105023,0.209778157,31.9323223,0.1474981399,0.1438910212,0.1511052585,0.6697675277,0.5150995274,0.8244355281
64,lattice,1.4,1,1,4,0.6549479167,0.607953422,0.7019424113,0.6566964286,0.6327102069,0.6806826503,2.941849009,-0.6762024842,6.559900502,1.538015475,1.420379078,1.655651871,6.133307819,1.893273611,10.37334203,0.1702334449,0.1630784506,0.1773884393,0.6317755781,0.540953283,0.7225978732
64,lattice,1.7,0.4,0,4,0.2060639881,0.1923168596,0.2198111166,0.3761904762,0.3713347152,0.3810462371,2.229090699,1.927536759,2.530644638,0.4625056879,0.417287765,0.5077236109,3.596979399,1.883225348,5.31073345,0.3590541295,0.3567689851,0.3613392738,0.7572524405,0.7350600325,0.7794448486
64,lattice,1.7,0.4,0.5,4,0.1812127976,0.1689237251,0.1935018701,0.3732142857,0.3642379311,0.3821906403,1.626838756,1.548443008,1.705234505,0.5264101745,0.4812106162,0.5716097328,2.458053329,2.168780199,2.747326459,0.3486932664,0.344539699,0.3528468338,0.7096943062,0.7041112906,0.7152773217
64,lattice,1.7,0.4,1,4,0.1828125,0.1652632493,0.2003617507,0.3739583333,0.3604610664,0.3874556003,1.260034743,1.042133783,1.477935703,0.5924709065,0.5682841166,0.6166576964,1.981153236,1.767113994,2.195192477,0.3282924107,0.3231886781,0.3333961433,0.6751647527,0.6520942717,0.6982352337
64,lattice,1.7,0.7,0,4,0.2390438988,0.2127674882,0.2653203094,0.4231026786,0.4134076863,0.4327976708,3.087637816,2.543616985,3.631658646,0.7800787457,0.673798857,0.8863586343,4.503809264,2.844758463,6.162860065,0.3294549851,0.3228907215,0.3360192487,0.806195339,0.7779755358,0.8344151422
64,lattice,1.7,0.7,0.5,4,0.2375558036,0.2190190565,0.2560925507,0.41953125,0.4063995677,0.4326629323,2.218367295,1.694093442,2.742641148,0.7114799427,0.6613808767,0.7615790087,4.047985344,0.7899124955,7.306058192,0.3218005952,0.3165835916,0.3270175989,0.754308985,0.7195867513,0.7890312187
64,lattice,1.7,0.7,1,4,0.2140811012,0.1881544407,0.2400077617,0.4080729167,0.3996638618,0.4164819715,1.888736693,1.728002734,2.049470651,0.7173908822,0.6479849424,0.7867968221,3.216745884,2.659921962,3.773569807,0.3091982887,0.3008984642,0.3174981132,0.7292147816,0.7120622369,0.7463673264
64,lattice,1.7,1,0,4,0.4636160714,0.4376918292,0.4895403136,0.5299107143,0.514861826,0.5449596026,8.728597793,6.687123663,10.77007192,2.007998994,1.860523956,2.155474032,13.78249823,8.744841351,18.82015512,0.2647274926,0.2554965193,0.2739584658,0.9119428981,0.8601650543,0.9637207418
64,lattice,1.7,1,0.5,4,0.3969866071,0.3323414002,0.4616318141,0.5044642857,0.4790237175,0.5299048539,3.952598435,3.019952777,4.885244093,1.306951182,1.118990255,1.494912109,8.479220838,3.585764441,13.37267724,0.2751953125,0.2658853348,0.2845052902,0.8182131248,0.7737559306,0.862670319
64,lattice,1.7,1,1,4,0.3128534226,0.2691930246,0.3565138206,0.4566592262,0.4354662173,0.4778522351,2.820498147,1.553278743,4.087717551,1.047437032,0.9602185949,1.13465547,4.45897293,2.347401738,6.570544122,0.2789853051,0.271264636,0.2867059741,0.7765295768,0.7061473308,0.8469118229
64,lattice,2,0.4,0,4,0.1369605655,0.1262157435,0.1477053874,0.3138020833,0.2934705333,0.3341336333,0.9296188085,0.7931372387,1.066100378,0.2812965282,0.2549651002,0.3076279563,1.981369686,0.9432980914,3.01944128,0.3969726562,0.3934628157,0.4004824968,0.6447052551,0.6254392697,0.6639712404
64,lattice,2,0.4,0.5,4,0.1442522321,0.1355929622,0.1529115021,0.3141741071,0.3063765682,0.3219716461,0.9794973693,0.8849726104,1.074022128,0.3516284556,0.3304044048,0.3728525064,1.875509797,1.448341863,2.302677731,0.3857468378,0.3803949628,0.3910987128,0.6515983577,0.6356184266,0.6675782888
64,lattice,2,0.4,1,4,0.151171875,0.1417911191,0.1605526309,0.316703869,0.3065175212,0.3268902169,0.9290995695,0.819019278,1.039179861,0.4264195952,0.3773657989,0.4754733914,1.423440993,1.250032559,1.596849427,0.3636300223,0.3615999241,0.3656601206,0.6471608728,0.6313675949,0.6629541507
64,lattice,2,0.7,0,4,0.1867931548,0.1620483921,0.2115379174,0.3466517857,0.3391696214,0.3541339501,1.640111696,1.259822453,2.020400938,0.4339767837,0.3520439318,0.5159096356,2.284159051,1.869920478,2.698397625,0.3772646949,0.3749922372,0.3795371527,0.7334581018,0.6940369795,0.772879224
64,lattice,2,0.7,0.5,4,0.1645647321,0.1592903566,0.1698391077,0.3347842262,0.3163374624,0.35323099,1.196440662,1.108498046,1.284383278,0.4607186352,0.4110357283,0.5104015422,2.11929193,1.308963839,2.929620022,0.3687732515,0.3654262794,0.3721202236,0.6852697297,0.6729104177,0.6976290417
64,lattice,2,0.7,1,4,0.1733630952,0.1573979526,0.1893282378,0.331547619,0.3223035801,0.340791658,1.19064121,1.000441658,1.380840761,0.5026683379,0.459728001,0.5456086749,1.970710979,1.643307495,2.298114462,0.3528087798,0.3444833242,0.3611342353,0.6844761982,0.6658072353,0.7031451611
64,lattice,2,1,0,4,0.2614769345,0.2445915824,0.2783622867,0.3885044643,0.3810928638,0.3959160648,2.766762463,2.431358278,3.102166648,0.6442588807,0.5836766383,0.7048411231,5.309746205,2.822959,7.79653341,0.3468145461,0.3432222631,0.3504068292,0.8124765151,0.7966339595,0.8283190706
64,lattice,2,1,0.5,4,0.2178385417,0.1993029419,0.2363741414,0.3740699405,0.369513378,0.3786265029,2.058176596,1.847599868,2.268753324,0.7739164446,0.5873753074,0.9604575818,2.818409809,2.400800212,3.236019406,0.3468563988,0.3441244149,0.3495883827,0.772664913,0.7549190537,0.7904107723
64,lattice,2,1,1,4,0.2107142857,0.1838013509,0.2376272206,0.358110119,0.3539502461,0.362269992,1.48734437,1.392572469,1.582116271,0.6328235339,0.5396864096,0.7259606581,3.592151404,2.353347574,4.830955234,0.3360816592,0.3316341068,0.3405292117,0.7220403735,0.7128768946,0.7312038524
64,lattice,2.3,0.4,0,4,0.1257998512,0.1196776368,0.1319220655,0.2721354167,0.2679553557,0.2763154776,0.696624943,0.640351589,0.752898297,0.2037715137,0.1845743645,0.2229686629,1.479440776,0.9903541719,1.968527379,0.4206473214,0.4155156033,0.4257790396,0.6198330591,0.6089600316,0.6307060865
64,lattice,2.3,0.4,0.5,4,0.1276785714,0.1205595742,0.1347975687,0.2764136905,0.265533377,0.2872940039,0.6591052635,0.6072853257,0.7109252012,0.24834936,0.2050796822,0.2916190378,1.185563698,1.054183636,1.31694376,0.4097051711,0.4067782165,0.4126321258,0.6140201834,0.6034495655,0.6245908013
64,lattice,2.3,0.4,1,4,0.1246465774,0.1136180069,0.1356751479,0.2559151786,0.2488633414,0.2629670157,0.6500583453,0.5590852894,0.7410314013,0.3181075135,0.2756545121,0.3605605149,1.324737746,1.176651135,1.472824356,0.3925827753,0.3877898707,0.3973756799,0.6098140839,0.5820463343,0.6375818336
64,lattice,2.3,0.7,0,4,0.1324404762,0.1278253638,0.1370555886,0.2825892857,0.273447036,0.2917315354,0.7519675669,0.7095832566,0.7943518773,0.26763176,0.2577577493,0.2775057708,1.309216719,1.101759527,1.516673911,0.4086588542,0.4064605195,0.4108571889,0.6355336014,0.6245276719,0.646539531
64,lattice,2.3,0.7,0.5,4,0.1383370536,0.1254062639,0.1512678433,0.2890997024,0.2800718652,0.2981275396,0.8064269616,0.6426994588,0.9701544644,0.3282320656,0.275432288,0.3810318432,1.60459503,1.304771721,1.904418339,0.401436942,0.3978301035,0.4050437804,0.6419190431,0.6096900781,0.6741480082
64,lattice,2.3,0.7,1,4,0.128125,0.1129200536,0.1433299464,0.2787202381,0.2719823804,0.2854580958,0.6589643104,0.5564484861,0.7614801346,0.3469119201,0.3064268358,0.3873970045,1.304680013,0.9054035428,1.703956483,0.3860212054,0.3807064836,0.3913359272,0.6078213689,0.5826827224,0.6329600155
64,lattice,2.3,1,0,4,0.1699590774,0.159090274,0.1808278807,0.2972098214,0.2885409119,0.305878731,1.165746967,1.013868269,1.317625665,0.4007427436,0.3445218804,0.4569636068,2.641443776,2.145963651,3.136923901,0.3900948661,0.3870531797,0.3931365524,0.7038532173,0.6831205919,0.7245858427
64,lattice,2.3,1,0.5,4,0.1619047619,0.1518123647,0.1719971591,0.3124255952,0.305876071,0.3189751194,1.082440784,0.9849613708,1.179920198,0.4143749687,0.386356439,0.4423934983,2.012443358,1.133701955,2.891184761,0.3854771205,0.3828075847,0.3881466563,0.6936226295,0.6792501227,0.7079951363
64,lattice,2.3,1,1,4,0.1610677083,0.1474402388,0.1746951779,0.297358631,0.2877105499,0.307006712,0.94875295,0.8521725554,1.045333345,0.441350169,0.3869077562,0.4957925819,1.55417776,1.330731376,1.777624144,0.3728469122,0.3676442732,0.3780495512,0.6706978477,0.6523213008,0.6890743945
64,lattice,2.6,0.4,0,4,0.118843006,0.1095020091,0.1281840028,0.2334449405,0.2322168483,0.2346730326,0.5385852398,0.4673982042,0.6097722754,0.1614328251,0.1495190097,0.1733466405,1.129874698,1.060064366,1.199685031,0.434984189,0.4316596976,0.4383086804,0.6017399572,0.5814757958,0.6220041187
64,lattice,2.6,0.4,0.5,4,0.1133556548,0.1097867086,0.116924601,0.2375,0.22570041,0.24929959,0.4932945774,0.4512745775,0.5353145774,0.1902312539,0.1607998504,0.2196626575,0.899108678,0.6807162805,1.117501076,0.429515439,0.4265508446,0.4324800334,0.5833368928,0.5728630652,0.5938107205
64,lattice,2.6,0.4,1,4,0.1138206845,0.1110746676,0.1165667014,0.2387276786,0.2315760192,0.2458793379,0.4746417056,0.4602282426,0.4890551687,0.2412342835,0.2223958043,0.2600727628,0.933687256,0.800952533,1.066421979,0.4141415551,0.4105659616,0.4177171485,0.5812587953,0.5795876836,0.5829299071
64,lattice,2.6,0.7,0,4,0.1230654762,0.1186233408,0.1275076115,0.2504464286,0.2451977791,0.2556950781,0.5892662955,0.5347742023,0.6437583887,0.1955816661,0.1871441981,0.2040191342,1.12033103,0.9569207438,1.283741317,0.4256324405,0.4223904834,0.4288743975,0.6162694298,0.5960511793,0.6364876802
