branch_code,field,independent_n,magnetization_mean,magnetization_ci_low,magnetization_ci_high
-1,-1,6,-0.9706666667,-0.9754654434,-0.96586789
-1,-0.8,6,-0.9590833333,-0.961455887,-0.9567107796
-1,-0.6,6,-0.9459166667,-0.9497576055,-0.9420757278
-1,-0.4,6,-0.9152083333,-0.9179611179,-0.9124555488
-1,-0.2,6,-0.86725,-0.8746282568,-0.8598717432
-1,0,6,0.4977083333,0.3107837944,0.6846328723
-1,0.2,6,0.8627083333,0.852724337,0.8726923297
-1,0.4,6,0.9217916667,0.9185526798,0.9250306536
-1,0.6,6,0.9476666667,0.9452572924,0.950076041
-1,0.8,6,0.9594583333,0.9571137745,0.9618028922
-1,1,6,0.971,0.9687616777,0.9732383223
1,-1,6,-0.97,-0.9723871266,-0.9676128734
1,-0.8,6,-0.9608333333,-0.9642508662,-0.9574158004
1,-0.6,6,-0.944875,-0.9486467271,-0.9411032729
1,-0.4,6,-0.9180833333,-0.9256179409,-0.9105487258
1,-0.2,6,-0.8708333333,-0.8779168045,-0.8637498621
1,0,6,-0.6685,-0.7419037881,-0.5950962119
1,0.2,6,0.8760416667,0.8664551687,0.8856281646
1,0.4,6,0.9219166667,0.9164023824,0.9274309509
1,0.6,6,0.94175,0.9399652517,0.9435347483
1,0.8,6,0.9572083333,0.9536334222,0.9607832444
1,1,6,0.9694166667,0.9680678062,0.9707655271
