application,seed,initial_workload,exogenous_injection,endogenous_cascade,completed_work,final_workload,workload_residual,initial_resources,consumed_resources,final_resources,resource_residual
humanitarian,296001,0,34.14094246,6.375,25.0346812,15.48126126,2.131628207e-14,64,25.0346812,38.9653188,-3.552713679e-15
humanitarian,296002,0,34.03717932,4.225,16.715,21.54717932,-3.552713679e-15,64,16.715,47.285,1.065814104e-14
humanitarian,296003,0,35.00087117,3.55,16.12822003,22.42265114,0,64,16.12822003,47.87177997,7.105427358e-15
humanitarian,296004,0,34.62187432,0.525,14.975,20.17187432,-8.881784197e-15,64,14.975,49.025,1.243449788e-14
humanitarian,296005,0,33.19998488,2.4,15.84791967,19.75206521,-3.552713679e-15,64,15.84791967,48.15208033,7.105427358e-15
humanitarian,296006,0,36.06998426,0.425,18.25323797,18.24174629,-1.065814104e-14,64,18.25323797,45.74676203,-3.552713679e-15
humanitarian,296007,0,35.80759387,7.275,14.85,28.23259387,4.440892099e-14,64,14.85,49.15,8.881784197e-15
humanitarian,296008,0,34.10342862,6.225,16.39219371,23.9362349,1.421085472e-14,64,16.39219371,47.60780629,3.552713679e-15
utility,296001,0,25.97613694,0.24,25.54952829,0.6666086511,0,0,0,0,0
utility,296002,0,25.77656912,0.16,25.08625528,0.8503138403,-7.105427358e-15,0,0,0,0
utility,296003,0,27.22224977,0.24,26.62023397,0.8420157974,-3.552713679e-15,0,0,0,0
utility,296004,0,25.55144346,0.16,24.97999575,0.7314477097,1.065814104e-14,0,0,0,0
utility,296005,0,25.51710752,0.16,24.96736005,0.709747472,-3.552713679e-15,0,0,0,0
utility,296006,0,26.64693964,0.16,26.31624049,0.490699143,-7.105427358e-15,0,0,0,0
utility,296007,0,27.00110592,0.16,26.41023007,0.7508758466,0,0,0,0,0
utility,296008,0,25.483886,0.08,24.50881865,1.055067353,0,0,0,0,0
