measure_a,measure_b,pearson_correlation
macrostate_shannon,macrostate_shannon,1
macrostate_shannon,macrostate_tsallis_q_0_5,0.9857066946
macrostate_shannon,macrostate_tsallis_q_2_0,0.9509302669
macrostate_shannon,macrostate_gini_simpson,0.9509302669
macrostate_tsallis_q_0_5,macrostate_shannon,0.9857066946
macrostate_tsallis_q_0_5,macrostate_tsallis_q_0_5,1
macrostate_tsallis_q_0_5,macrostate_tsallis_q_2_0,0.8904249511
macrostate_tsallis_q_0_5,macrostate_gini_simpson,0.8904249511
macrostate_tsallis_q_2_0,macrostate_shannon,0.9509302669
macrostate_tsallis_q_2_0,macrostate_tsallis_q_0_5,0.8904249511
macrostate_tsallis_q_2_0,macrostate_tsallis_q_2_0,1
macrostate_tsallis_q_2_0,macrostate_gini_simpson,1
macrostate_gini_simpson,macrostate_shannon,0.9509302669
macrostate_gini_simpson,macrostate_tsallis_q_0_5,0.8904249511
macrostate_gini_simpson,macrostate_tsallis_q_2_0,1
macrostate_gini_simpson,macrostate_gini_simpson,1
