smaller_n,larger_n,crossing_count,first_crossing_temperature,all_crossings
36,64,1,1.506628896,1.506629
64,100,4,1.300167578,1.300168;1.454448;1.557571;2.344611
100,144,1,1.561093035,1.561093
144,256,3,1.410980455,1.410980;1.945018;2.099286
