application,time,independent_n,belief_order_mean,belief_order_ci_low,belief_order_ci_high,action_order_mean,action_order_ci_low,action_order_ci_high,belief_action_consistency_mean,belief_action_consistency_ci_low,belief_action_consistency_ci_high,belief_entropy_mean,belief_entropy_ci_low,belief_entropy_ci_high,action_entropy_mean,action_entropy_ci_low,action_entropy_ci_high,entropy_flow_per_update_mean,entropy_flow_per_update_ci_low,entropy_flow_per_update_ci_high,workload_density_mean,workload_density_ci_low,workload_density_ci_high,service_loss_mean,service_loss_ci_low,service_loss_ci_high,cascade_depth_mean,cascade_depth_ci_low,cascade_depth_ci_high,activity_mean,activity_ci_low,activity_ci_high
humanitarian,10,8,-0.76171875,-0.98734164,-0.53609586,-0.65234375,-0.7548591118,-0.5498283882,0.6015625,0.505586327,0.697538673,0.4101145699,0.2259334711,0.5942956688,0.6449686436,0.5528277884,0.7371094988,0.03287035257,-0.02739307063,0.09313377578,0,0,0,0,0,0,0,0,0,0.18359375,0.1573893625,0.2097981375
humanitarian,11,8,-0.70703125,-0.9320595143,-0.4820029857,-0.6328125,-0.7573463966,-0.5082786034,0.55078125,0.4519253683,0.6496371317,0.4951853641,0.3221941314,0.6681765967,0.6577429299,0.5550862266,0.7603996332,-0.03910040802,-0.06590226118,-0.01229855486,0,0,0,0,0,0,0,0,0,0.1630859375,0.1144532505,0.2117186245
humanitarian,12,8,-0.78515625,-1.000602791,-0.5697097093,-0.69921875,-0.8321757486,-0.5662617514,0.6484375,0.5351723072,0.7617026928,0.3760403838,0.179764333,0.5723164346,0.5673005016,0.4160031221,0.7185978812,0.06297358271,0.01214804258,0.1137991228,0,0,0,0,0,0,0,0,0,0.1865234375,0.1487445066,0.2243023684
humanitarian,13,8,-0.828125,-1.011144381,-0.6451056192,-0.70703125,-0.7966453587,-0.6174171413,0.66796875,0.5563794456,0.7795580544,0.3165376649,0.1072700786,0.5258052511,0.5795037216,0.4651868266,0.6938206166,0.01867906522,-0.01787405215,0.05523218258,0,0,0,0,0,0,0,0,0,0.1767578125,0.1507237479,0.2027918771
humanitarian,14,8,-0.82421875,-1.0309375,-0.6175,-0.69921875,-0.8077648277,-0.5906726723,0.6328125,0.4604436073,0.8051813927,0.3073201783,0.09979411455,0.5148462421,0.5798226458,0.4441173623,0.7155279293,-0.00989421863,-0.07466232233,0.05487388507,0,0,0,0,0,0,0,0,0,0.1494140625,0.1074353946,0.1913927304
humanitarian,15,8,-0.8125,-1.028431847,-0.5965681531,-0.72265625,-0.8403805414,-0.6049319586,0.69140625,0.5566972719,0.8261152281,0.3204131968,0.1069919828,0.5338344108,0.5465256448,0.4161873386,0.6768639509,0.01396986502,-0.02060884604,0.04854857608,0,0,0,0,0,0,0,0,0,0.1435546875,0.08022512213,0.2068842529
humanitarian,16,8,-0.80078125,-0.9995701244,-0.6019923756,-0.75,-0.8757384438,-0.6242615562,0.68359375,0.5444809606,0.8227065394,0.3690884095,0.1898432436,0.5483335754,0.4993272759,0.3426347251,0.6560198267,0.004420334196,-0.03472657309,0.04356724148,0,0,0,0,0,0,0,0,0,0.140625,0.08188746808,0.1993625319
humanitarian,17,8,-0.80078125,-0.9848727296,-0.6166897704,-0.765625,-0.8617755168,-0.6694744832,0.66796875,0.5360233267,0.7999141733,0.3787203073,0.1956907891,0.5617498255,0.491756356,0.3548764683,0.6286362437,-0.01541196006,-0.06293157373,0.03210765361,0,0,0,0,0,0,0,0,0,0.15234375,0.1138443715,0.1908431285
humanitarian,18,8,-0.828125,-0.9794898841,-0.6767601159,-0.74609375,-0.8591739595,-0.6330135405,0.64453125,0.4892611193,0.7998013807,0.3490865789,0.1615511994,0.5366219584,0.5112337098,0.3590921696,0.66337525,-0.003281757495,-0.05459101015,0.04802749516,0,0,0,0,0,0,0,0,0,0.134765625,0.08261714361,0.1869141064
humanitarian,19,8,-0.796875,-0.9970282616,-0.5967217384,-0.74609375,-0.8078204109,-0.6843670891,0.66015625,0.5158434083,0.8044690917,0.3720971692,0.1848204761,0.5593738623,0.537445429,0.4503585752,0.6245322827,-0.0003576557667,-0.03999841485,0.03928310331,0,0,0,0,0,0,0,0,0,0.14453125,0.1064693786,0.1825931214
humanitarian,20,8,-0.76953125,-0.9521613005,-0.5869011995,-0.70703125,-0.7744633991,-0.6395991009,0.671875,0.5543999362,0.7893500638,0.4372905946,0.2747275594,0.5998536298,0.5886277224,0.5004626389,0.6767928058,-0.02073179878,-0.06519499041,0.02373139285,0,0,0,0,0,0,0,0,0,0.1650390625,0.1189707267,0.2111073983
humanitarian,21,8,-0.78125,-0.9707435685,-0.5917564315,-0.68359375,-0.7657998137,-0.6013876863,0.62109375,0.538076756,0.704110744,0.4062922236,0.2197403685,0.5928440786,0.6145395865,0.5268623755,0.7022167975,-0.01887353671,-0.05188620115,0.01413912773,0,0,0,0,0,0,0,0,0,0.1455078125,0.1173119112,0.1737037138
humanitarian,22,8,-0.76953125,-0.9625060728,-0.5765564272,-0.7265625,-0.7766844217,-0.6764405783,0.61328125,0.4818445339,0.7447179661,0.4275217749,0.2554611381,0.5995824118,0.5677385102,0.493349219,0.6421278014,0.001243682489,-0.01434671954,0.01683408452,0,0,0,0,0,0,0,0,0,0.171875,0.1332670193,0.2104829807
humanitarian,23,8,-0.765625,-1.00284523,-0.52840477,-0.71484375,-0.7856677575,-0.6440197425,0.62109375,0.455185899,0.787001601,0.3887490402,0.1910559765,0.5864421038,0.577069816,0.4833396266,0.6708000054,0.0045559756,-0.04346317352,0.05257512472,0,0,0,0,0,0,0,0,0,0.173828125,0.1304453892,0.2172108608
humanitarian,24,8,-0.7890625,-0.9979773395,-0.5801476605,-0.67578125,-0.7811962826,-0.5703662174,0.62890625,0.4902758645,0.7675366355,0.3741871052,0.1758864235,0.572487787,0.6132388567,0.4965639626,0.7299137509,-0.001617574652,-0.02814247816,0.02490732886,0,0,0,0,0,0,0,0,0,0.177734375,0.1391535162,0.2163152338
humanitarian,25,8,-0.8046875,-1.008407063,-0.6009679375,-0.6328125,-0.7922600938,-0.4733649062,0.640625,0.5061337712,0.7751162288,0.3456314164,0.137479469,0.5537833637,0.6375175765,0.5031875008,0.7718476521,0.01256331131,-0.02767157049,0.05279819311,0,0,0,0,0,0,0,0,0,0.2041015625,0.156513224,0.251689901
humanitarian,26,8,-0.80078125,-1.00291205,-0.5986504499,-0.69140625,-0.8014844582,-0.5813280418,0.6328125,0.5061451052,0.7594798948,0.3561948225,0.1534763053,0.5589133397,0.5905820344,0.4623826914,0.7187813774,-0.001977923136,-0.06065435749,0.05669851122,0,0,0,0,0,0,0,0,0,0.158203125,0.1242395897,0.1921666603
humanitarian,27,8,-0.8046875,-1.013922761,-0.5954522388,-0.73828125,-0.8301106658,-0.6464518342,0.69140625,0.6254811549,0.7573313451,0.3499226476,0.1602205676,0.5396247275,0.5370595322,0.4235688337,0.6505502308,0.03774040713,-0.01014521336,0.08562602762,0,0,0,0,0,0,0,0,0,0.1650390625,0.1275940956,0.2024840294
humanitarian,28,8,-0.828125,-1.026597684,-0.6296523161,-0.734375,-0.8501266199,-0.6186233801,0.71875,0.6107840766,0.8267159234,0.3092247705,0.107004984,0.511444557,0.5307279467,0.3972808648,0.6641750286,0.01265218678,-0.02286775923,0.0481721328,0,0,0,0,0,0,0,0,0,0.1611328125,0.1280197683,0.1942458567
humanitarian,29,8,-0.84765625,-1.017947891,-0.6773646085,-0.69921875,-0.8216845655,-0.5767529345,0.6640625,0.5626558889,0.7654691111,0.2918546836,0.08918380206,0.4945255652,0.5782342361,0.4638435675,0.6926249047,-0.02569331517,-0.056025142,0.004638511655,0,0,0,0,0,0,0,0,0,0.16796875,0.1210393545,0.2148981455
humanitarian,30,8,-0.80859375,-1.030474087,-0.5867134134,-0.69921875,-0.8777682032,-0.5206692968,0.6875,0.5591252434,0.8158747566,0.3194490677,0.1037165894,0.5351815459,0.541612621,0.3810686681,0.7021565739,-7.615673272e-05,-0.03081047761,0.03065816415,0,0,0,0,0,0,0,0,0,0.146484375,0.08677474028,0.2061940097
humanitarian,31,8,-0.78515625,-0.9837765521,-0.5865359479,-0.69140625,-0.8923736977,-0.4904388023,0.6484375,0.4844333437,0.8124416563,0.391321845,0.1997088649,0.582934825,0.530479994,0.3454416312,0.7155183568,-0.02618158136,-0.05630216597,0.003939003246,0,0,0,0,0,0,0,0,0,0.17578125,0.1274454192,0.2241170808
humanitarian,32,8,-0.82421875,-0.9715180872,-0.6769194128,-0.69921875,-0.8483262019,-0.5501112981,0.6796875,0.5646616028,0.7947133972,0.3567728315,0.1639526992,0.5495929639,0.5608116855,0.4150178542,0.7066055168,0.002778912525,-0.04710012175,0.0526579468,0,0,0,0,0,0,0,0,0,0.15625,0.09873705139,0.2137629486
humanitarian,33,8,-0.80078125,-0.9507845866,-0.6507779134,-0.703125,-0.8141500535,-0.5920999465,0.65234375,0.5551968282,0.7494906718,0.3949296377,0.1971559811,0.5927032943,0.5778324594,0.4648614866,0.6908034321,-0.01134013118,-0.04765581083,0.02497554848,0,0,0,0,0,0,0,0,0,0.1650390625,0.1238660571,0.2062120679
