run_id,stage,application,method,scenario,seed,completion_status,wall_clock_seconds,disruption_sources,analysis_valid,exclusion_reason,scenario_name,n_agents,agreement_rate,coalition_proposals,coalition_recall_when_required,coalitions,coalitions_formed,commitment_breaches,commitment_memory_accuracy,commitment_memory_items,conservation_error,cumulative_unmet_weighted_need,delivered_messages,fairness,final_backlog,fulfillment_rate,individually_rational_agreement_rate,information_disclosures,inventory_efficiency,max_free_energy,mean_agent_utility,mean_consensus_rmse,mean_time_to_agreement,message_bytes,message_delivery_rate,messages,minimum_agent_utility,monitor_sketch_bytes,monitor_sketch_messages,on_time_delivery_rate,partner_reliability_brier,partner_reliability_observations,primary_outcome,recovery_time,service_loss_auc,social_welfare,tool_calls,total_communication_bytes,total_communication_messages,total_cost,transport_efficiency,useful_coalition_precision,generated_tokens,llm_calls,llm_latency_seconds,planner_revision,prompt_tokens
ablations-commercial-autonomous_fixed_comm-n11-s3101,ablations,commercial,autonomous_fixed_comm,partition-compound-p1.0-o1.0,3101,complete,60.65099139511585,supplier_01;supplier_02;carrier_05;warehouse_07,True,,compound_partition,11.0,0.0,0.0,0.0,0,0.0,0,0.0,0,1.1368683772161603e-13,6896.435514428015,15,0.6421736601035231,771.1058953830167,0.04012761806438969,0.0,26,0.0357119515319554,0.3263443616909106,-0.0740641742984851,0.04316439528205853,,5018,0.234375,64,-0.9048430543944517,0.0,0.0,1.0,,0,17.610843769666026,14.0,17.610843769666026,0.1985024124944217,104,5018.0,64.0,17.421442243560602,1.0,0.0,5114,107,60.50907132774596,a09a35458c702b33eeacc393d103063234e8bc28,124828
ablations-commercial-autonomous_fixed_comm-n11-s3102,ablations,commercial,autonomous_fixed_comm,partition-compound-p1.0-o1.0,3102,complete,54.58783509582281,supplier_01;supplier_02;carrier_05;warehouse_07,True,,compound_partition,11.0,0.0,0.0,0.0,0,0.0,0,0.0,0,-3.410605131648481e-13,5726.00801443439,11,0.5307400036273362,651.425037263328,0.07756106778829212,0.0,30,0.05901756749001766,0.3263443616909106,0.016366317575864174,0.04330564190430551,,5784,0.19298245614035087,57,-0.7341744566106939,0.0,0.0,1.0,,0,16.55304446557294,14.0,16.55304446557294,0.20387195775494962,95,5784.0,57.0,45.013879095165215,1.0,0.0,4591,96,54.45330890268085,a09a35458c702b33eeacc393d103063234e8bc28,110668
ablations-commercial-autonomous_fixed_comm-n11-s3103,ablations,commercial,autonomous_fixed_comm,partition-compound-p1.0-o1.0,3103,complete,52.974547393620014,supplier_01;supplier_02;carrier_05;warehouse_07,True,,compound_partition,11.0,0.0,0.0,0.0,0,0.0,0,0.0,0,-1.1368683772161603e-13,6259.938466381844,10,0.5569052169494707,704.6316319608444,0.056291895753527055,0.0,30,0.045937762716346496,0.3263443616909106,-0.02558331106659274,0.04394990092874893,,5787,0.1724137931034483,58,-1.0547439042608429,0.0,0.0,1.0,,0,16.779117319864902,14.0,16.779117319864902,0.19132052541314115,96,5787.0,58.0,31.342469931682828,1.0,0.0,4650,98,52.84016884118314,a09a35458c702b33eeacc393d103063234e8bc28,112028
ablations-commercial-autonomous_fixed_comm-n11-s3104,ablations,commercial,autonomous_fixed_comm,partition-compound-p1.0-o1.0,3104,complete,61.305746991187334,supplier_01;supplier_02;carrier_05;warehouse_07,True,,compound_partition,11.0,0.0,0.0,0.0,0,0.0,0,0.0,0,-2.2737367544323206e-13,6295.766541566722,11,0.48129497873576715,723.6801458318423,0.061774756993004734,0.0,28,0.05040184945337403,0.3263443616909106,-0.001229187874271282,0.0430796739294857,,5445,0.171875,64,-0.5067323477271019,0.0,0.0,1.0,,0,16.68657746598158,14.0,16.68657746598158,0.17748658565937775,104,5445.0,64.0,35.573036230208295,1.0,0.0,5171,106,61.16455104947085,a09a35458c702b33eeacc393d103063234e8bc28,121635
ablations-commercial-autonomous_no_comm-n11-s3101,ablations,commercial,autonomous_no_comm,partition-compound-p1.0-o1.0,3101,complete,33.99253657460213,supplier_01;supplier_02;carrier_05;warehouse_07,True,,compound_partition,11.0,0.0,0.0,0.0,0,0.0,0,0.0,0,1.1368683772161603e-13,6359.440614428016,0,0.4038680976363878,696.3013953830166,0.13324423670836616,0.0,0,0.11858196306608851,0.3263443616909106,-0.007325928999298769,0.04316439528205853,,0,0.0,0,-0.9187397505444768,0.0,0.0,1.0,,0,16.434313936074243,14.0,16.434313936074243,0.22295028336471415,76,0.0,0.0,90.46417520015903,1.0,0.0,3315,76,33.891906980425134,a09a35458c702b33eeacc393d103063234e8bc28,85219
ablations-commercial-autonomous_no_comm-n11-s3102,ablations,commercial,autonomous_no_comm,partition-compound-p1.0-o1.0,3102,complete,34.125008799135685,supplier_01;supplier_02;carrier_05;warehouse_07,True,,compound_partition,11.0,0.0,0.0,0.0,0,0.0,0,0.0,0,-3.410605131648481e-13,5172.897081814794,0,0.4435584911146394,617.235437263328,0.12597464772872166,0.0,0,0.09585630376640202,0.3263443616909106,0.049959456608916784,0.042968396161113365,,0,0.0,0,-0.754010730434816,0.0,0.0,1.0,,0,14.70167772950677,14.0,14.70167772950677,0.22456400872706717,75,0.0,0.0,86.86427045504384,1.0,0.0,3098,75,34.021790571510756,a09a35458c702b33eeacc393d103063234e8bc28,84254
ablations-commercial-autonomous_no_comm-n11-s3103,ablations,commercial,autonomous_no_comm,partition-compound-p1.0-o1.0,3103,complete,35.88992673903704,supplier_01;supplier_02;carrier_05;warehouse_07,True,,compound_partition,11.0,0.0,0.0,0.0,0,0.0,0,0.0,0,-1.1368683772161603e-13,5877.745966381844,0,0.43926839822945973,669.1521319608444,0.10380933630815904,0.0,0,0.08471501261825648,0.3263443616909106,0.002635192357706895,0.043570018228173794,,0,0.0,0,-1.060126907260813,0.0,0.0,1.0,,0,15.576425742533585,14.0,15.576425742533585,0.2045581658019057,79,0.0,0.0,67.70938921936157,1.0,0.0,3371,79,35.784190330654376,a09a35458c702b33eeacc393d103063234e8bc28,88793
ablations-commercial-autonomous_no_comm-n11-s3104,ablations,commercial,autonomous_no_comm,partition-compound-p1.0-o1.0,3104,complete,34.89773454517126,supplier_01;supplier_02;carrier_05;warehouse_07,True,,compound_partition,11.0,0.0,0.0,0.0,0,0.0,0,0.0,0,-2.2737367544323206e-13,5831.639551055519,0,0.3978255574017991,675.3009458318422,0.12449664723404387,0.0,0,0.10157646224412746,0.3263443616909106,0.04493056015112706,0.042697813413615046,,0,0.0,0,-0.5264171872809482,0.0,0.0,1.0,,0,15.371790976515566,14.0,15.371790976515566,0.2103348245773604,77,0.0,0.0,105.04119053229986,1.0,0.0,3241,77,34.79397485405207,a09a35458c702b33eeacc393d103063234e8bc28,86158
ablations-commercial-entropy_llm_only-n11-s3101,ablations,commercial,entropy_llm_only,partition-compound-p1.0-o1.0,3101,complete,136.94139133766294,supplier_01;supplier_02;carrier_05;warehouse_07,True,,compound_partition,11.0,0.14285714285714285,16.0,1.0,15,8.0,2,0.875,32,1.1368683772161603e-13,6807.962114428015,50,0.6659412905976195,770.7009953830166,0.04063163746013388,0.0,2,0.03616050833896795,0.3263443616909106,-0.06546061795999471,0.04313494834270072,1.0,32128,0.4672897196261682,107,-0.898354639192109,1135296.0,2954.0,1.0,0.1875,4,17.134200892585728,14.0,17.134200892585728,0.20392728394323764,116,1167424.0,3061.0,25.62401150908916,1.0,0.0,8679,133,136.70927964523435,a09a35458c702b33eeacc393d103063234e8bc28,237089
ablations-commercial-entropy_llm_only-n11-s3102,ablations,commercial,entropy_llm_only,partition-compound-p1.0-o1.0,3102,complete,130.60508363321424,supplier_01;supplier_02;carrier_05;warehouse_07,True,,compound_partition,11.0,0.0,15.0,1.0,15,7.0,0,0.782608695652174,46,-3.410605131648481e-13,6145.69411443439,49,0.9510260569283862,691.119337263328,0.021352654521410046,0.0,1,0.016247606759980333,0.3263443616909106,0.003289969519286567,0.04330564190430551,,28732,0.4803921568627451,102,-0.6990600270498561,1112175.0,2894.0,0.0,,0,17.465004140011537,14.0,17.465004140011537,0.2591091687535066,120,1140907.0,2996.0,0.0,0.0,0.0,9683,143,130.35509794577953,a09a35458c702b33eeacc393d103063234e8bc28,265299
