application,scenario_name,seed,n_agents,option,option_name,option_proportion_difference_doet_minus_nonentropy,doet_rl_option_proportion,learned_no_entropy_option_proportion,doet_rl_decision_count,learned_no_entropy_decision_count,doet_rl_training_seed,learned_no_entropy_training_seed,panel_option_total_variation_distance
commercial,nominal,8206,10,5,propose_coalition,0.04460245636716226,0.15384615384615385,0.1092436974789916,39,119,7301,7301,0.6011635423400128
commercial,nominal,8206,10,6,request_reallocation,-0.1473820297349709,0.23076923076923078,0.37815126050420167,39,119,7301,7301,0.6011635423400128
commercial,nominal,8206,10,7,emergency,0.06054729584141348,0.10256410256410256,0.04201680672268908,39,119,7301,7301,0.6011635423400128
commercial,nominal,8206,10,8,silent,-0.01680672268907563,0.0,0.01680672268907563,39,119,7301,7301,0.6011635423400128
commercial,nominal,8207,10,0,continue,0.4696969696969697,0.5,0.030303030303030304,44,132,7302,7302,0.5757575757575758
commercial,nominal,8207,10,1,request_info,-0.015151515151515152,0.0,0.015151515151515152,44,132,7302,7302,0.5757575757575758
commercial,nominal,8207,10,2,disclose_summary,0.0,0.0,0.0,44,132,7302,7302,0.5757575757575758
commercial,nominal,8207,10,3,negotiate,-0.20454545454545456,0.0,0.20454545454545456,44,132,7302,7302,0.5757575757575758
commercial,nominal,8207,10,4,respond_offer,-0.3409090909090909,0.0,0.3409090909090909,44,132,7302,7302,0.5757575757575758
commercial,nominal,8207,10,5,propose_coalition,0.05303030303030304,0.18181818181818182,0.12878787878787878,44,132,7302,7302,0.5757575757575758
commercial,nominal,8207,10,6,request_reallocation,-0.007575757575757597,0.22727272727272727,0.23484848484848486,44,132,7302,7302,0.5757575757575758
commercial,nominal,8207,10,7,emergency,0.05303030303030303,0.09090909090909091,0.03787878787878788,44,132,7302,7302,0.5757575757575758
commercial,nominal,8207,10,8,silent,-0.007575757575757576,0.0,0.007575757575757576,44,132,7302,7302,0.5757575757575758
commercial,nominal,8208,10,0,continue,0.3712121212121212,0.4166666666666667,0.045454545454545456,48,110,7303,7303,0.5454545454545455
commercial,nominal,8208,10,1,request_info,-0.01818181818181818,0.0,0.01818181818181818,48,110,7303,7303,0.5454545454545455
commercial,nominal,8208,10,2,disclose_summary,0.0,0.0,0.0,48,110,7303,7303,0.5454545454545455
commercial,nominal,8208,10,3,negotiate,-0.2,0.0,0.2,48,110,7303,7303,0.5454545454545455
commercial,nominal,8208,10,4,respond_offer,-0.2909090909090909,0.0,0.2909090909090909,48,110,7303,7303,0.5454545454545455
commercial,nominal,8208,10,5,propose_coalition,0.06553030303030302,0.22916666666666666,0.16363636363636364,48,110,7303,7303,0.5454545454545455
commercial,nominal,8208,10,6,request_reallocation,0.04469696969696971,0.20833333333333334,0.16363636363636364,48,110,7303,7303,0.5454545454545455
commercial,nominal,8208,10,7,emergency,0.06401515151515152,0.14583333333333334,0.08181818181818182,48,110,7303,7303,0.5454545454545455
commercial,nominal,8208,10,8,silent,-0.03636363636363636,0.0,0.03636363636363636,48,110,7303,7303,0.5454545454545455
commercial,isolated,8101,10,0,continue,0.3646153846153846,0.38,0.015384615384615385,50,130,7304,7304,0.4861538461538462
commercial,isolated,8101,10,1,request_info,-0.015384615384615385,0.0,0.015384615384615385,50,130,7304,7304,0.4861538461538462
commercial,isolated,8101,10,2,disclose_summary,0.0,0.0,0.0,50,130,7304,7304,0.4861538461538462
commercial,isolated,8101,10,3,negotiate,-0.2,0.0,0.2,50,130,7304,7304,0.4861538461538462
commercial,isolated,8101,10,4,respond_offer,-0.14615384615384616,0.0,0.14615384615384616,50,130,7304,7304,0.4861538461538462
commercial,isolated,8101,10,5,propose_coalition,0.035384615384615375,0.22,0.18461538461538463,50,130,7304,7304,0.4861538461538462
commercial,isolated,8101,10,6,request_reallocation,-0.12461538461538463,0.26,0.38461538461538464,50,130,7304,7304,0.4861538461538462
commercial,isolated,8101,10,7,emergency,0.08615384615384616,0.14,0.05384615384615385,50,130,7304,7304,0.4861538461538462
commercial,isolated,8101,10,8,silent,0.0,0.0,0.0,50,130,7304,7304,0.4861538461538462
commercial,isolated,8102,10,0,continue,0.44494047619047616,0.47619047619047616,0.03125,42,128,7305,7305,0.628720238095238
commercial,isolated,8102,10,1,request_info,-0.015625,0.0,0.015625,42,128,7305,7305,0.628720238095238
commercial,isolated,8102,10,2,disclose_summary,0.0,0.0,0.0,42,128,7305,7305,0.628720238095238
commercial,isolated,8102,10,3,negotiate,-0.1796875,0.0,0.1796875,42,128,7305,7305,0.628720238095238
commercial,isolated,8102,10,4,respond_offer,-0.1875,0.0,0.1875,42,128,7305,7305,0.628720238095238
commercial,isolated,8102,10,5,propose_coalition,-0.13058035714285715,0.14285714285714285,0.2734375,42,128,7305,7305,0.628720238095238
commercial,isolated,8102,10,6,request_reallocation,-0.11532738095238096,0.11904761904761904,0.234375,42,128,7305,7305,0.628720238095238
commercial,isolated,8102,10,7,emergency,0.05654761904761904,0.11904761904761904,0.0625,42,128,7305,7305,0.628720238095238
commercial,isolated,8102,10,8,silent,0.12723214285714285,0.14285714285714285,0.015625,42,128,7305,7305,0.628720238095238
commercial,isolated,8103,10,0,continue,0.34963658388855234,0.36538461538461536,0.015748031496062992,52,127,7301,7301,0.5295275590551182
commercial,isolated,8103,10,1,request_info,-0.015748031496062992,0.0,0.015748031496062992,52,127,7301,7301,0.5295275590551182
commercial,isolated,8103,10,2,disclose_summary,0.0,0.0,0.0,52,127,7301,7301,0.5295275590551182
commercial,isolated,8103,10,3,negotiate,-0.25984251968503935,0.0,0.25984251968503935,52,127,7301,7301,0.5295275590551182
commercial,isolated,8103,10,4,respond_offer,-0.07874015748031496,0.0,0.07874015748031496,52,127,7301,7301,0.5295275590551182
commercial,isolated,8103,10,5,propose_coalition,0.06541490006056935,0.23076923076923078,0.16535433070866143,52,127,7301,7301,0.5295275590551182
commercial,isolated,8103,10,6,request_reallocation,-0.1751968503937008,0.25,0.4251968503937008,52,127,7301,7301,0.5295275590551182
commercial,isolated,8103,10,7,emergency,0.07601453664445791,0.11538461538461539,0.03937007874015748,52,127,7301,7301,0.5295275590551182
commercial,isolated,8103,10,8,silent,0.038461538461538464,0.038461538461538464,0.0,52,127,7301,7301,0.5295275590551182
commercial,isolated,8104,10,0,continue,0.4433744221879815,0.4772727272727273,0.03389830508474576,44,118,7302,7302,0.49922958397534667
commercial,isolated,8104,10,1,request_info,-0.01694915254237288,0.0,0.01694915254237288,44,118,7302,7302,0.49922958397534667
commercial,isolated,8104,10,2,disclose_summary,0.0,0.0,0.0,44,118,7302,7302,0.49922958397534667
commercial,isolated,8104,10,3,negotiate,-0.17796610169491525,0.0,0.17796610169491525,44,118,7302,7302,0.49922958397534667
commercial,isolated,8104,10,4,respond_offer,-0.2711864406779661,0.0,0.2711864406779661,44,118,7302,7302,0.49922958397534667
commercial,isolated,8104,10,5,propose_coalition,-0.01617873651771959,0.13636363636363635,0.15254237288135594,44,118,7302,7302,0.49922958397534667
commercial,isolated,8104,10,6,request_reallocation,0.01579352850539295,0.29545454545454547,0.2796610169491525,44,118,7302,7302,0.49922958397534667
commercial,isolated,8104,10,7,emergency,0.040061633281972264,0.09090909090909091,0.05084745762711865,44,118,7302,7302,0.49922958397534667
commercial,isolated,8104,10,8,silent,-0.01694915254237288,0.0,0.01694915254237288,44,118,7302,7302,0.49922958397534667
commercial,isolated,8105,10,0,continue,0.35122807017543856,0.36,0.008771929824561403,50,114,7303,7303,0.5343859649122806
commercial,isolated,8105,10,1,request_info,-0.017543859649122806,0.0,0.017543859649122806,50,114,7303,7303,0.5343859649122806
commercial,isolated,8105,10,2,disclose_summary,0.0,0.0,0.0,50,114,7303,7303,0.5343859649122806
commercial,isolated,8105,10,3,negotiate,-0.21052631578947367,0.0,0.21052631578947367,50,114,7303,7303,0.5343859649122806
commercial,isolated,8105,10,4,respond_offer,-0.043859649122807015,0.0,0.043859649122807015,50,114,7303,7303,0.5343859649122806
commercial,isolated,8105,10,5,propose_coalition,0.07964912280701755,0.22,0.14035087719298245,50,114,7303,7303,0.5343859649122806
commercial,isolated,8105,10,6,request_reallocation,-0.26245614035087717,0.22,0.4824561403508772,50,114,7303,7303,0.5343859649122806
commercial,isolated,8105,10,7,emergency,0.04982456140350877,0.12,0.07017543859649122,50,114,7303,7303,0.5343859649122806
commercial,isolated,8105,10,8,silent,0.05368421052631579,0.08,0.02631578947368421,50,114,7303,7303,0.5343859649122806
commercial,isolated,8106,10,0,continue,0.4025955706023417,0.43137254901960786,0.02877697841726619,51,139,7304,7304,0.5240513471575681
commercial,isolated,8106,10,1,request_info,-0.014388489208633094,0.0,0.014388489208633094,51,139,7304,7304,0.5240513471575681
commercial,isolated,8106,10,2,disclose_summary,0.0,0.0,0.0,51,139,7304,7304,0.5240513471575681
commercial,isolated,8106,10,3,negotiate,-0.17266187050359713,0.0,0.17266187050359713,51,139,7304,7304,0.5240513471575681
commercial,isolated,8106,10,4,respond_offer,-0.26618705035971224,0.0,0.26618705035971224,51,139,7304,7304,0.5240513471575681
commercial,isolated,8106,10,5,propose_coalition,0.04697418535759629,0.17647058823529413,0.12949640287769784,51,139,7304,7304,0.5240513471575681
commercial,isolated,8106,10,6,request_reallocation,-0.056425447876992496,0.27450980392156865,0.33093525179856115,51,139,7304,7304,0.5240513471575681
commercial,isolated,8106,10,7,emergency,0.07448159119763012,0.11764705882352941,0.04316546762589928,51,139,7304,7304,0.5240513471575681
commercial,isolated,8106,10,8,silent,-0.014388489208633094,0.0,0.014388489208633094,51,139,7304,7304,0.5240513471575681
commercial,isolated,8107,10,0,continue,0.483942908117752,0.5263157894736842,0.0423728813559322,38,118,7305,7305,0.5655664585191793
commercial,isolated,8107,10,1,request_info,-0.01694915254237288,0.0,0.01694915254237288,38,118,7305,7305,0.5655664585191793
commercial,isolated,8107,10,2,disclose_summary,0.0,0.0,0.0,38,118,7305,7305,0.5655664585191793
commercial,isolated,8107,10,3,negotiate,-0.1864406779661017,0.0,0.1864406779661017,38,118,7305,7305,0.5655664585191793
commercial,isolated,8107,10,4,respond_offer,-0.2627118644067797,0.0,0.2627118644067797,38,118,7305,7305,0.5655664585191793
commercial,isolated,8107,10,5,propose_coalition,-0.05396966993755575,0.15789473684210525,0.211864406779661,38,118,7305,7305,0.5655664585191793
commercial,isolated,8107,10,6,request_reallocation,-0.045495093666369335,0.15789473684210525,0.2033898305084746,38,118,7305,7305,0.5655664585191793
commercial,isolated,8107,10,7,emergency,0.011150758251561102,0.07894736842105263,0.06779661016949153,38,118,7305,7305,0.5655664585191793
commercial,isolated,8107,10,8,silent,0.07047279214986618,0.07894736842105263,0.00847457627118644,38,118,7305,7305,0.5655664585191793
commercial,isolated,8108,10,0,continue,0.3861901457321305,0.4090909090909091,0.022900763358778626,44,131,7301,7301,0.453678001387925
commercial,isolated,8108,10,1,request_info,-0.015267175572519083,0.0,0.015267175572519083,44,131,7301,7301,0.453678001387925
commercial,isolated,8108,10,2,disclose_summary,0.0,0.0,0.0,44,131,7301,7301,0.453678001387925
commercial,isolated,8108,10,3,negotiate,-0.16793893129770993,0.0,0.16793893129770993,44,131,7301,7301,0.453678001387925
commercial,isolated,8108,10,4,respond_offer,-0.19083969465648856,0.0,0.19083969465648856,44,131,7301,7301,0.453678001387925
commercial,isolated,8108,10,5,propose_coalition,-0.06245662734212351,0.18181818181818182,0.24427480916030533,44,131,7301,7301,0.453678001387925
commercial,isolated,8108,10,6,request_reallocation,-0.01717557251908397,0.25,0.26717557251908397,44,131,7301,7301,0.453678001387925
commercial,isolated,8108,10,7,emergency,0.02966689798750867,0.11363636363636363,0.08396946564885496,44,131,7301,7301,0.453678001387925
commercial,isolated,8108,10,8,silent,0.037820957668285915,0.045454545454545456,0.007633587786259542,44,131,7301,7301,0.453678001387925
commercial,isolated,8109,10,0,continue,0.4334554334554334,0.47619047619047616,0.042735042735042736,42,117,7302,7302,0.4499389499389499
commercial,isolated,8109,10,1,request_info,-0.017094017094017096,0.0,0.017094017094017096,42,117,7302,7302,0.4499389499389499
commercial,isolated,8109,10,2,disclose_summary,0.0,0.0,0.0,42,117,7302,7302,0.4499389499389499
commercial,isolated,8109,10,3,negotiate,-0.20512820512820512,0.0,0.20512820512820512,42,117,7302,7302,0.4499389499389499
commercial,isolated,8109,10,4,respond_offer,-0.1794871794871795,0.0,0.1794871794871795,42,117,7302,7302,0.4499389499389499
commercial,isolated,8109,10,5,propose_coalition,-0.010989010989011005,0.14285714285714285,0.15384615384615385,42,117,7302,7302,0.4499389499389499
commercial,isolated,8109,10,6,request_reallocation,-0.0030525030525030417,0.2619047619047619,0.26495726495726496,42,117,7302,7302,0.4499389499389499
commercial,isolated,8109,10,7,emergency,0.01648351648351648,0.11904761904761904,0.10256410256410256,42,117,7302,7302,0.4499389499389499
commercial,isolated,8109,10,8,silent,-0.03418803418803419,0.0,0.03418803418803419,42,117,7302,7302,0.4499389499389499
commercial,isolated,8110,10,0,continue,0.39753960229187735,0.41304347826086957,0.015503875968992248,46,129,7303,7303,0.5298281092012134
commercial,isolated,8110,10,1,request_info,-0.015503875968992248,0.0,0.015503875968992248,46,129,7303,7303,0.5298281092012134
commercial,isolated,8110,10,2,disclose_summary,0.0,0.0,0.0,46,129,7303,7303,0.5298281092012134
commercial,isolated,8110,10,3,negotiate,-0.16279069767441862,0.0,0.16279069767441862,46,129,7303,7303,0.5298281092012134
commercial,isolated,8110,10,4,respond_offer,-0.24806201550387597,0.0,0.24806201550387597,46,129,7303,7303,0.5298281092012134
commercial,isolated,8110,10,5,propose_coalition,0.018874283788338386,0.17391304347826086,0.15503875968992248,46,129,7303,7303,0.5298281092012134
commercial,isolated,8110,10,6,request_reallocation,-0.10347152005392651,0.2608695652173913,0.3643410852713178,46,129,7303,7303,0.5298281092012134
commercial,isolated,8110,10,7,emergency,0.026457701381867205,0.06521739130434782,0.03875968992248062,46,129,7303,7303,0.5298281092012134
commercial,isolated,8110,10,8,silent,0.08695652173913043,0.08695652173913043,0.0,46,129,7303,7303,0.5298281092012134
commercial,isolated,8111,10,0,continue,0.34509803921568627,0.4117647058823529,0.06666666666666667,51,120,7304,7304,0.47843137254901963
commercial,isolated,8111,10,1,request_info,-0.016666666666666666,0.0,0.016666666666666666,51,120,7304,7304,0.47843137254901963
commercial,isolated,8111,10,2,disclose_summary,0.0,0.0,0.0,51,120,7304,7304,0.47843137254901963
commercial,isolated,8111,10,3,negotiate,-0.175,0.0,0.175,51,120,7304,7304,0.47843137254901963
commercial,isolated,8111,10,4,respond_offer,-0.2833333333333333,0.0,0.2833333333333333,51,120,7304,7304,0.47843137254901963
commercial,isolated,8111,10,5,propose_coalition,0.08529411764705883,0.23529411764705882,0.15,51,120,7304,7304,0.47843137254901963
commercial,isolated,8111,10,6,request_reallocation,-0.003431372549019651,0.2549019607843137,0.25833333333333336,51,120,7304,7304,0.47843137254901963
commercial,isolated,8111,10,7,emergency,0.048039215686274506,0.09803921568627451,0.05,51,120,7304,7304,0.47843137254901963
commercial,isolated,8111,10,8,silent,0.0,0.0,0.0,51,120,7304,7304,0.47843137254901963
commercial,isolated,8112,10,0,continue,0.45121951219512196,0.5,0.04878048780487805,38,123,7305,7305,0.6129653401797176
commercial,isolated,8112,10,1,request_info,-0.016260162601626018,0.0,0.016260162601626018,38,123,7305,7305,0.6129653401797176
commercial,isolated,8112,10,2,disclose_summary,0.0,0.0,0.0,38,123,7305,7305,0.6129653401797176
commercial,isolated,8112,10,3,negotiate,-0.17073170731707318,0.0,0.17073170731707318,38,123,7305,7305,0.6129653401797176
