actionable_opportunities,agent_count,allocation_inequality_gini,application,autonomous_action_coverage,autonomous_beneficial_actions,autonomous_harmful_actions,autonomous_neutral_actions,baseline_calibration_sketch_messages,beneficial_actions,commitment_failures,completed_at,complexity,conservation_feasible,controller,coupling,critical_shortage_exposure,cross_community_messages,decision_epochs,delivery_completion,distributed_estimation_mae,dropped_messages,eligible_operational_proposals,environment_seed,event_count,fragmentation,harmful_actions,horizon,information_actions,information_condition,maximum_cascade_depth,maximum_conservation_residual,net_causal_utility,network_disruption,neutral_actions,operational_bytes,operational_communication_policy,operational_messages,operational_node_count,operator_escalations,operator_executed_actions,operator_minutes,physical_actions,post_disruption_sketch_messages,privacy_boundary_pass,resource_waste,run_id,service_loss,service_reaching_actions,sketch_bytes,sketch_messages,sketch_policy,started_at,stochastic_tape_digest,time_to_first_critical_delivery,topology_family,total_bytes,total_messages,weighted_unmet_critical_need,belief_consensus_recovery,cascaded_failures,crew_travel,crew_utilization,repeated_work_orders,restoration_time_mean,unsafe_switching_or_isolation,unserved_critical_load_auc
403,52,0.41629057861876917,humanitarian,0.3082942097026604,97,74,0,318,101,0,2026-08-16T22:27:32.554293+00:00,large,True,crossfit_generalized_entropic,high,94590.78055115989,8168,20,201.11043484434296,0.04016142818214321,10443,639,787043,171650,high,89,100,1039,private_fragmented,3,7.105427357601002e-13,236.81399149308973,high,0,244361,agent_event_triggered,1039,30,19,19,82.0,197,36962,True,7.746772773307741,v7-development_formal_dynamic-humanitarian-large-high-high-high-modular-private_fragmented-787043-crossfit_generalized_entropic-event_triggered-agent_event_triggered,184163.10231757426,125,18425102,53472,event_triggered,2026-08-16T22:23:15.803415+00:00,5aa34b129c3c8f6d6d6f1c6b2f0f6e3c231073111ad6cc2e1f86acdba6c18c8a,12,modular,18669463,54511,4595.700553865408,,,,,,,,
403,52,0.41589419624316665,humanitarian,0.3129890453834116,97,75,0,318,99,0,2026-08-16T22:16:30.811743+00:00,large,True,crossfit_strongest_nonentropic,high,95061.29448821899,8168,20,209.7822141067209,0.04016142818214321,10443,639,787043,171654,high,92,100,1039,private_fragmented,3,8.242295734817162e-13,216.37687692537853,high,0,244337,agent_event_triggered,1039,30,19,19,82.0,200,36962,True,9.591887126051017,v7-development_formal_dynamic-humanitarian-large-high-high-high-modular-private_fragmented-787043-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,184899.47883909423,129,18425102,53472,event_triggered,2026-08-16T22:12:17.943472+00:00,5aa34b129c3c8f6d6d6f1c6b2f0f6e3c231073111ad6cc2e1f86acdba6c18c8a,12,modular,18669439,54511,4610.520340267176,,,,,,,,
433,52,0.41597378137118735,humanitarian,0.2867540029112082,103,73,0,486,106,0,2026-08-16T21:20:29.167504+00:00,large,True,crossfit_generalized_entropic,high,98881.78594975233,70914,20,207.0280694274971,0.03939457766534728,17540,687,787041,286493,high,90,100,1040,private_fragmented,3,4.547473508864641e-13,328.3798931753975,high,0,243882,agent_event_triggered,1040,30,20,20,90.0,197,76531,True,7.662192375969042,v7-development_formal_dynamic-humanitarian-large-high-high-high-random_geometric-private_fragmented-787041-crossfit_generalized_entropic-event_triggered-agent_event_triggered,186743.18380651358,124,32320486,94118,event_triggered,2026-08-16T21:13:43.105335+00:00,e2cec0e355039741be40a3a742770d94b73a6c7079396f44c26e39770c5bc7ed,12,random_geometric,32564368,95158,4732.76420564531,,,,,,,,
433,52,0.41484810734467126,humanitarian,0.28966521106259097,102,74,0,486,106,0,2026-08-16T21:02:55.820090+00:00,large,True,crossfit_strongest_nonentropic,high,97740.47533092885,70914,20,201.05036040595834,0.03939457766534728,17540,687,787041,286495,high,90,100,1040,private_fragmented,3,3.6415315207705135e-14,336.8432209418192,high,0,243877,agent_event_triggered,1040,30,20,20,89.0,199,76531,True,7.514630635859169,v7-development_formal_dynamic-humanitarian-large-high-high-high-random_geometric-private_fragmented-787041-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,183836.70455174719,120,32320486,94118,event_triggered,2026-08-16T20:56:11.565324+00:00,e2cec0e355039741be40a3a742770d94b73a6c7079396f44c26e39770c5bc7ed,12,random_geometric,32564363,95158,4662.086277624808,,,,,,,,
421,52,0.4145892731500795,humanitarian,0.28550074738415543,89,79,0,588,91,0,2026-08-16T22:05:05.945455+00:00,large,True,crossfit_generalized_entropic,high,88398.15412448235,133788,20,187.79338951184062,0.03593508593046291,33846,669,787044,516443,high,97,100,1040,private_fragmented,3,5.861977570020827e-14,200.11391319138315,high,0,244562,agent_event_triggered,1040,30,20,20,85.0,191,131398,True,7.91832762044104,v7-development_formal_dynamic-humanitarian-large-high-high-high-random_geometric-private_fragmented-787044-crossfit_generalized_entropic-event_triggered-agent_event_triggered,174800.38429557745,116,60450161,176208,event_triggered,2026-08-16T21:52:33.191289+00:00,2a01923c962b9d3eece9885fcee5bc0f196c73e33cdae569da8b3ca070857a04,12,random_geometric,60694723,177248,4476.318611088026,,,,,,,,
420,52,0.41558060635137917,humanitarian,0.2908545727136432,93,79,0,588,98,0,2026-08-16T21:42:43.700406+00:00,large,True,crossfit_strongest_nonentropic,high,84924.35832834382,133999,20,182.77425313345816,0.035841976516363915,33856,667,787044,517272,high,94,100,1040,private_fragmented,3,9.379164112033322e-13,258.79576061635464,high,0,244585,agent_event_triggered,1040,30,20,20,89.0,194,131675,True,9.123839206176541,v7-development_formal_dynamic-humanitarian-large-high-high-high-random_geometric-private_fragmented-787044-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,175280.8745713869,111,60543861,176485,event_triggered,2026-08-16T21:30:20.223175+00:00,2a01923c962b9d3eece9885fcee5bc0f196c73e33cdae569da8b3ca070857a04,12,random_geometric,60788446,177525,4471.863648333085,,,,,,,,
426,52,0.41685692528602103,humanitarian,0.30338733431516934,107,75,0,312,110,0,2026-08-16T20:46:29.244496+00:00,large,True,crossfit_generalized_entropic,high,100943.15548007419,20593,20,188.32580794297763,0.039794280587195835,9429,679,787042,191903,high,92,100,1040,private_fragmented,3,1.2789769243681803e-13,320.0175103625583,high,0,244551,agent_event_triggered,1040,30,20,20,89.0,206,44585,True,7.553465058067862,v7-development_formal_dynamic-humanitarian-large-high-high-high-small_world-private_fragmented-787042-crossfit_generalized_entropic-event_triggered-agent_event_triggered,179850.73492923813,122,20561057,59880,event_triggered,2026-08-16T20:41:36.159271+00:00,e45e8ab43a1f27d37ce7fb4b044e01e4476ebedb0e0a6c7d1db47a46028429e5,12,small_world,20805608,60920,4530.407930914748,,,,,,,,
426,52,0.41770029997301217,humanitarian,0.30927835051546393,107,78,0,312,111,0,2026-08-16T20:33:38.728433+00:00,large,True,crossfit_strongest_nonentropic,high,102841.99309876192,20593,20,194.0349243570151,0.039794280587195835,9429,679,787042,191910,high,94,100,1040,private_fragmented,3,3.410605131648481e-13,368.3070058249364,high,0,244537,agent_event_triggered,1040,30,20,20,89.0,210,44585,True,11.199888090628203,v7-development_formal_dynamic-humanitarian-large-high-high-high-small_world-private_fragmented-787042-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,180291.58005378532,123,20561057,59880,event_triggered,2026-08-16T20:28:35.230828+00:00,e45e8ab43a1f27d37ce7fb4b044e01e4476ebedb0e0a6c7d1db47a46028429e5,12,small_world,20805594,60920,4544.285694126933,,,,,,,,
156,28,0.4539955762429552,humanitarian,0.3771186440677966,32,35,0,74,33,0,2026-08-16T22:21:23.714381+00:00,medium,True,crossfit_generalized_entropic,high,15804.671305362772,778,15,80.01862522569813,0.04113872295301538,752,236,787026,19146,high,49,60,420,private_fragmented,3,1.7763568394002505e-14,69.18015053864727,high,0,98642,agent_event_triggered,420,16,15,15,66.0,89,2798,True,2.5,v7-development_formal_dynamic-humanitarian-medium-high-high-high-modular-private_fragmented-787026-crossfit_generalized_entropic-event_triggered-agent_event_triggered,29897.35717965685,47,1282283,3721,event_triggered,2026-08-16T22:20:55.169705+00:00,5ba2447bd338e685db34a45b0be5aeb98acffa6f15315ab2eafead92e078b31e,14,modular,1380925,4141,1345.5906226323978,,,,,,,,
156,28,0.4554102071525922,humanitarian,0.3813559322033898,33,37,0,74,34,0,2026-08-16T22:10:32.642766+00:00,medium,True,crossfit_strongest_nonentropic,high,15305.856750558529,778,15,80.63046222136059,0.04113872295301538,752,236,787026,19150,high,51,60,420,private_fragmented,3,5.684341886080802e-14,76.9942001915657,high,0,98638,agent_event_triggered,420,16,15,15,66.0,90,2798,True,2.5,v7-development_formal_dynamic-humanitarian-medium-high-high-high-modular-private_fragmented-787026-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,29306.924827607898,48,1282283,3721,event_triggered,2026-08-16T22:10:04.192782+00:00,5ba2447bd338e685db34a45b0be5aeb98acffa6f15315ab2eafead92e078b31e,17,modular,1380921,4141,1326.1229961183642,,,,,,,,
