application,original_relative_path,archive_member,source_compression,stored_sha256,logical_sha256,logical_size_bytes
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/causal_chains.json.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/causal_chains.json,gzip,79a01cae27e90d6e622620b98c9cbc2e889457114c9f5d3b63a963113894f84c,ff6d5128215be92aee1ba654ee39ea2e81ad00278eaaf0bec6d578427b1aa023,55908
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/decisions.csv.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/decisions.csv,gzip,45b82509e2a142f8ef98919c49e37283fc224fdc9eb3657578526491e60f7ec3,74bd05482e306af6f2910ab4b19d10d041c943834af4f6918321e48f0fd39ebb,199700
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/deliveries.csv.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/deliveries.csv,gzip,ff412afe746df38e1c428e239ff933eab2ba790b60a0653ecb142a45e8daf47f,40e55926bf3dbf99ab6400a3e78d5a6f69f2a710a5001e30904cc7c533e21775,1426908
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/edge_communication.csv.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/edge_communication.csv,gzip,dbacc80f2f4adb6399b00bf9e40416122d31133c7ef3c9af3f80609b1d231c73,e17ea434b439023b5908a696a35e8eb35322e9f81e9dc988c838f935ce97049f,13113
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/episode.json,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/episode.json,plain,189354fa6a7bdd30ab5623158c0f5c576a07c1a9b675ec65b284b3dcd340fc6d,189354fa6a7bdd30ab5623158c0f5c576a07c1a9b675ec65b284b3dcd340fc6d,7087
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/estimation.csv.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/estimation.csv,gzip,71a7a4417b33437b9e6abc4523d8812b1c340e8f25d02daf5398c84206cfe490,a6f23432852af104b7b6525c07d8374ef4f7a7e3f07f221fa43b8ade96e44637,428444
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/events.jsonl.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/events.jsonl,gzip,eb0d3e31a6452d8588cf1189e11b4b4501afd58e5b9569d9969dee0a76348145,110d191fd5c1445bc8661c2474597a701411f1d0ce28ba40a9334dd787c20b89,20567308
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/triggers.csv.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule/triggers.csv,gzip,ec3141f73f985c5d6c3615943c3f533826856f27c4e11850211f9b5b2f330825,ab8509c9290c6a90867c8111a210f35a2a2b61d04c0ce8b3ef2a4746e1185c16,195922
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule/causal_chains.json.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule/causal_chains.json,gzip,79a01cae27e90d6e622620b98c9cbc2e889457114c9f5d3b63a963113894f84c,ff6d5128215be92aee1ba654ee39ea2e81ad00278eaaf0bec6d578427b1aa023,55908
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule/decisions.csv.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule/decisions.csv,gzip,4463a68b9f1ca94c19210f7162f008ed064d11345c56a4f0462f5def5383cf66,9830528c88e60f84fd80c2daee08b67df6bb566a9318e44007a69feed44761ca,199663
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule/deliveries.csv.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule/deliveries.csv,gzip,ff412afe746df38e1c428e239ff933eab2ba790b60a0653ecb142a45e8daf47f,40e55926bf3dbf99ab6400a3e78d5a6f69f2a710a5001e30904cc7c533e21775,1426908
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule/edge_communication.csv.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule/edge_communication.csv,gzip,dbacc80f2f4adb6399b00bf9e40416122d31133c7ef3c9af3f80609b1d231c73,e17ea434b439023b5908a696a35e8eb35322e9f81e9dc988c838f935ce97049f,13113
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule/episode.json,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule/episode.json,plain,4d29402a88a79984ddf71deea7c6625c806d984bbe4c3cb0e143768a75966f42,4d29402a88a79984ddf71deea7c6625c806d984bbe4c3cb0e143768a75966f42,7086
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule/estimation.csv.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule/estimation.csv,gzip,c85bafbe15e7e808fcd31f4aadc1ca484dab5e931fdb92faea704ad55a161c1e,0c550233a265d9a886b8fd5f36c9a450a020cd65e1270309230ba36b6e418c8e,428269
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule/events.jsonl.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule/events.jsonl,gzip,460b7a9d49c1917b082ec626eec2d544a7ac80c2ccfe0932dfe12b9d8352a2fc,da288ac4b2fd83263194323144e16b2152639d7c5cfc4c4516c8bc0b44ed5fb1,20553111
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule/triggers.csv.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule/triggers.csv,gzip,788e81848cd3bf337d10d247355f04db8704ee0dd4304a8b2d4c1dc1f629763e,6062facc21d7c60c6fd7452e307b390a0dd7a7a16a8f383a694e8bba97c45619,181942
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-always_on-f06f6808d09b-fp16-frozen_local_rule/causal_chains.json.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-always_on-f06f6808d09b-fp16-frozen_local_rule/causal_chains.json,gzip,351f24a2af74e46a88e5e4e67ee1682b3c2aa158bc322bbdad7364f575360fdc,9916eff69311c6463a11b2e7de6eb2076501d277acba2aaa26f45eabedded581,55128
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-always_on-f06f6808d09b-fp16-frozen_local_rule/decisions.csv.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-always_on-f06f6808d09b-fp16-frozen_local_rule/decisions.csv,gzip,c4b0e0ae702542df87b41258af2e0c68edad869ecd672aabf13eff0f2ccd5fca,f92ae9973a59bea0d4a93d731e43f6f5a2f064d77937f515b5776733f60dd462,190393
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-always_on-f06f6808d09b-fp16-frozen_local_rule/deliveries.csv.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-always_on-f06f6808d09b-fp16-frozen_local_rule/deliveries.csv,gzip,6cb3156bf165515f96efcbb45ebe8c7b404c47b2ced7b02d1104cf1c02771a36,4e23297161cb6b7d9deb7a4a1c8b506e79e2d4dcacae72567121a2fa297eb597,2546297
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-always_on-f06f6808d09b-fp16-frozen_local_rule/edge_communication.csv.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-always_on-f06f6808d09b-fp16-frozen_local_rule/edge_communication.csv,gzip,d8eaa25dd473d9f6307cbaa11bc6a0e0fea1e68850d93b4f978c90732990fbb2,1cf5b834138dd85f6b3f3aad42bebd729aa5b74086407e0c444b8c7d63eef348,13401
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-always_on-f06f6808d09b-fp16-frozen_local_rule/episode.json,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-always_on-f06f6808d09b-fp16-frozen_local_rule/episode.json,plain,ab0d4f1ecd1118ce41420c4436a3f7068ba24cedadb55e9bf909be7a402cedb2,ab0d4f1ecd1118ce41420c4436a3f7068ba24cedadb55e9bf909be7a402cedb2,6932
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-always_on-f06f6808d09b-fp16-frozen_local_rule/estimation.csv.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-always_on-f06f6808d09b-fp16-frozen_local_rule/estimation.csv,gzip,994a75f1fd869488e5920770a2bd5db0792c61c882af67b181e47192b578a5c3,61170c076d8f7edbecb92ee3988adb723ffa68df19643f490827a8f61f973dd0,428862
humanitarian,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-always_on-f06f6808d09b-fp16-frozen_local_rule/events.jsonl.gz,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-always_on-f06f6808d09b-fp16-frozen_local_rule/events.jsonl,gzip,500453b7ffe625cd2bff2a1ae5f13aa93b5ec3bc44377ef0ff00118bab260def,75620ce45e360ddae951525677ad563e8d9e57fcd2c2edb06860a62deb41e8f4,30633108
