cluster_id,application,regime,information_condition,environment_seed,topology_family,scenario_family,policy,score_threshold,eligible_incidents,selected_count,action_coverage,beneficial_count,neutral_count,harmful_count,harmful_action_rate,causal_utility,baseline_service_loss,service_loss,operator_escalations,operator_minutes,maximum_queue_length,selected_candidates,escalated_candidates,sketch_messages,sketch_bytes,operational_messages,operational_bytes,escalation_messages,escalation_bytes,total_messages,total_bytes
commercial|compound|private_fragmented|51101,commercial,compound,private_fragmented,51101,commercial_topology_1,compound_unsafe_or_compromised_component,original_safe,0.0,4,2,0.5,2,0,0,0.0,0.2165520362812784,3.224477106665769,3.0079250703844904,0,10.0,0,commercial|compound|private_fragmented|51101|supply_01|verify;commercial|compound|private_fragmented|51101|supply_03|request_peer_evidence,,25,4443,12,1452,0,0,37,5895
commercial|compound|private_fragmented|51102,commercial,compound,private_fragmented,51102,commercial_topology_2,compound_evidence_conflict,original_safe,0.0,4,1,0.25,0,1,0,0.0,0.0,3.261742340231626,3.261742340231626,0,6.0,0,commercial|compound|private_fragmented|51102|supply_01|verify,,23,4024,12,1431,0,0,35,5455
commercial|compound|private_fragmented|51103,commercial,compound,private_fragmented,51103,commercial_topology_3,compound_unsafe_or_compromised_component,original_safe,0.0,4,1,0.25,1,0,0,0.0,0.1304050840169734,4.469623910682611,4.339218826665637,0,4.0,0,commercial|compound|private_fragmented|51103|supply_03|request_peer_evidence,,20,3524,12,1401,0,0,32,4925
commercial|compound|private_fragmented|51104,commercial,compound,private_fragmented,51104,commercial_topology_0,compound_resource_shortage,original_safe,0.0,4,2,0.5,1,0,1,0.5,-0.27531030058660855,3.7617720492146702,4.0370823498012784,0,12.0,0,commercial|compound|private_fragmented|51104|supply_03|reroute_or_reconfigure;commercial|compound|private_fragmented|51104|supply_04|request_peer_evidence,,24,4215,12,1467,0,0,36,5682
commercial|compound|private_fragmented|51105,commercial,compound,private_fragmented,51105,commercial_topology_1,compound_resource_shortage,original_safe,0.0,4,1,0.25,0,1,0,0.0,0.0,4.575881413436919,4.575881413436919,0,4.0,0,commercial|compound|private_fragmented|51105|supply_02|request_peer_evidence,,23,4032,12,1473,0,0,35,5505
commercial|compound|private_fragmented|51106,commercial,compound,private_fragmented,51106,commercial_topology_2,compound_route_or_service_failure,original_safe,0.0,4,1,0.25,1,0,0,0.0,0.1285689287143989,4.1595675485994015,4.030998619885002,0,9.0,0,commercial|compound|private_fragmented|51106|supply_04|deploy_repair_capacity,,21,3704,12,1437,0,0,33,5141
commercial|compound|private_fragmented|51107,commercial,compound,private_fragmented,51107,commercial_topology_3,compound_route_or_service_failure,original_safe,0.0,4,1,0.25,1,0,0,0.0,0.1062961071570125,4.080641878353665,3.9743457711966528,0,6.0,0,commercial|compound|private_fragmented|51107|supply_02|verify,,19,3336,12,1467,0,0,31,4803
commercial|compound|private_fragmented|51108,commercial,compound,private_fragmented,51108,commercial_topology_0,compound_evidence_conflict,original_safe,0.0,4,2,0.5,1,1,0,0.0,0.1085613484470533,3.92126046507519,3.8126991166281368,0,8.0,0,commercial|compound|private_fragmented|51108|supply_04|request_peer_evidence;commercial|compound|private_fragmented|51108|supply_01|request_peer_evidence,,24,4206,12,1449,0,0,36,5655
commercial|compound|private_fragmented|51109,commercial,compound,private_fragmented,51109,commercial_topology_1,compound_commitment_deadlock,original_safe,0.0,4,2,0.5,1,1,0,0.0,0.0956031698725926,2.9035250415416733,2.807921871669081,0,10.0,0,commercial|compound|private_fragmented|51109|supply_01|request_peer_evidence;commercial|compound|private_fragmented|51109|supply_02|verify,,20,3565,12,1419,0,0,32,4984
commercial|compound|private_fragmented|51110,commercial,compound,private_fragmented,51110,commercial_topology_2,compound_route_or_service_failure,original_safe,0.0,4,2,0.5,1,1,0,0.0,0.1362,3.78157035169928,3.6453703516992797,0,10.0,0,commercial|compound|private_fragmented|51110|supply_02|request_peer_evidence;commercial|compound|private_fragmented|51110|supply_03|verify,,24,4256,12,1479,0,0,36,5735
commercial|compound|private_fragmented|51111,commercial,compound,private_fragmented,51111,commercial_topology_3,compound_route_or_service_failure,original_safe,0.0,4,0,0.0,0,0,0,0.0,0.0,4.040598342346969,4.040598342346969,0,0.0,0,,,18,3141,12,1476,0,0,30,4617
commercial|compound|private_fragmented|51112,commercial,compound,private_fragmented,51112,commercial_topology_0,compound_unsafe_or_compromised_component,original_safe,0.0,4,2,0.5,1,0,1,0.5,0.30995998227591237,4.2545016961762006,3.9445417139002883,0,15.0,0,commercial|compound|private_fragmented|51112|supply_04|deploy_repair_capacity;commercial|compound|private_fragmented|51112|supply_01|verify,,26,4581,12,1416,0,0,38,5997
commercial|compound|private_fragmented|51113,commercial,compound,private_fragmented,51113,commercial_topology_1,compound_commitment_deadlock,original_safe,0.0,4,1,0.25,1,0,0,0.0,0.1007807299442475,3.3802473037633503,3.2794665738191027,0,4.0,0,commercial|compound|private_fragmented|51113|supply_01|request_peer_evidence,,20,3555,12,1482,0,0,32,5037
commercial|compound|private_fragmented|51114,commercial,compound,private_fragmented,51114,commercial_topology_2,compound_route_or_service_failure,original_safe,0.0,4,1,0.25,1,0,0,0.0,0.1362,3.916844431843184,3.780644431843184,0,4.0,0,commercial|compound|private_fragmented|51114|supply_04|request_peer_evidence,,25,4414,12,1452,0,0,37,5866
commercial|compound|private_fragmented|51115,commercial,compound,private_fragmented,51115,commercial_topology_3,compound_evidence_conflict,original_safe,0.0,4,0,0.0,0,0,0,0.0,0.0,4.4209710049399025,4.4209710049399025,0,0.0,0,,,23,4053,12,1494,0,0,35,5547
commercial|compound|private_fragmented|51116,commercial,compound,private_fragmented,51116,commercial_topology_0,compound_route_or_service_failure,original_safe,0.0,4,0,0.0,0,0,0,0.0,0.0,3.8532756923351137,3.8532756923351137,0,0.0,0,,,23,4017,12,1494,0,0,35,5511
commercial|compound|private_fragmented|51117,commercial,compound,private_fragmented,51117,commercial_topology_1,compound_unsafe_or_compromised_component,original_safe,0.0,4,2,0.5,1,1,0,0.0,0.1298952248579958,4.172207735617198,4.042312510759202,0,13.0,0,commercial|compound|private_fragmented|51117|supply_04|deploy_repair_capacity;commercial|compound|private_fragmented|51117|supply_03|request_peer_evidence,,24,4205,12,1497,0,0,36,5702
commercial|compound|private_fragmented|51118,commercial,compound,private_fragmented,51118,commercial_topology_2,compound_evidence_conflict,original_safe,0.0,4,1,0.25,1,0,0,0.0,0.1163507378770172,4.592273351453884,4.475922613576867,0,9.0,0,commercial|compound|private_fragmented|51118|supply_02|deploy_repair_capacity,,22,3907,12,1500,0,0,34,5407
commercial|compound|private_fragmented|51119,commercial,compound,private_fragmented,51119,commercial_topology_3,compound_commitment_deadlock,original_safe,0.0,4,1,0.25,1,0,0,0.0,0.1107092876148434,3.7593610619716697,3.6486517743568263,0,4.0,0,commercial|compound|private_fragmented|51119|supply_01|request_peer_evidence,,18,3189,12,1455,0,0,30,4644
commercial|compound|private_fragmented|51120,commercial,compound,private_fragmented,51120,commercial_topology_0,compound_unsafe_or_compromised_component,original_safe,0.0,4,2,0.5,1,1,0,0.0,0.1014273561835154,3.401523947089693,3.3000965909061777,0,8.0,0,commercial|compound|private_fragmented|51120|supply_02|request_peer_evidence;commercial|compound|private_fragmented|51120|supply_01|request_peer_evidence,,23,4062,12,1425,0,0,35,5487
