application,policy,independent_panels,eligible_incidents,selected_actions,action_coverage,beneficial_actions,neutral_actions,harmful_actions,harmful_action_rate,mean_panel_causal_utility,mean_panel_service_loss,operator_escalations,mean_operator_minutes,maximum_queue_length,mean_total_messages,mean_total_bytes
commercial,coverage_matched_no_consensus,80,299,99,0.3311036789297659,56,33,10,0.10101010101010101,0.05340932181719288,3.3970115919208497,0,6.8375,0,34.0375,5337.2875
commercial,mandatory_intervention,80,299,158,0.5284280936454849,82,53,23,0.14556962025316456,0.052562546196595936,3.397858367541447,0,10.8375,0,34.0375,5337.2875
commercial,operator_budget_matched_escalation,80,299,116,0.3879598662207358,66,38,12,0.10344827586206896,0.05471451423475082,3.395706399503291,19,7.9625,2,34.5125,5458.8875
commercial,original_safe,80,299,99,0.3311036789297659,54,33,12,0.12121212121212122,0.047908360575291395,3.402512553162751,0,6.675,0,34.0375,5337.2875
commercial,same_score_no_consensus,80,299,116,0.3879598662207358,66,38,12,0.10344827586206896,0.05471451423475082,3.395706399503291,0,7.9625,0,34.0375,5337.2875
humanitarian,coverage_matched_no_consensus,80,292,94,0.3219178082191781,39,34,21,0.22340425531914893,-0.01987574436152531,3.447444221193089,0,6.85,0,34.225,5354.0875
humanitarian,mandatory_intervention,80,292,159,0.5445205479452054,61,63,35,0.22012578616352202,-0.035101595514941644,3.462670072346506,0,10.9875,0,34.225,5354.0875
humanitarian,operator_budget_matched_escalation,80,292,108,0.3698630136986301,44,41,23,0.21296296296296297,-0.019336220029619745,3.4469046968611843,15,7.7,2,34.6,5450.0875
humanitarian,original_safe,80,292,94,0.3219178082191781,39,36,19,0.20212765957446807,-0.012696350694629288,3.440264827526194,0,6.775,0,34.225,5354.0875
humanitarian,same_score_no_consensus,80,292,108,0.3698630136986301,44,41,23,0.21296296296296297,-0.019336220029619745,3.4469046968611843,0,7.7,0,34.225,5354.0875
utility_restoration,coverage_matched_no_consensus,80,306,68,0.2222222222222222,32,22,14,0.20588235294117646,0.0091121097079959,3.3869210787637414,0,5.1375,0,35.625,5790.375
utility_restoration,mandatory_intervention,80,306,160,0.5228758169934641,81,50,29,0.18125,-0.0005597708994682469,3.3965929593712056,0,11.75,0,35.625,5790.375
utility_restoration,operator_budget_matched_escalation,80,306,86,0.28104575163398693,42,28,16,0.18604651162790697,0.015204000420985683,3.3808291880507513,19,6.3125,2,36.1,5911.975
utility_restoration,original_safe,80,306,68,0.2222222222222222,36,23,9,0.1323529411764706,0.023924494428403366,3.372108694043334,0,4.9125,0,35.625,5790.375
utility_restoration,same_score_no_consensus,80,306,86,0.28104575163398693,42,28,16,0.18604651162790697,0.015204000420985683,3.3808291880507513,0,6.3125,0,35.625,5790.375
