application,reference_policy,comparator_policy,metric,difference_definition,paired_mean_difference,ci95_low,ci95_high,independent_panels,bootstrap_replicates,bootstrap_seed
commercial,original_safe,coverage_matched_no_consensus,causal_utility,reference_minus_comparator,-0.005500961241901488,-0.030192973819448528,0.017555352349716887,80,10000,66051
commercial,original_safe,coverage_matched_no_consensus,service_loss,reference_minus_comparator,0.005500961241901486,-0.01755535234971689,0.030192973819448535,80,10000,66051
commercial,original_safe,coverage_matched_no_consensus,operator_minutes,reference_minus_comparator,-0.1625,-1.0875,0.625,80,10000,66051
commercial,original_safe,coverage_matched_no_consensus,total_messages,reference_minus_comparator,0.0,0.0,0.0,80,10000,66051
commercial,original_safe,coverage_matched_no_consensus,total_bytes,reference_minus_comparator,0.0,0.0,0.0,80,10000,66051
commercial,original_safe,operator_budget_matched_escalation,action_coverage,reference_minus_comparator,-0.05833333333333333,-0.09270833333333332,-0.028125,80,10000,66051
commercial,original_safe,operator_budget_matched_escalation,harmful_action_rate,reference_minus_comparator,0.0125,-0.0125,0.04375,80,10000,66051
commercial,original_safe,operator_budget_matched_escalation,causal_utility,reference_minus_comparator,-0.00680615365945941,-0.02047843279365538,0.010073558825579938,80,10000,66051
commercial,original_safe,operator_budget_matched_escalation,service_loss,reference_minus_comparator,0.006806153659459418,-0.010073558825579932,0.02047843279365539,80,10000,66051
commercial,original_safe,operator_budget_matched_escalation,operator_minutes,reference_minus_comparator,-1.2875,-2.1,-0.6125,80,10000,66051
commercial,original_safe,operator_budget_matched_escalation,total_messages,reference_minus_comparator,-0.475,-0.75,-0.25,80,10000,66051
commercial,original_safe,operator_budget_matched_escalation,total_bytes,reference_minus_comparator,-121.6,-192.0,-64.0,80,10000,66051
humanitarian,original_safe,same_score_no_consensus,action_coverage,reference_minus_comparator,-0.053125,-0.08333333333333333,-0.026041666666666664,80,10000,66051
humanitarian,original_safe,same_score_no_consensus,harmful_action_rate,reference_minus_comparator,-0.025,-0.05,-0.00625,80,10000,66051
humanitarian,original_safe,same_score_no_consensus,causal_utility,reference_minus_comparator,0.006639869334990457,-0.0015439212561623897,0.017292970074314695,80,10000,66051
humanitarian,original_safe,same_score_no_consensus,service_loss,reference_minus_comparator,-0.006639869334990456,-0.017292970074314695,0.001543921256162387,80,10000,66051
humanitarian,original_safe,same_score_no_consensus,operator_minutes,reference_minus_comparator,-0.925,-1.475,-0.44968750000000457,80,10000,66051
humanitarian,original_safe,same_score_no_consensus,total_messages,reference_minus_comparator,0.0,0.0,0.0,80,10000,66051
humanitarian,original_safe,same_score_no_consensus,total_bytes,reference_minus_comparator,0.0,0.0,0.0,80,10000,66051
humanitarian,original_safe,mandatory_intervention,action_coverage,reference_minus_comparator,-0.25,-0.30625,-0.196875,80,10000,66051
humanitarian,original_safe,mandatory_intervention,harmful_action_rate,reference_minus_comparator,-0.06875,-0.125,-0.01875,80,10000,66051
humanitarian,original_safe,mandatory_intervention,causal_utility,reference_minus_comparator,0.02240524482031236,0.0011241551210430327,0.047794548651721634,80,10000,66051
humanitarian,original_safe,mandatory_intervention,service_loss,reference_minus_comparator,-0.022405244820312354,-0.04779454865172164,-0.0011241551210430347,80,10000,66051
humanitarian,original_safe,mandatory_intervention,operator_minutes,reference_minus_comparator,-4.2125,-5.075312499999997,-3.375,80,10000,66051
humanitarian,original_safe,mandatory_intervention,total_messages,reference_minus_comparator,0.0,0.0,0.0,80,10000,66051
humanitarian,original_safe,mandatory_intervention,total_bytes,reference_minus_comparator,0.0,0.0,0.0,80,10000,66051
humanitarian,original_safe,coverage_matched_no_consensus,action_coverage,reference_minus_comparator,-0.004166666666666667,-0.042708333333333334,0.03333333333333333,80,10000,66051
humanitarian,original_safe,coverage_matched_no_consensus,harmful_action_rate,reference_minus_comparator,-0.025,-0.0625,0.00625,80,10000,66051
humanitarian,original_safe,coverage_matched_no_consensus,causal_utility,reference_minus_comparator,0.007179393666896022,-0.0031096124695343262,0.018933464355672898,80,10000,66051
humanitarian,original_safe,coverage_matched_no_consensus,service_loss,reference_minus_comparator,-0.007179393666896022,-0.018933464355672905,0.0031096124695343314,80,10000,66051
humanitarian,original_safe,coverage_matched_no_consensus,operator_minutes,reference_minus_comparator,-0.075,-0.7875,0.6,80,10000,66051
humanitarian,original_safe,coverage_matched_no_consensus,total_messages,reference_minus_comparator,0.0,0.0,0.0,80,10000,66051
humanitarian,original_safe,coverage_matched_no_consensus,total_bytes,reference_minus_comparator,0.0,0.0,0.0,80,10000,66051
humanitarian,original_safe,operator_budget_matched_escalation,action_coverage,reference_minus_comparator,-0.053125,-0.08333333333333333,-0.026041666666666664,80,10000,66051
humanitarian,original_safe,operator_budget_matched_escalation,harmful_action_rate,reference_minus_comparator,-0.025,-0.05,-0.00625,80,10000,66051
humanitarian,original_safe,operator_budget_matched_escalation,causal_utility,reference_minus_comparator,0.006639869334990457,-0.0015439212561623897,0.017292970074314695,80,10000,66051
humanitarian,original_safe,operator_budget_matched_escalation,service_loss,reference_minus_comparator,-0.006639869334990456,-0.017292970074314695,0.001543921256162387,80,10000,66051
humanitarian,original_safe,operator_budget_matched_escalation,operator_minutes,reference_minus_comparator,-0.925,-1.475,-0.44968750000000457,80,10000,66051
humanitarian,original_safe,operator_budget_matched_escalation,total_messages,reference_minus_comparator,-0.375,-0.6,-0.175,80,10000,66051
humanitarian,original_safe,operator_budget_matched_escalation,total_bytes,reference_minus_comparator,-96.0,-153.6,-44.8,80,10000,66051
utility_restoration,original_safe,same_score_no_consensus,action_coverage,reference_minus_comparator,-0.0625,-0.096875,-0.03125,80,10000,66051
utility_restoration,original_safe,same_score_no_consensus,harmful_action_rate,reference_minus_comparator,-0.0625,-0.11875,-0.01875,80,10000,66051
utility_restoration,original_safe,same_score_no_consensus,causal_utility,reference_minus_comparator,0.008720494007417678,-0.004740445440517662,0.02690197413320848,80,10000,66051
utility_restoration,original_safe,same_score_no_consensus,service_loss,reference_minus_comparator,-0.008720494007417678,-0.026901974133208478,0.004740445440517648,80,10000,66051
utility_restoration,original_safe,same_score_no_consensus,operator_minutes,reference_minus_comparator,-1.4,-2.1875,-0.7125,80,10000,66051
utility_restoration,original_safe,same_score_no_consensus,total_messages,reference_minus_comparator,0.0,0.0,0.0,80,10000,66051
utility_restoration,original_safe,same_score_no_consensus,total_bytes,reference_minus_comparator,0.0,0.0,0.0,80,10000,66051
utility_restoration,original_safe,mandatory_intervention,action_coverage,reference_minus_comparator,-0.3052083333333333,-0.3521093749999998,-0.25729166666666664,80,10000,66051
utility_restoration,original_safe,mandatory_intervention,harmful_action_rate,reference_minus_comparator,-0.1125,-0.16875,-0.0625,80,10000,66051
utility_restoration,original_safe,mandatory_intervention,causal_utility,reference_minus_comparator,0.024484265327871606,-0.01502109629775524,0.0672124003623826,80,10000,66051
utility_restoration,original_safe,mandatory_intervention,service_loss,reference_minus_comparator,-0.024484265327871603,-0.06721240036238257,0.015021096297755226,80,10000,66051
utility_restoration,original_safe,mandatory_intervention,operator_minutes,reference_minus_comparator,-6.8375,-7.925,-5.7625,80,10000,66051
utility_restoration,original_safe,mandatory_intervention,total_messages,reference_minus_comparator,0.0,0.0,0.0,80,10000,66051
utility_restoration,original_safe,mandatory_intervention,total_bytes,reference_minus_comparator,0.0,0.0,0.0,80,10000,66051
utility_restoration,original_safe,coverage_matched_no_consensus,action_coverage,reference_minus_comparator,-0.0020833333333333337,-0.0416927083333331,0.03645833333333333,80,10000,66051
utility_restoration,original_safe,coverage_matched_no_consensus,harmful_action_rate,reference_minus_comparator,-0.05,-0.10625,0.0,80,10000,66051
utility_restoration,original_safe,coverage_matched_no_consensus,causal_utility,reference_minus_comparator,0.014812384720407462,-0.005067947619062773,0.03710909215664928,80,10000,66051
utility_restoration,original_safe,coverage_matched_no_consensus,service_loss,reference_minus_comparator,-0.014812384720407457,-0.03710909215664929,0.00506794761906279,80,10000,66051
utility_restoration,original_safe,coverage_matched_no_consensus,operator_minutes,reference_minus_comparator,-0.225,-1.1375,0.625,80,10000,66051
utility_restoration,original_safe,coverage_matched_no_consensus,total_messages,reference_minus_comparator,0.0,0.0,0.0,80,10000,66051
utility_restoration,original_safe,coverage_matched_no_consensus,total_bytes,reference_minus_comparator,0.0,0.0,0.0,80,10000,66051
utility_restoration,original_safe,operator_budget_matched_escalation,action_coverage,reference_minus_comparator,-0.0625,-0.096875,-0.03125,80,10000,66051
utility_restoration,original_safe,operator_budget_matched_escalation,harmful_action_rate,reference_minus_comparator,-0.0625,-0.11875,-0.01875,80,10000,66051
utility_restoration,original_safe,operator_budget_matched_escalation,causal_utility,reference_minus_comparator,0.008720494007417678,-0.004740445440517662,0.02690197413320848,80,10000,66051
utility_restoration,original_safe,operator_budget_matched_escalation,service_loss,reference_minus_comparator,-0.008720494007417678,-0.026901974133208478,0.004740445440517648,80,10000,66051
utility_restoration,original_safe,operator_budget_matched_escalation,operator_minutes,reference_minus_comparator,-1.4,-2.1875,-0.7125,80,10000,66051
utility_restoration,original_safe,operator_budget_matched_escalation,total_messages,reference_minus_comparator,-0.475,-0.725,-0.25,80,10000,66051
utility_restoration,original_safe,operator_budget_matched_escalation,total_bytes,reference_minus_comparator,-121.6,-185.6,-64.0,80,10000,66051
