application,regime,reference,treatment,independent_panels,reference_mean_loss,treatment_mean_loss,mean_treatment_minus_reference,difference_ci95_low,difference_ci95_high,mean_relative_loss_reduction,paired_win_rate,evidence_stage
commercial,aggregate,autonomy_no_operator,thermohitl_v4_rule,60,5.699545599999999,5.598028799999999,-0.1015168,-0.2575988800000001,0.0,0.0091215140166798,0.0333333333333333,development
commercial,compound,autonomy_no_operator,thermohitl_v4_rule,12,9.799736799999998,9.564979199999998,-0.2347576000000003,-0.7042728000000009,0.0,0.0189594786991358,0.0833333333333333,development
commercial,correlated,autonomy_no_operator,thermohitl_v4_rule,12,7.2370312,6.964204800000001,-0.2728263999999999,-0.8184792,0.0,0.0266480913842632,0.0833333333333333,development
commercial,isolated_physical,autonomy_no_operator,thermohitl_v4_rule,12,3.820320000000001,3.820320000000001,0.0,0.0,0.0,0.0,0.0,development
commercial,partition,autonomy_no_operator,thermohitl_v4_rule,12,3.820320000000001,3.820320000000001,0.0,0.0,0.0,0.0,0.0,development
commercial,telemetry_integrity,autonomy_no_operator,thermohitl_v4_rule,12,3.820320000000001,3.820320000000001,0.0,0.0,0.0,0.0,0.0,development
humanitarian,aggregate,autonomy_no_operator,thermohitl_v4_rule,60,8.083921440000001,6.1246472,-1.95927424,-2.42117568,-1.4884900800000005,0.2095660827478131,0.5333333333333333,development
humanitarian,compound,autonomy_no_operator,thermohitl_v4_rule,12,13.8286848,11.2907648,-2.53792,-3.48964,-1.5861999999999992,0.1691537590232558,0.6666666666666666,development
humanitarian,correlated,autonomy_no_operator,thermohitl_v4_rule,12,9.4196424,7.237031200000001,-2.1826111999999998,-3.0010903999999994,-1.3641319999999997,0.2131847310741063,0.6666666666666666,development
humanitarian,isolated_physical,autonomy_no_operator,thermohitl_v4_rule,12,3.820320000000001,3.820320000000001,0.0,0.0,0.0,0.0,0.0,development
humanitarian,partition,autonomy_no_operator,thermohitl_v4_rule,12,6.675480000000001,4.1375600000000015,-2.53792,-3.48964,-1.5862000000000005,0.3327459618208517,0.6666666666666666,development
humanitarian,telemetry_integrity,autonomy_no_operator,thermohitl_v4_rule,12,6.675480000000001,4.1375600000000015,-2.53792,-3.48964,-1.5862000000000005,0.3327459618208517,0.6666666666666666,development
utility_restoration,aggregate,autonomy_no_operator,thermohitl_v4_rule,60,9.134620320000002,7.810128213333335,-1.3244921066666666,-1.630553173333333,-1.0159505253333332,0.1342233294473747,0.5666666666666667,development
utility_restoration,compound,autonomy_no_operator,thermohitl_v4_rule,12,14.550179199999995,13.101449866666664,-1.4487293333333338,-1.9949864000000013,-0.878603733333334,0.0978360554661722,0.6666666666666666,development
utility_restoration,correlated,autonomy_no_operator,thermohitl_v4_rule,12,11.232442399999998,9.049831200000002,-2.182611199999999,-3.001090399999999,-1.3641319999999997,0.1811157081961265,0.6666666666666666,development
utility_restoration,isolated_physical,autonomy_no_operator,thermohitl_v4_rule,12,5.633120000000003,5.633120000000003,0.0,0.0,0.0,0.0,0.0,development
utility_restoration,partition,autonomy_no_operator,thermohitl_v4_rule,12,7.128680000000002,5.633120000000003,-1.4955600000000002,-1.9940800000000003,-0.99704,0.1960824417872876,0.75,development
utility_restoration,telemetry_integrity,autonomy_no_operator,thermohitl_v4_rule,12,7.128680000000002,5.633120000000003,-1.4955600000000002,-1.9940800000000003,-0.99704,0.1960824417872876,0.75,development
