application,information_condition,true_paired_utility_gain,replicates,seed,mean_permuted_gain,median_permuted_gain,permuted_gain_ci95_low,permuted_gain_ci95_high,probability_permuted_at_least_true,mean_gain_fraction_of_true
humanitarian,private_fragmented,0.1588507199999999,2000,44143,0.0125211744,0.0112476,-0.0440040719999999,0.0713097839999999,0.0,0.0788235294117648
utility_restoration,private_fragmented,0.17867616,2000,44243,0.01257771728,0.01039888,-0.0342784,0.06862272,0.0,0.0703939310090389
