cluster_id,panel_id,disruption,memory_depth,conditional_mutual_information_nats
V14Q_g0,V14Q_g0_nominal,nominal,1,0.003122201647739309
V14Q_g0,V14Q_g0_nominal,nominal,2,0.005411827441436779
V14Q_g0,V14Q_g0_nominal,nominal,3,0.007099064520138195
V14Q_g0,V14Q_g0_field_reversal,field_reversal,1,0.01092828773670366
V14Q_g0,V14Q_g0_field_reversal,field_reversal,2,0.00708258021676905
V14Q_g0,V14Q_g0_field_reversal,field_reversal,3,0.0069577136784740425
V14Q_g0,V14Q_g0_network_partition,network_partition,1,0.003736369511570842
V14Q_g0,V14Q_g0_network_partition,network_partition,2,0.00710402459249373
V14Q_g0,V14Q_g0_network_partition,network_partition,3,0.006990676845057259
V14Q_g0,V14Q_g0_message_corruption,message_corruption,1,0.0035879417397084367
V14Q_g0,V14Q_g0_message_corruption,message_corruption,2,0.006939761156765873
V14Q_g0,V14Q_g0_message_corruption,message_corruption,3,0.006806606890952609
V14Q_g1,V14Q_g1_nominal,nominal,1,0.005575087089284127
V14Q_g1,V14Q_g1_nominal,nominal,2,0.003404851543387321
V14Q_g1,V14Q_g1_nominal,nominal,3,0.0028203429327786776
V14Q_g1,V14Q_g1_field_reversal,field_reversal,1,0.026888057660417807
V14Q_g1,V14Q_g1_field_reversal,field_reversal,2,0.0035086362592630146
V14Q_g1,V14Q_g1_field_reversal,field_reversal,3,0.002933458096911276
V14Q_g1,V14Q_g1_network_partition,network_partition,1,0.005575087089284127
V14Q_g1,V14Q_g1_network_partition,network_partition,2,0.003404851543387321
V14Q_g1,V14Q_g1_network_partition,network_partition,3,0.0028203429327786776
V14Q_g1,V14Q_g1_message_corruption,message_corruption,1,0.014296559723013337
V14Q_g1,V14Q_g1_message_corruption,message_corruption,2,0.004071797256754856
V14Q_g1,V14Q_g1_message_corruption,message_corruption,3,0.0028507787437198526
V14Q_g2,V14Q_g2_nominal,nominal,1,0.004855098319200901
V14Q_g2,V14Q_g2_nominal,nominal,2,0.004613929337804029
V14Q_g2,V14Q_g2_nominal,nominal,3,0.004210593380096218
V14Q_g2,V14Q_g2_field_reversal,field_reversal,1,0.020938584748364842
V14Q_g2,V14Q_g2_field_reversal,field_reversal,2,0.004647447675480971
V14Q_g2,V14Q_g2_field_reversal,field_reversal,3,0.004269498267285011
V14Q_g2,V14Q_g2_network_partition,network_partition,1,0.004947108444682635
V14Q_g2,V14Q_g2_network_partition,network_partition,2,0.004722938120541211
V14Q_g2,V14Q_g2_network_partition,network_partition,3,0.004341605461604404
V14Q_g2,V14Q_g2_message_corruption,message_corruption,1,0.0046089376433010665
V14Q_g2,V14Q_g2_message_corruption,message_corruption,2,0.004353341705940235
V14Q_g2,V14Q_g2_message_corruption,message_corruption,3,0.00393361218558727
V14Q_g3,V14Q_g3_nominal,nominal,1,0.0059923113593959056
V14Q_g3,V14Q_g3_nominal,nominal,2,0.004683467020664569
V14Q_g3,V14Q_g3_nominal,nominal,3,0.0012703220608476589
V14Q_g3,V14Q_g3_field_reversal,field_reversal,1,0.026036754227356983
V14Q_g3,V14Q_g3_field_reversal,field_reversal,2,0.00470725480142315
V14Q_g3,V14Q_g3_field_reversal,field_reversal,3,0.0012943210054981579
V14Q_g3,V14Q_g3_network_partition,network_partition,1,0.006071911469429504
V14Q_g3,V14Q_g3_network_partition,network_partition,2,0.004766857361484382
V14Q_g3,V14Q_g3_network_partition,network_partition,3,0.001357899035664618
V14Q_g3,V14Q_g3_message_corruption,message_corruption,1,0.006223389313877394
V14Q_g3,V14Q_g3_message_corruption,message_corruption,2,0.004930362055805934
V14Q_g3,V14Q_g3_message_corruption,message_corruption,3,0.0015354066024150332
V14Q_g4,V14Q_g4_nominal,nominal,1,0.006024666351451135
V14Q_g4,V14Q_g4_nominal,nominal,2,0.003859532081052299
V14Q_g4,V14Q_g4_nominal,nominal,3,0.002718236713989196
V14Q_g4,V14Q_g4_field_reversal,field_reversal,1,0.027687893013052824
V14Q_g4,V14Q_g4_field_reversal,field_reversal,2,0.004021471064101675
V14Q_g4,V14Q_g4_field_reversal,field_reversal,3,0.0028846732335475705
V14Q_g4,V14Q_g4_network_partition,network_partition,1,0.004320855191341045
V14Q_g4,V14Q_g4_network_partition,network_partition,2,0.003956173646072778
V14Q_g4,V14Q_g4_network_partition,network_partition,3,0.00281246906787609
V14Q_g4,V14Q_g4_message_corruption,message_corruption,1,0.004028105000679209
V14Q_g4,V14Q_g4_message_corruption,message_corruption,2,0.003639608208334253
V14Q_g4,V14Q_g4_message_corruption,message_corruption,3,0.0024676093806799333
V14Q_g5,V14Q_g5_nominal,nominal,1,0.012107964500491305
V14Q_g5,V14Q_g5_nominal,nominal,2,0.005767844763636558
V14Q_g5,V14Q_g5_nominal,nominal,3,0.003705579610781626
V14Q_g5,V14Q_g5_field_reversal,field_reversal,1,0.02478137572852735
V14Q_g5,V14Q_g5_field_reversal,field_reversal,2,0.007507083412962224
V14Q_g5,V14Q_g5_field_reversal,field_reversal,3,0.0036358816992039657
V14Q_g5,V14Q_g5_network_partition,network_partition,1,0.012231471372060638
V14Q_g5,V14Q_g5_network_partition,network_partition,2,0.005901556828744158
V14Q_g5,V14Q_g5_network_partition,network_partition,3,0.0038511424789904876
V14Q_g5,V14Q_g5_message_corruption,message_corruption,1,0.01322475744106604
V14Q_g5,V14Q_g5_message_corruption,message_corruption,2,0.00719122835783931
V14Q_g5,V14Q_g5_message_corruption,message_corruption,3,0.006268491519631384
