cluster_id,panel_id,disruption,block_length,pseudocount,raw_block_divergence_nats_per_update,shuffle_floor_nats_per_update,adjusted_irreversibility_nats_per_update
V14Q_g0,V14Q_g0_nominal,nominal,2,0.1,0.03649259546317388,0.05625801768169583,-0.019765422218521955
V14Q_g0,V14Q_g0_nominal,nominal,2,0.5,0.0163749799123973,0.028068834719217232,-0.01169385480681993
V14Q_g0,V14Q_g0_nominal,nominal,2,1.0,0.010072151897172258,0.018590706099572443,-0.008518554202400185
V14Q_g0,V14Q_g0_nominal,nominal,3,0.1,0.0281676476213186,0.07560654564892437,-0.04743889802760577
V14Q_g0,V14Q_g0_nominal,nominal,3,0.5,0.012517700340052186,0.03559644383690411,-0.02307874349685192
V14Q_g0,V14Q_g0_nominal,nominal,3,1.0,0.0076120814402578,0.02262770959241345,-0.01501562815215565
V14Q_g0,V14Q_g0_nominal,nominal,4,0.1,0.025381559793070333,0.09268275131464992,-0.0673011915215796
V14Q_g0,V14Q_g0_nominal,nominal,4,0.5,0.011178094509783904,0.04255267161571565,-0.03137457710593175
V14Q_g0,V14Q_g0_nominal,nominal,4,1.0,0.006726744790244196,0.0249061045805617,-0.018179359790317505
V14Q_g0,V14Q_g0_field_reversal,field_reversal,2,0.1,0.12504462792141904,0.08908885735986098,0.03595577056155806
V14Q_g0,V14Q_g0_field_reversal,field_reversal,2,0.5,0.05439383318487062,0.04006182608428102,0.0143320071005896
V14Q_g0,V14Q_g0_field_reversal,field_reversal,2,1.0,0.032278912820193496,0.025248715015404898,0.007030197804788599
V14Q_g0,V14Q_g0_field_reversal,field_reversal,3,0.1,0.08208596716412346,0.1035558848247949,-0.02146991766067144
V14Q_g0,V14Q_g0_field_reversal,field_reversal,3,0.5,0.035234518558951516,0.0445334227274091,-0.009298904168457585
V14Q_g0,V14Q_g0_field_reversal,field_reversal,3,1.0,0.02060485078953463,0.025701578226249674,-0.005096727436715045
V14Q_g0,V14Q_g0_field_reversal,field_reversal,4,0.1,0.06447717669086853,0.12112893293080768,-0.05665175623993915
V14Q_g0,V14Q_g0_field_reversal,field_reversal,4,0.5,0.027384083240987955,0.04957879430621866,-0.0221947110652307
V14Q_g0,V14Q_g0_field_reversal,field_reversal,4,1.0,0.015832630140548545,0.02767239230020172,-0.011839762159653176
V14Q_g0,V14Q_g0_network_partition,network_partition,2,0.1,0.03649259546317388,0.03250168056039329,0.003990914902780585
V14Q_g0,V14Q_g0_network_partition,network_partition,2,0.5,0.0163749799123973,0.01627898216328314,9.599774911416004e-05
V14Q_g0,V14Q_g0_network_partition,network_partition,2,1.0,0.010072151897172258,0.010486013545123088,-0.0004138616479508299
V14Q_g0,V14Q_g0_network_partition,network_partition,3,0.1,0.0281676476213186,0.043403723035737966,-0.015236075414419365
V14Q_g0,V14Q_g0_network_partition,network_partition,3,0.5,0.012517700340052186,0.020164729172684262,-0.007647028832632076
V14Q_g0,V14Q_g0_network_partition,network_partition,3,1.0,0.0076120814402578,0.01278801130626769,-0.00517592986600989
V14Q_g0,V14Q_g0_network_partition,network_partition,4,0.1,0.025385064565204146,0.055036547169114144,-0.029651482603909998
V14Q_g0,V14Q_g0_network_partition,network_partition,4,0.5,0.011185516883296378,0.02480210384999066,-0.013616586966694282
V14Q_g0,V14Q_g0_network_partition,network_partition,4,1.0,0.006735270449040451,0.015307146000810045,-0.008571875551769595
V14Q_g0,V14Q_g0_message_corruption,message_corruption,2,0.1,0.036507748097968286,0.02469150970777758,0.011816238390190706
V14Q_g0,V14Q_g0_message_corruption,message_corruption,2,0.5,0.016408330176984665,0.012984743206687457,0.003423586970297208
V14Q_g0,V14Q_g0_message_corruption,message_corruption,2,1.0,0.010112226772094692,0.008167322732499623,0.0019449040395950693
V14Q_g0,V14Q_g0_message_corruption,message_corruption,3,0.1,0.02818712462838631,0.032479179375147334,-0.0042920547467610246
V14Q_g0,V14Q_g0_message_corruption,message_corruption,3,0.5,0.012559790791767233,0.01654471287988929,-0.003984922088122057
V14Q_g0,V14Q_g0_message_corruption,message_corruption,3,1.0,0.007661574817632689,0.010001294348036111,-0.0023397195304034222
V14Q_g0,V14Q_g0_message_corruption,message_corruption,4,0.1,0.025409625097610012,0.04191003875897852,-0.01650041366136851
V14Q_g0,V14Q_g0_message_corruption,message_corruption,4,0.5,0.01123775078468603,0.019335164536838912,-0.008097413752152883
V14Q_g0,V14Q_g0_message_corruption,message_corruption,4,1.0,0.006795560593724955,0.012228862787323064,-0.00543330219359811
V14Q_g1,V14Q_g1_nominal,nominal,2,0.1,0.033175086784703524,0.06336668248672868,-0.030191595702025155
V14Q_g1,V14Q_g1_nominal,nominal,2,0.5,0.014886345374906643,0.03406495808691126,-0.01917861271200462
V14Q_g1,V14Q_g1_nominal,nominal,2,1.0,0.009156501724702051,0.023902963430923237,-0.014746461706221186
V14Q_g1,V14Q_g1_nominal,nominal,3,0.1,0.02981632696212398,0.09211476163914879,-0.06229843467702481
V14Q_g1,V14Q_g1_nominal,nominal,3,0.5,0.013236292634555542,0.04522847093303266,-0.031992178298477114
V14Q_g1,V14Q_g1_nominal,nominal,3,1.0,0.008039078125050916,0.029276994935651158,-0.021237916810600242
V14Q_g1,V14Q_g1_nominal,nominal,4,0.1,0.026477794592666637,0.11743728434749688,-0.09095948975483024
V14Q_g1,V14Q_g1_nominal,nominal,4,0.5,0.011648639243664516,0.05276605428068203,-0.04111741503701752
V14Q_g1,V14Q_g1_nominal,nominal,4,1.0,0.007001486672322684,0.03134479133405368,-0.024343304661730993
V14Q_g1,V14Q_g1_field_reversal,field_reversal,2,0.1,0.10808150875714119,0.12334326143345009,-0.015261752676308901
V14Q_g1,V14Q_g1_field_reversal,field_reversal,2,0.5,0.048052482133172876,0.05942748998016214,-0.011375007846989263
V14Q_g1,V14Q_g1_field_reversal,field_reversal,2,1.0,0.028956813245349926,0.036762620971624714,-0.007805807726274788
V14Q_g1,V14Q_g1_field_reversal,field_reversal,3,0.1,0.08343695735837112,0.14666467065308939,-0.06322771329471827
V14Q_g1,V14Q_g1_field_reversal,field_reversal,3,0.5,0.03626402781291165,0.06461382248684745,-0.0283497946739358
V14Q_g1,V14Q_g1_field_reversal,field_reversal,3,1.0,0.0213788762528735,0.03805804641665645,-0.01667917016378295
V14Q_g1,V14Q_g1_field_reversal,field_reversal,4,0.1,0.06537020948533621,0.1746790341325693,-0.10930882464723309
V14Q_g1,V14Q_g1_field_reversal,field_reversal,4,0.5,0.028049292708821182,0.070348209224235,-0.042298916515413815
V14Q_g1,V14Q_g1_field_reversal,field_reversal,4,1.0,0.016322511231535376,0.03862136691393791,-0.022298855682402533
V14Q_g1,V14Q_g1_network_partition,network_partition,2,0.1,0.033175086784703524,0.06331641197880349,-0.030141325194099962
V14Q_g1,V14Q_g1_network_partition,network_partition,2,0.5,0.014886345374906643,0.03533631184650602,-0.020449966471599378
V14Q_g1,V14Q_g1_network_partition,network_partition,2,1.0,0.009156501724702051,0.022795760638350825,-0.013639258913648774
V14Q_g1,V14Q_g1_network_partition,network_partition,3,0.1,0.02981632696212398,0.09121002540804962,-0.06139369844592564
V14Q_g1,V14Q_g1_network_partition,network_partition,3,0.5,0.013236292634555542,0.04525088065054818,-0.032014588015992634
V14Q_g1,V14Q_g1_network_partition,network_partition,3,1.0,0.008039078125050916,0.02790477293957707,-0.019865694814526155
V14Q_g1,V14Q_g1_network_partition,network_partition,4,0.1,0.026477794592666637,0.11896759606534245,-0.09248980147267581
V14Q_g1,V14Q_g1_network_partition,network_partition,4,0.5,0.011648639243664516,0.05402708434271008,-0.042378445099045564
V14Q_g1,V14Q_g1_network_partition,network_partition,4,1.0,0.007001486672322684,0.03127762082614869,-0.024276134153826005
V14Q_g1,V14Q_g1_message_corruption,message_corruption,2,0.1,0.033175086784703524,0.06536441509434439,-0.032189328309640865
V14Q_g1,V14Q_g1_message_corruption,message_corruption,2,0.5,0.014886345374906643,0.03548131343348639,-0.02059496805857975
V14Q_g1,V14Q_g1_message_corruption,message_corruption,2,1.0,0.009156501724702051,0.024626856346322806,-0.015470354621620755
V14Q_g1,V14Q_g1_message_corruption,message_corruption,3,0.1,0.0335666661746495,0.09459226184608034,-0.06102559567143084
V14Q_g1,V14Q_g1_message_corruption,message_corruption,3,0.5,0.015028791040861092,0.04547102866887119,-0.0304422376280101
V14Q_g1,V14Q_g1_message_corruption,message_corruption,3,1.0,0.009169928482845159,0.029645386129947767,-0.02047545764710261
V14Q_g1,V14Q_g1_message_corruption,message_corruption,4,0.1,0.03146839654582443,0.12192302628942564,-0.09045462974360122
V14Q_g1,V14Q_g1_message_corruption,message_corruption,4,0.5,0.014004316074130435,0.05504368112024679,-0.041039365046116355
V14Q_g1,V14Q_g1_message_corruption,message_corruption,4,1.0,0.008466939393590773,0.03164321433999531,-0.02317627494640454
V14Q_g2,V14Q_g2_nominal,nominal,2,0.1,0.040078790212331315,0.11012633924733438,-0.07004754903500307
V14Q_g2,V14Q_g2_nominal,nominal,2,0.5,0.018062102779324525,0.05997813802874896,-0.04191603524942444
V14Q_g2,V14Q_g2_nominal,nominal,2,1.0,0.011140350882717295,0.04021574538457113,-0.029075394501853834
V14Q_g2,V14Q_g2_nominal,nominal,3,0.1,0.03833133251027621,0.16029783474959391,-0.12196650223931771
V14Q_g2,V14Q_g2_nominal,nominal,3,0.5,0.017033459874114677,0.07564069692846322,-0.05860723705434854
V14Q_g2,V14Q_g2_nominal,nominal,3,1.0,0.010333984959738057,0.0465318382330558,-0.036197853273317745
V14Q_g2,V14Q_g2_nominal,nominal,4,0.1,0.03660212161684851,0.20854701876615153,-0.17194489714930303
V14Q_g2,V14Q_g2_nominal,nominal,4,0.5,0.016059354079491973,0.08638592104126368,-0.0703265669617717
V14Q_g2,V14Q_g2_nominal,nominal,4,1.0,0.009602632894161562,0.047774857669243366,-0.0381722247750818
V14Q_g2,V14Q_g2_field_reversal,field_reversal,2,0.1,0.13595083879961606,0.20469394212868677,-0.06874310332907071
V14Q_g2,V14Q_g2_field_reversal,field_reversal,2,0.5,0.06034863032518405,0.09713817306374327,-0.03678954273855922
V14Q_g2,V14Q_g2_field_reversal,field_reversal,2,1.0,0.03619612258265041,0.06073164945463341,-0.024535526871983
V14Q_g2,V14Q_g2_field_reversal,field_reversal,3,0.1,0.10179397192139233,0.2455971300712794,-0.14380315814988706
V14Q_g2,V14Q_g2_field_reversal,field_reversal,3,0.5,0.04439019804071944,0.10230562755297364,-0.057915429512254195
V14Q_g2,V14Q_g2_field_reversal,field_reversal,3,1.0,0.026095780965344668,0.05716361217484431,-0.03106783120949964
V14Q_g2,V14Q_g2_field_reversal,field_reversal,4,0.1,0.08486769452723841,0.28094572781243604,-0.19607803328519763
V14Q_g2,V14Q_g2_field_reversal,field_reversal,4,0.5,0.036513172997939915,0.10455842714654884,-0.06804525414860893
V14Q_g2,V14Q_g2_field_reversal,field_reversal,4,1.0,0.021140881921792396,0.05349529313117232,-0.03235441120937993
V14Q_g2,V14Q_g2_network_partition,network_partition,2,0.1,0.03774268734852958,0.10504332153720504,-0.06730063418867546
V14Q_g2,V14Q_g2_network_partition,network_partition,2,0.5,0.017337213532248458,0.0602889553414364,-0.04295174180918794
V14Q_g2,V14Q_g2_network_partition,network_partition,2,1.0,0.010816812117407301,0.039341295138252665,-0.028524483020845363
V14Q_g2,V14Q_g2_network_partition,network_partition,3,0.1,0.036000706649465045,0.15910559184224873,-0.12310488519278369
V14Q_g2,V14Q_g2_network_partition,network_partition,3,0.5,0.01632059599610093,0.07616380375491423,-0.0598432077588133
V14Q_g2,V14Q_g2_network_partition,network_partition,3,1.0,0.010021107801396452,0.046883907223216593,-0.03686279942182014
V14Q_g2,V14Q_g2_network_partition,network_partition,4,0.1,0.034276307122389126,0.20867692502129984,-0.1744006178989107
V14Q_g2,V14Q_g2_network_partition,network_partition,4,0.5,0.015357206455853587,0.08653392870445152,-0.07117672224859793
V14Q_g2,V14Q_g2_network_partition,network_partition,4,1.0,0.009298991961896466,0.047885832577321125,-0.03858684061542466
