hypothesis,estimand,unit,estimate,ci_low,ci_high,independent_clusters,bootstrap_replicates,exact_one_sided_sign_flip_p,cluster_values,holm_adjusted_p,frozen_numerical_criterion_met,valid_directional_test,inferential_support,trajectory_evidence_consistent_with_recovery
H2,field_reversal_minus_nominal_maximum_post_quench_distance,regularized_distance_units,133.80477019797726,107.94943646567195,184.0746298245746,6.0,10000.0,0.015625,"{""V14Q_g0"": 107.60769309815093, ""V14Q_g1"": 108.13932742513133, ""V14Q_g2"": 109.49546349084449, ""V14Q_g3"": 110.89399528720719, ""V14Q_g4"": 107.423220840877, ""V14Q_g5"": 259.26892104565275}",0.046875,True,True,True,False
H3,early_recovery_peak_minus_final_five_sweep_mean_distance,regularized_distance_units,134.1103235256311,106.65373035346899,184.1962163825209,6.0,10000.0,0.015625,"{""V14Q_g0"": 101.67206941901627, ""V14Q_g1"": 111.31696608692036, ""V14Q_g2"": 111.0625697669852, ""V14Q_g3"": 111.39847394807266, ""V14Q_g4"": 112.19073382877218, ""V14Q_g5"": 257.02112810401997}",0.046875,True,False,False,True
H4,full_minus_order_only_balanced_accuracy,proportion,0.3333333333333333,0.16666666666666666,0.4583333333333333,6.0,10000.0,0.03125,"{""V14Q_g0"": 0.5, ""V14Q_g1"": 0.5, ""V14Q_g2"": 0.25, ""V14Q_g3"": 0.0, ""V14Q_g4"": 0.25, ""V14Q_g5"": 0.5}",0.046875,True,True,True,False
