window_sweeps,metric,estimate,ci_low,ci_high,independent_clusters,bootstrap_replicates,independent_unit
3,edge_mutual_information_bias_adjusted,0.03446651054751266,0.030986470807871005,0.03759930359292796,6.0,10000.0,graph_environment_cluster
3,edge_mutual_information_null_mean,0.018381503728922766,0.01768878660185048,0.01898572429274058,6.0,10000.0,graph_environment_cluster
3,edge_mutual_information_raw,0.05284801427643542,0.048847979722034536,0.056559223103607385,6.0,10000.0,graph_environment_cluster
3,pairwise_mutual_information_bias_adjusted,0.03364547828586372,0.032296223764423926,0.03441459098968552,6.0,10000.0,graph_environment_cluster
3,pairwise_mutual_information_null_mean,0.018400562099408973,0.017965084391877714,0.01866713851126634,6.0,10000.0,graph_environment_cluster
3,pairwise_mutual_information_raw,0.05204604038527269,0.05028681849293629,0.05305509066472699,6.0,10000.0,graph_environment_cluster
3,total_correlation_bias_adjusted,0.24237824159459523,0.17487273570507342,0.3094731017558394,6.0,10000.0,graph_environment_cluster
3,total_correlation_normalized_adjusted,-0.044453472576425436,-0.11329956701715567,0.008186484931954388,6.0,10000.0,graph_environment_cluster
3,total_correlation_normalized_raw,0.07646139479567722,0.0034861001899656138,0.13821368574215662,6.0,10000.0,graph_environment_cluster
3,total_correlation_null_mean,2.421275939759546,2.3624889338469957,2.4759112368955414,6.0,10000.0,graph_environment_cluster
3,total_correlation_raw,2.663654181354141,2.5437369820719096,2.7811724861488245,6.0,10000.0,graph_environment_cluster
5,edge_mutual_information_bias_adjusted,0.07465084228956166,0.06881135749282873,0.08005561081740718,6.0,10000.0,graph_environment_cluster
5,edge_mutual_information_null_mean,0.03252527244904712,0.03197904265122318,0.0329513007332247,6.0,10000.0,graph_environment_cluster
5,edge_mutual_information_raw,0.10717611473860877,0.10096560447199772,0.11293524502488576,6.0,10000.0,graph_environment_cluster
5,pairwise_mutual_information_bias_adjusted,0.07334309227739673,0.06950952992120862,0.07538113741495323,6.0,10000.0,graph_environment_cluster
5,pairwise_mutual_information_null_mean,0.032725160289709294,0.032554843051902815,0.03288396229408765,6.0,10000.0,graph_environment_cluster
5,pairwise_mutual_information_raw,0.10606825256710602,0.1021063447517293,0.10822449121552868,6.0,10000.0,graph_environment_cluster
5,total_correlation_bias_adjusted,0.5763186478958581,0.42657698351304313,0.7035820979539614,6.0,10000.0,graph_environment_cluster
5,total_correlation_normalized_adjusted,-0.04339356084827798,-0.1519424785317247,0.031743801866085324,6.0,10000.0,graph_environment_cluster
5,total_correlation_normalized_raw,0.16343911211150822,0.04538066312779195,0.2546872251905586,6.0,10000.0,graph_environment_cluster
5,total_correlation_null_mean,4.0582687799171895,4.0012176782669675,4.1122331066162925,6.0,10000.0,graph_environment_cluster
5,total_correlation_raw,4.634587427813048,4.463613437936575,4.798369464415369,6.0,10000.0,graph_environment_cluster
7,edge_mutual_information_bias_adjusted,0.11765311131503804,0.10812467058994245,0.12575208113681688,6.0,10000.0,graph_environment_cluster
7,edge_mutual_information_null_mean,0.04673325187926184,0.04623292466942958,0.047077344379896184,6.0,10000.0,graph_environment_cluster
7,edge_mutual_information_raw,0.16438636319429992,0.15508377847307528,0.17276146703072767,6.0,10000.0,graph_environment_cluster
7,pairwise_mutual_information_bias_adjusted,0.11622288236467497,0.10892337564862879,0.12034844096078974,6.0,10000.0,graph_environment_cluster
7,pairwise_mutual_information_null_mean,0.04682236295744777,0.04671439877450215,0.046929895435864545,6.0,10000.0,graph_environment_cluster
7,pairwise_mutual_information_raw,0.16304524532212275,0.1556883321542961,0.1671991513656347,6.0,10000.0,graph_environment_cluster
7,total_correlation_bias_adjusted,0.910349362734017,0.688882837944056,1.0993775846600677,6.0,10000.0,graph_environment_cluster
7,total_correlation_normalized_adjusted,-0.04487964811384094,-0.15106132951404805,0.04093435423992215,6.0,10000.0,graph_environment_cluster
7,total_correlation_normalized_raw,0.24534031595425376,0.10591300597757831,0.3633081939408733,6.0,10000.0,graph_environment_cluster
7,total_correlation_null_mean,5.705198171920512,5.6554784031762475,5.752053419265699,6.0,10000.0,graph_environment_cluster
7,total_correlation_raw,6.615547534654529,6.370410071694162,6.839577162831535,6.0,10000.0,graph_environment_cluster
