cluster_id,panel_id,disruption,n_agents,sweeps,attempted_updates,valid_after_repair_fraction,mean_abs_belief_magnetization,mean_abs_action_magnetization,mean_belief_action_overlap,mean_disagreement,configuration_entropy,entropy_rate_nats_per_update,total_correlation,mean_reference_energy_per_agent,energy_fluctuation_N_var_e,belief_susceptibility,belief_integrated_correlation_time_updates,belief_action_lag,raw_block_divergence_nats_per_update,shuffle_floor_nats_per_update,adjusted_pathwise_irreversibility_nats_per_update,message_opportunities,messages_delivered,wire_bytes,privacy_mutations,prompt_tokens,generated_tokens,latency_seconds,conditional_memory_depth_1,conditional_memory_depth_2,conditional_memory_depth_3
V14Q_g0,V14Q_g0_nominal,nominal,16,45,720,1.0,0.018055555555555554,0.025520833333333333,0.9717013888888889,0.5733796296296296,0.8460312173233754,0.37462065590063687,1.6565801721110711,-1.607398726851852,0.6203763037601522,0.0345367794776696,22.93772338819214,0.9706189151599444,0.012517700340052186,0.03559644383690411,-0.02307874349685192,720,720,12960,0,395841,57995,1167.9217209033668,0.003122201647739309,0.005411827441436779,0.007099064520138195
V14Q_g0,V14Q_g0_field_reversal,field_reversal,16,45,720,1.0,0.021006944444444446,0.02847222222222222,0.9717013888888889,0.5747106481481481,0.9645569496427358,0.7914200936397374,19.06226846417892,-1.5699594907407408,1.229116184494068,0.06758953407510433,13.861284836861719,0.9654033379694019,0.035234518558951516,0.0445334227274091,-0.009298904168457585,720,720,12960,0,395738,57920,1167.4230082891881,0.01092828773670366,0.00708258021676905,0.0069577136784740425
V14Q_g0,V14Q_g0_network_partition,network_partition,16,45,720,1.0,0.010763888888888889,0.018229166666666668,0.9717013888888889,0.5775462962962962,0.6364308977604417,0.3180618672373127,1.4229001476489707,-1.6078153935185184,0.6170045683251343,0.021434090557873587,17.284636738553406,0.9709666203059806,0.012517700340052186,0.020164729172684262,-0.007647028832632076,720,720,12960,0,395488,57991,1168.708560127765,0.003736369511570842,0.00710402459249373,0.006990676845057259
V14Q_g0,V14Q_g0_message_corruption,message_corruption,16,45,720,1.0,0.008854166666666666,0.016319444444444445,0.9717013888888889,0.5781828703703703,0.5591067944366109,0.26854415522900343,1.399013026156099,-1.6086747685185185,0.6177241405029276,0.017720889352495748,18.709573602886106,0.9713143254520167,0.012559790791767233,0.01654471287988929,-0.003984922088122057,720,720,12960,0,395971,58058,1167.885382808745,0.0035879417397084367,0.006939761156765873,0.006806606890952609
V14Q_g1,V14Q_g1_nominal,nominal,16,45,720,1.0,0.029340277777777778,0.020833333333333332,0.9571180555555555,0.568923611111111,0.9789649355431074,0.3609341008404604,1.545913078401209,-1.5952951388888887,0.8411085950780408,0.0703982189769742,43.714967690920105,0.9567107093184979,0.013236292634555542,0.04522847093303266,-0.031992178298477114,720,720,12960,0,396696,58068,1168.9865405485034,0.005575087089284127,0.003404851543387321,0.0028203429327786776
V14Q_g1,V14Q_g1_field_reversal,field_reversal,16,45,720,1.0,0.03420138888888889,0.025694444444444443,0.9571180555555555,0.5710069444444444,1.1854190624178604,0.8034321153687236,18.92264912672405,-1.55296875,1.5858769848168754,0.0906114781332097,29.364205893256067,0.9511474269819193,0.03626402781291165,0.06461382248684745,-0.0283497946739358,720,720,12960,0,396324,57879,1164.4432960227132,0.026888057660417807,0.0035086362592630146,0.002933458096911276
V14Q_g1,V14Q_g1_network_partition,network_partition,16,45,720,1.0,0.029340277777777778,0.020833333333333332,0.9571180555555555,0.568923611111111,0.9789649355431074,0.3609341008404604,1.545913078401209,-1.5952951388888887,0.8411085950780408,0.0703982189769742,43.714967690920105,0.9567107093184979,0.013236292634555542,0.04525088065054818,-0.032014588015992634,720,720,12960,0,396375,58030,1168.7563025467098,0.005575087089284127,0.003404851543387321,0.0028203429327786776
V14Q_g1,V14Q_g1_message_corruption,message_corruption,16,45,720,1.0,0.029861111111111113,0.021354166666666667,0.9571180555555555,0.5687499999999999,0.9963950978693843,0.3749433461964636,1.5481671772675076,-1.5950607638888887,0.8408142083429921,0.07171225467470252,44.02656569837412,0.9563630041724618,0.015028791040861092,0.04547102866887119,-0.0304422376280101,720,720,12960,0,396730,58053,1169.026180330664,0.014296559723013337,0.004071797256754856,0.0028507787437198526
V14Q_g2,V14Q_g2_nominal,nominal,16,45,720,1.0,0.044444444444444446,0.029861111111111113,0.9638888888888889,0.4314814814814814,1.3357793344025575,0.4970714193898847,1.621150066061461,-1.827962962962963,0.8808672968285854,0.10067802503477052,36.90274911453219,0.9614047287899861,0.017033459874114677,0.07564069692846322,-0.05860723705434854,720,720,12960,0,396378,58043,1180.2958848625422,0.004855098319200901,0.004613929337804029,0.004210593380096218
V14Q_g2,V14Q_g2_field_reversal,field_reversal,16,45,720,1.0,0.04600694444444445,0.03246527777777778,0.9607638888888889,0.435474537037037,1.5632261963363012,1.0526928311403076,18.568434200394762,-1.7819126157407406,1.5722054324368118,0.11299982614742698,29.60171763212902,0.9541029207232267,0.04439019804071944,0.10230562755297364,-0.057915429512254195,720,720,12960,0,396310,58004,1170.8031799420714,0.020938584748364842,0.004647447675480971,0.004269498267285011
