panel_id,disruption,phase,source,target,active,message_count,cross_community
V14Q_g0_nominal,nominal,disruption,4,5,1,4,0
V14Q_g0_nominal,nominal,disruption,4,8,1,5,1
V14Q_g0_nominal,nominal,disruption,5,4,1,7,0
V14Q_g0_nominal,nominal,disruption,5,6,1,2,0
V14Q_g0_nominal,nominal,disruption,5,15,1,6,1
V14Q_g0_nominal,nominal,disruption,6,5,1,5,0
V14Q_g0_nominal,nominal,disruption,6,7,1,3,0
V14Q_g0_nominal,nominal,disruption,6,14,1,7,1
V14Q_g0_nominal,nominal,disruption,7,0,1,5,0
V14Q_g0_nominal,nominal,disruption,7,6,1,7,0
V14Q_g0_nominal,nominal,disruption,7,13,1,3,1
V14Q_g0_nominal,nominal,disruption,8,4,1,6,1
V14Q_g0_nominal,nominal,disruption,8,9,1,2,0
V14Q_g0_nominal,nominal,disruption,8,15,1,7,0
V14Q_g0_nominal,nominal,disruption,9,0,1,4,1
V14Q_g0_nominal,nominal,disruption,9,8,1,5,0
V14Q_g0_nominal,nominal,disruption,9,10,1,6,0
V14Q_g0_nominal,nominal,disruption,10,2,1,4,1
V14Q_g0_nominal,nominal,disruption,10,9,1,3,0
V14Q_g0_nominal,nominal,disruption,10,11,1,8,0
V14Q_g0_nominal,nominal,disruption,11,3,1,3,1
V14Q_g0_nominal,nominal,disruption,11,10,1,4,0
V14Q_g0_nominal,nominal,disruption,11,12,1,8,0
V14Q_g0_nominal,nominal,disruption,12,1,1,3,1
V14Q_g0_nominal,nominal,disruption,12,11,1,6,0
V14Q_g0_nominal,nominal,disruption,12,13,1,6,0
V14Q_g0_nominal,nominal,disruption,13,7,1,4,1
V14Q_g0_nominal,nominal,disruption,13,12,1,3,0
V14Q_g0_nominal,nominal,disruption,13,14,1,8,0
V14Q_g0_nominal,nominal,disruption,14,6,1,4,1
V14Q_g0_nominal,nominal,disruption,14,13,1,6,0
V14Q_g0_nominal,nominal,disruption,14,15,1,5,0
V14Q_g0_nominal,nominal,disruption,15,5,1,4,1
V14Q_g0_nominal,nominal,disruption,15,8,1,6,0
V14Q_g0_nominal,nominal,disruption,15,14,1,5,0
V14Q_g0_nominal,nominal,recovery,0,1,1,3,0
V14Q_g0_nominal,nominal,recovery,0,7,1,2,0
V14Q_g0_nominal,nominal,recovery,0,9,1,10,1
V14Q_g0_nominal,nominal,recovery,1,0,1,5,0
V14Q_g0_nominal,nominal,recovery,1,2,1,4,0
V14Q_g0_nominal,nominal,recovery,1,12,1,6,1
V14Q_g0_nominal,nominal,recovery,2,1,1,5,0
V14Q_g0_nominal,nominal,recovery,2,3,1,6,0
V14Q_g0_nominal,nominal,recovery,2,10,1,4,1
V14Q_g0_nominal,nominal,recovery,3,2,1,4,0
V14Q_g0_nominal,nominal,recovery,3,4,1,8,0
V14Q_g0_nominal,nominal,recovery,3,11,1,3,1
V14Q_g0_nominal,nominal,recovery,4,3,1,7,0
