metric,observed,null_mean,null_standard_deviation,null_q025,null_q975,upper_tail_empirical_p,replicates,seed,permutation_unit,pipeline_refit_per_permutation
full_statmech_balanced_accuracy,0.4583333333333333,0.2505625,0.08933567945987146,0.08333333333333333,0.4177083333333182,0.025097490250974904,10000,14149991,condition_labels_within_graph_environment_cluster,True
order_only_balanced_accuracy,0.125,0.250525,0.08923770466577244,0.08333333333333333,0.4166666666666667,0.9593040695930407,10000,14149991,condition_labels_within_graph_environment_cluster,True
simple_uncertainty_balanced_accuracy,0.4583333333333333,0.2505041666666667,0.08222748598806494,0.08333333333333333,0.4166666666666667,0.0096990300969903,10000,14149991,condition_labels_within_graph_environment_cluster,True
full_minus_order_only_balanced_accuracy,0.3333333333333333,3.7499999999999956e-05,0.10476272266889852,-0.20833333333333331,0.20833333333333334,0.0029997000299970002,10000,14149991,condition_labels_within_graph_environment_cluster,True
full_minus_simple_uncertainty_balanced_accuracy,0.0,5.833333333333325e-05,0.08920614785623356,-0.16666666666666669,0.16666666666666669,0.5963403659634037,10000,14149991,condition_labels_within_graph_environment_cluster,True
