study,panel_id,regime,block_length,pseudocount,raw_block_divergence_nats_per_update,shuffle_floor_nats_per_update,adjusted_irreversibility_nats_per_update,conditional_memory_depth_1,conditional_memory_depth_2,conditional_memory_depth_3
V13_replication,B_memory_n16_g0_markovized,markovized,2,0.5,0.05362821492801103,0.05210761424960042,0.0015206006784106094,0.043229690891718325,0.005164947746523474,0.0014304928674444607
V13_replication,B_memory_n16_g0_markovized,markovized,3,0.5,0.03854831585640721,0.05771172754996949,-0.019163411693562282,0.043229690891718325,0.005164947746523474,0.0014304928674444607
V13_replication,B_memory_n16_g0_markovized,markovized,4,0.5,0.03092927237051371,0.06301195552458629,-0.032082683154072575,0.043229690891718325,0.005164947746523474,0.0014304928674444607
V13_replication,B_memory_n16_g0_persistent_memory,persistent_memory,2,0.5,0.061460448371160964,0.020154234410121576,0.04130621396103939,0.0186661050007324,0.006425903348049855,0.0007292283409747844
V13_replication,B_memory_n16_g0_persistent_memory,persistent_memory,3,0.5,0.03951034461058904,0.02232712234858628,0.01718322226200276,0.0186661050007324,0.006425903348049855,0.0007292283409747844
V13_replication,B_memory_n16_g0_persistent_memory,persistent_memory,4,0.5,0.030684340218399456,0.026834121572340983,0.003850218646058473,0.0186661050007324,0.006425903348049855,0.0007292283409747844
V13_replication,B_memory_n16_g1_markovized,markovized,2,0.5,0.07143233313858521,0.0668916669975535,0.004540666141031713,0.03575679731650846,0.007489937588869453,0.005799831652105625
V13_replication,B_memory_n16_g1_markovized,markovized,3,0.5,0.04998571640207325,0.06831077244548077,-0.01832505604340752,0.03575679731650846,0.007489937588869453,0.005799831652105625
V13_replication,B_memory_n16_g1_markovized,markovized,4,0.5,0.038382501820642796,0.07360353567262759,-0.035221033851984794,0.03575679731650846,0.007489937588869453,0.005799831652105625
V13_replication,B_memory_n16_g1_persistent_memory,persistent_memory,2,0.5,0.06685883914439396,0.030841170141070125,0.03601766900332383,0.018358835239910033,0.00911868488394355,0.004393008173997819
V13_replication,B_memory_n16_g1_persistent_memory,persistent_memory,3,0.5,0.046241657771502236,0.032350767956979304,0.013890889814522932,0.018358835239910033,0.00911868488394355,0.004393008173997819
V13_replication,B_memory_n16_g1_persistent_memory,persistent_memory,4,0.5,0.03541530547754818,0.037925649682095164,-0.002510344204546981,0.018358835239910033,0.00911868488394355,0.004393008173997819
V13_replication,B_memory_n16_g2_markovized,markovized,2,0.5,0.06122354120912606,0.04840306947253939,0.012820471736586674,0.024862662383709506,0.006437866315953474,0.00510903187765009
V13_replication,B_memory_n16_g2_markovized,markovized,3,0.5,0.04145099985864768,0.05547525378106007,-0.01402425392241239,0.024862662383709506,0.006437866315953474,0.00510903187765009
V13_replication,B_memory_n16_g2_markovized,markovized,4,0.5,0.03181735346598041,0.0599277978809719,-0.02811044441499149,0.024862662383709506,0.006437866315953474,0.00510903187765009
V13_replication,B_memory_n16_g2_persistent_memory,persistent_memory,2,0.5,0.061245551698534406,0.023551988623089843,0.03769356307544457,0.02233116402636406,0.0038515197963143307,0.008322219136870522
V13_replication,B_memory_n16_g2_persistent_memory,persistent_memory,3,0.5,0.04299172633985559,0.02712642317150554,0.01586530316835005,0.02233116402636406,0.0038515197963143307,0.008322219136870522
V13_replication,B_memory_n16_g2_persistent_memory,persistent_memory,4,0.5,0.03288093113829712,0.03111089060961175,0.0017700405286853703,0.02233116402636406,0.0038515197963143307,0.008322219136870522
V13_replication,B_memory_n16_g3_markovized,markovized,2,0.5,0.06921778983024962,0.05632001175632571,0.012897778073923914,0.024272144570274327,0.002410518727496029,0.0005301432601159884
V13_replication,B_memory_n16_g3_markovized,markovized,3,0.5,0.04249393192595616,0.059260756875542435,-0.016766824949586277,0.024272144570274327,0.002410518727496029,0.0005301432601159884
V13_replication,B_memory_n16_g3_markovized,markovized,4,0.5,0.03110861197188694,0.06465038445062865,-0.03354177247874171,0.024272144570274327,0.002410518727496029,0.0005301432601159884
V13_replication,B_memory_n16_g3_persistent_memory,persistent_memory,2,0.5,0.06707710863135599,0.03218499595732091,0.03489211267403508,0.022491452768988316,0.004243830223410466,0.00041629840748139726
V13_replication,B_memory_n16_g3_persistent_memory,persistent_memory,3,0.5,0.04365058415748585,0.03466858383927301,0.008982000318212842,0.022491452768988316,0.004243830223410466,0.00041629840748139726
V13_replication,B_memory_n16_g3_persistent_memory,persistent_memory,4,0.5,0.032394567539641685,0.04152956712277714,-0.009134999583135454,0.022491452768988316,0.004243830223410466,0.00041629840748139726
V13_replication,B_memory_n16_g4_markovized,markovized,2,0.5,0.06003200745669139,0.05146025411344514,0.008571753343246252,0.011143514196054862,0.008785378849180814,0.007833127500165082
V13_replication,B_memory_n16_g4_markovized,markovized,3,0.5,0.03806110372088975,0.05517397117937747,-0.017112867458487724,0.011143514196054862,0.008785378849180814,0.007833127500165082
V13_replication,B_memory_n16_g4_markovized,markovized,4,0.5,0.029108666626710578,0.06021407941957754,-0.031105412792866965,0.011143514196054862,0.008785378849180814,0.007833127500165082
