alpha,total_per_update_mean,quadratic_prediction_mean,source
0.0,1.100864565477282e-31,0.0,V10 heat-bath
0.0025,6.930391290255535e-07,6.930379628794475e-07,V10 heat-bath
0.005,2.772170509621734e-06,2.77215185151779e-06,V10 heat-bath
0.01,1.1088905920769009e-05,1.108860740607116e-05,V10 heat-bath
0.02,4.435920490165268e-05,4.435442962428464e-05,V10 heat-bath
0.05,0.000277401457681,0.0002772151851517,V10 heat-bath
0.1,0.0011118261798224,0.0011088607406071,V10 heat-bath
0.2,0.0044819439782053,0.0044354429624284,V10 heat-bath
0.35,0.0139959778731257,0.0135835440724371,V10 heat-bath
0.5,0.0292953100103278,0.0277215185151778,V10 heat-bath
0.65,0.0508340868908523,0.0468493662906506,V10 heat-bath
0.8,0.0787963453168105,0.0709670873988554,V10 heat-bath
0.0,-0.04176156113368235,,V12 Qwen
0.2,-0.04296733817511039,,V12 Qwen
0.5,-0.04016523753332271,,V12 Qwen
0.8,-0.04252049171927463,,V12 Qwen
0.0,0.0003837137532300715,,fitted surrogate
0.2,0.00040037335013139646,,fitted surrogate
0.5,0.00044205751791016445,,fitted surrogate
0.8,0.0004012284381913194,,fitted surrogate
