control,irreversibility,order,wire_bytes,n
content_permutation,-0.03653181263607037,0.09791666666666667,720.0,3
temporal_permutation,-0.029812682602094697,0.08958333333333333,720.0,3
placebo,-0.0258320029118748,0.07083333333333333,720.0,3
unaltered,-0.024673344994117066,0.07708333333333334,720.0,3
sender_identity_permutation,-0.021277141077271567,0.07708333333333334,720.0,3
no_message,0.016250541713338302,0.11041666666666666,0.0,3
