source,target,weight
0,1,0.9
0,7,0.09999999999999998
1,0,0.09999999999999998
1,2,0.9
2,1,0.09999999999999998
2,3,0.9
3,2,0.09999999999999998
3,4,0.9
4,3,0.09999999999999998
4,5,0.9
5,4,0.09999999999999998
5,6,0.9
6,5,0.09999999999999998
6,7,0.9
7,0,0.9
7,6,0.09999999999999998
