family,n_agents,topology,alpha,sampling_temperature,belief_correlation_distance_1,belief_correlation_distance_2,belief_susceptibility,belief_integrated_autocorrelation_time_updates,initial_condition
collective_network,16.0,modular,0.0,0.5,0.0138888888888888,0.0,0.0624725877192982,16.524785994603388,disordered
collective_network,16.0,modular,0.2,0.5,0.0138888888888888,0.0,0.0624725877192982,16.524785994603388,disordered
collective_network,16.0,modular,0.2,0.5,0.0138888888888888,0.0,0.0624725877192982,16.524785994603388,disordered
collective_network,16.0,modular,0.5,0.5,0.0138888888888888,0.0,0.1352796052631578,18.34328102868125,disordered
collective_network,16.0,modular,0.5,0.5,0.0138888888888888,0.0,0.0624725877192982,16.524785994603388,disordered
collective_network,16.0,modular,0.8,0.5,0.0138888888888888,0.0,0.1352796052631578,18.34328102868125,disordered
collective_network,16.0,modular,0.8,0.5,0.0138888888888888,0.0,0.0624725877192982,16.524785994603388,disordered
collective_network,16.0,modular,0.0,0.5,-0.0135063192963279,0.004035345592207,0.0762061403508771,21.924278587926946,disordered
collective_network,16.0,modular,0.2,0.5,-0.0112400440245652,0.0113276509963966,0.1381578947368421,25.857739152725088,disordered
collective_network,16.0,modular,0.2,0.5,-0.0135063192963279,0.004035345592207,0.0762061403508771,21.924278587926946,disordered
collective_network,16.0,modular,0.5,0.5,-0.0112400440245652,0.0113276509963966,0.1381578947368421,25.857739152725088,disordered
collective_network,16.0,modular,0.5,0.5,-0.0135063192963279,0.004035345592207,0.0762061403508771,21.924278587926946,disordered
collective_network,16.0,modular,0.8,0.5,-0.0225495124515491,0.011329148768583,0.1484375,28.93206762559081,disordered
collective_network,16.0,modular,0.8,0.5,-0.0189710779233047,0.014863702758443,0.1867324561403508,32.441102593517805,disordered
collective_network,16.0,modular,0.0,0.85,0.0,-0.0230317724370704,0.0735745614035087,9.163873732407614,disordered
collective_network,16.0,modular,0.2,0.85,0.0,-0.0196820358117833,0.0447094298245614,7.938225162383601,disordered
collective_network,16.0,modular,0.2,0.85,0.0,-0.0230317724370704,0.0735745614035087,9.163873732407614,disordered
collective_network,16.0,modular,0.5,0.85,0.0,-0.0196820358117833,0.0447094298245614,7.938225162383601,disordered
collective_network,16.0,modular,0.5,0.85,0.0,-0.0230317724370704,0.0735745614035087,9.163873732407614,disordered
collective_network,16.0,modular,0.8,0.85,0.0,-0.0230317724370704,0.0735745614035087,9.163873732407614,disordered
collective_network,16.0,modular,0.8,0.85,0.0,-0.0230317724370704,0.0735745614035087,9.163873732407614,disordered
collective_network,16.0,modular,0.0,0.85,0.0083333333333333,-0.0026191278683639,0.1372532894736842,21.609446353738456,disordered
collective_network,16.0,modular,0.2,0.85,0.0,0.006300059066532,0.1484375,25.85519403744818,disordered
collective_network,16.0,modular,0.2,0.85,0.0083333333333333,-0.0026191278683639,0.1372532894736842,21.609446353738456,disordered
collective_network,16.0,modular,0.5,0.85,0.0,-0.000187600061639,0.1121710526315789,22.15569841188928,disordered
collective_network,16.0,modular,0.5,0.85,0.0171983107601914,-0.0292904998977655,0.056140350877193,12.530088167629616,disordered
collective_network,16.0,modular,0.8,0.85,0.0,-0.000187600061639,0.1121710526315789,22.15569841188928,disordered
collective_network,16.0,modular,0.8,0.85,0.0171983107601914,-0.0292904998977655,0.056140350877193,12.530088167629616,disordered
collective_network,16.0,modular,0.0,0.5,0.03796513067887,0.0235819972777738,0.2805921052631579,22.05819758772936,disordered
collective_network,16.0,modular,0.2,0.5,0.03796513067887,0.0357337219710455,0.3655427631578947,27.94811609568338,disordered
collective_network,16.0,modular,0.2,0.5,0.03796513067887,0.0235819972777738,0.2805921052631579,22.05819758772936,disordered
