panel_id,disruption,phase,source,target,active,message_count,cross_community
C_quench_n16_g0_network_partition,network_partition,baseline,12,11,1,6,0
C_quench_n16_g0_network_partition,network_partition,baseline,12,13,1,4,0
C_quench_n16_g0_network_partition,network_partition,baseline,13,4,1,7,1
C_quench_n16_g0_network_partition,network_partition,baseline,13,12,1,2,0
C_quench_n16_g0_network_partition,network_partition,baseline,13,14,1,6,0
C_quench_n16_g0_network_partition,network_partition,baseline,14,1,1,6,1
C_quench_n16_g0_network_partition,network_partition,baseline,14,13,1,4,0
C_quench_n16_g0_network_partition,network_partition,baseline,14,15,1,5,0
C_quench_n16_g0_network_partition,network_partition,baseline,15,0,1,5,1
C_quench_n16_g0_network_partition,network_partition,baseline,15,8,1,6,0
C_quench_n16_g0_network_partition,network_partition,baseline,15,14,1,4,0
C_quench_n16_g0_network_partition,network_partition,disruption,0,1,1,6,0
C_quench_n16_g0_network_partition,network_partition,disruption,0,7,1,9,0
C_quench_n16_g0_network_partition,network_partition,disruption,0,15,0,0,1
C_quench_n16_g0_network_partition,network_partition,disruption,1,0,1,7,0
C_quench_n16_g0_network_partition,network_partition,disruption,1,2,1,8,0
C_quench_n16_g0_network_partition,network_partition,disruption,1,14,0,0,1
C_quench_n16_g0_network_partition,network_partition,disruption,2,1,1,5,0
C_quench_n16_g0_network_partition,network_partition,disruption,2,3,1,10,0
C_quench_n16_g0_network_partition,network_partition,disruption,2,10,0,0,1
C_quench_n16_g0_network_partition,network_partition,disruption,3,2,1,7,0
C_quench_n16_g0_network_partition,network_partition,disruption,3,4,1,8,0
C_quench_n16_g0_network_partition,network_partition,disruption,3,11,0,0,1
C_quench_n16_g0_network_partition,network_partition,disruption,4,3,1,6,0
C_quench_n16_g0_network_partition,network_partition,disruption,4,5,1,9,0
C_quench_n16_g0_network_partition,network_partition,disruption,4,13,0,0,1
C_quench_n16_g0_network_partition,network_partition,disruption,5,4,1,6,0
C_quench_n16_g0_network_partition,network_partition,disruption,5,6,1,9,0
C_quench_n16_g0_network_partition,network_partition,disruption,5,8,0,0,1
C_quench_n16_g0_network_partition,network_partition,disruption,6,5,1,7,0
C_quench_n16_g0_network_partition,network_partition,disruption,6,7,1,8,0
C_quench_n16_g0_network_partition,network_partition,disruption,6,12,0,0,1
C_quench_n16_g0_network_partition,network_partition,disruption,7,0,1,4,0
C_quench_n16_g0_network_partition,network_partition,disruption,7,6,1,11,0
C_quench_n16_g0_network_partition,network_partition,disruption,7,9,0,0,1
C_quench_n16_g0_network_partition,network_partition,disruption,8,5,0,0,1
C_quench_n16_g0_network_partition,network_partition,disruption,8,9,1,7,0
C_quench_n16_g0_network_partition,network_partition,disruption,8,15,1,8,0
C_quench_n16_g0_network_partition,network_partition,disruption,9,7,0,0,1
C_quench_n16_g0_network_partition,network_partition,disruption,9,8,1,6,0
C_quench_n16_g0_network_partition,network_partition,disruption,9,10,1,9,0
C_quench_n16_g0_network_partition,network_partition,disruption,10,2,0,0,1
C_quench_n16_g0_network_partition,network_partition,disruption,10,9,1,8,0
C_quench_n16_g0_network_partition,network_partition,disruption,10,11,1,7,0
C_quench_n16_g0_network_partition,network_partition,disruption,11,3,0,0,1
C_quench_n16_g0_network_partition,network_partition,disruption,11,10,1,12,0
C_quench_n16_g0_network_partition,network_partition,disruption,11,12,1,3,0
C_quench_n16_g0_network_partition,network_partition,disruption,12,6,0,0,1
C_quench_n16_g0_network_partition,network_partition,disruption,12,11,1,8,0
C_quench_n16_g0_network_partition,network_partition,disruption,12,13,1,7,0
C_quench_n16_g0_network_partition,network_partition,disruption,13,4,0,0,1
C_quench_n16_g0_network_partition,network_partition,disruption,13,12,1,9,0
C_quench_n16_g0_network_partition,network_partition,disruption,13,14,1,6,0
C_quench_n16_g0_network_partition,network_partition,disruption,14,1,0,0,1
C_quench_n16_g0_network_partition,network_partition,disruption,14,13,1,8,0
C_quench_n16_g0_network_partition,network_partition,disruption,14,15,1,7,0
C_quench_n16_g0_network_partition,network_partition,disruption,15,0,0,0,1
C_quench_n16_g0_network_partition,network_partition,disruption,15,8,1,7,0
C_quench_n16_g0_network_partition,network_partition,disruption,15,14,1,8,0
C_quench_n16_g0_network_partition,network_partition,recovery,0,1,1,7,0
C_quench_n16_g0_network_partition,network_partition,recovery,0,7,1,4,0
C_quench_n16_g0_network_partition,network_partition,recovery,0,15,1,4,1
C_quench_n16_g0_network_partition,network_partition,recovery,1,0,1,4,0
C_quench_n16_g0_network_partition,network_partition,recovery,1,2,1,6,0
C_quench_n16_g0_network_partition,network_partition,recovery,1,14,1,5,1
C_quench_n16_g0_network_partition,network_partition,recovery,2,1,1,5,0
C_quench_n16_g0_network_partition,network_partition,recovery,2,3,1,8,0
C_quench_n16_g0_network_partition,network_partition,recovery,2,10,1,2,1
C_quench_n16_g0_network_partition,network_partition,recovery,3,2,1,6,0
C_quench_n16_g0_network_partition,network_partition,recovery,3,4,1,5,0
C_quench_n16_g0_network_partition,network_partition,recovery,3,11,1,4,1
