panel_id,disruption,phase,node,community,belief,action,confidence,confidence_uncertainty
C_quench_n16_g0_nominal,nominal,baseline,0,0,-1,-1,0.7,0.6108643020548935
C_quench_n16_g0_nominal,nominal,baseline,1,0,-1,-1,0.75,0.5623351446188083
C_quench_n16_g0_nominal,nominal,baseline,2,0,1,1,0.7,0.6108643020548935
C_quench_n16_g0_nominal,nominal,baseline,3,0,-1,-1,0.8,0.5004024235381879
C_quench_n16_g0_nominal,nominal,baseline,4,0,-1,-1,0.8,0.5004024235381879
C_quench_n16_g0_nominal,nominal,baseline,5,0,1,1,0.8,0.5004024235381879
C_quench_n16_g0_nominal,nominal,baseline,6,0,1,1,0.8,0.5004024235381879
C_quench_n16_g0_nominal,nominal,baseline,7,0,1,1,0.75,0.5623351446188083
C_quench_n16_g0_nominal,nominal,baseline,8,1,1,1,0.85,0.4227090878059909
C_quench_n16_g0_nominal,nominal,baseline,9,1,1,1,0.85,0.4227090878059909
C_quench_n16_g0_nominal,nominal,baseline,10,1,-1,-1,0.65,0.6474466390346325
C_quench_n16_g0_nominal,nominal,baseline,11,1,-1,-1,0.8,0.5004024235381879
C_quench_n16_g0_nominal,nominal,baseline,12,1,1,1,0.78,0.5269079614313803
C_quench_n16_g0_nominal,nominal,baseline,13,1,-1,-1,0.8,0.5004024235381879
C_quench_n16_g0_nominal,nominal,baseline,14,1,1,1,0.8,0.5004024235381879
C_quench_n16_g0_nominal,nominal,baseline,15,1,-1,-1,0.7,0.6108643020548935
C_quench_n16_g0_nominal,nominal,disruption,0,0,-1,-1,0.75,0.5623351446188083
C_quench_n16_g0_nominal,nominal,disruption,1,0,-1,-1,0.75,0.5623351446188083
C_quench_n16_g0_nominal,nominal,disruption,2,0,1,1,0.7,0.6108643020548935
C_quench_n16_g0_nominal,nominal,disruption,3,0,-1,-1,0.85,0.4227090878059909
C_quench_n16_g0_nominal,nominal,disruption,4,0,-1,-1,0.88,0.3669249912727096
C_quench_n16_g0_nominal,nominal,disruption,5,0,1,1,0.85,0.4227090878059909
C_quench_n16_g0_nominal,nominal,disruption,6,0,1,1,0.85,0.4227090878059909
C_quench_n16_g0_nominal,nominal,disruption,7,0,1,1,0.85,0.4227090878059909
C_quench_n16_g0_nominal,nominal,disruption,8,1,1,1,0.85,0.4227090878059909
C_quench_n16_g0_nominal,nominal,disruption,9,1,1,1,0.85,0.4227090878059909
C_quench_n16_g0_nominal,nominal,disruption,10,1,-1,-1,0.78,0.5269079614313803
C_quench_n16_g0_nominal,nominal,disruption,11,1,-1,-1,0.8,0.5004024235381879
C_quench_n16_g0_nominal,nominal,disruption,12,1,1,1,0.85,0.4227090878059909
C_quench_n16_g0_nominal,nominal,disruption,13,1,-1,-1,0.85,0.4227090878059909
C_quench_n16_g0_nominal,nominal,disruption,14,1,1,1,0.8,0.5004024235381879
C_quench_n16_g0_nominal,nominal,disruption,15,1,-1,-1,0.75,0.5623351446188083
C_quench_n16_g0_nominal,nominal,recovery,0,0,-1,-1,0.75,0.5623351446188083
C_quench_n16_g0_nominal,nominal,recovery,1,0,-1,-1,0.75,0.5623351446188083
C_quench_n16_g0_nominal,nominal,recovery,2,0,1,1,0.9,0.3250829733914482
C_quench_n16_g0_nominal,nominal,recovery,3,0,-1,-1,0.88,0.3669249912727096
C_quench_n16_g0_nominal,nominal,recovery,4,0,-1,-1,0.88,0.3669249912727096
C_quench_n16_g0_nominal,nominal,recovery,5,0,-1,-1,0.88,0.3669249912727096
C_quench_n16_g0_nominal,nominal,recovery,6,0,1,1,0.85,0.4227090878059909
C_quench_n16_g0_nominal,nominal,recovery,7,0,1,1,0.85,0.4227090878059909
C_quench_n16_g0_nominal,nominal,recovery,8,1,1,1,0.85,0.4227090878059909
C_quench_n16_g0_nominal,nominal,recovery,9,1,1,1,0.86,0.40496348506393853
