panel_id,cluster_id,label,delta_action_magnetization,recovery_action_magnetization,max_action_magnetization,delta_belief_action_overlap,recovery_belief_action_overlap,max_belief_action_overlap,delta_belief_disagreement,recovery_belief_disagreement,max_belief_disagreement,delta_belief_magnetization,recovery_belief_magnetization,max_belief_magnetization,delta_belief_susceptibility,recovery_belief_susceptibility,max_belief_susceptibility,delta_configuration_entropy,recovery_configuration_entropy,max_configuration_entropy,delta_energy_variance,recovery_energy_variance,max_energy_variance,delta_entropy_rate,recovery_entropy_rate,max_entropy_rate,delta_macrostate_distance,recovery_macrostate_distance,max_macrostate_distance,delta_mean_confidence,recovery_mean_confidence,max_mean_confidence,delta_message_current,recovery_message_current,max_message_current,delta_messages_delivered,recovery_messages_delivered,max_messages_delivered,delta_reference_energy_per_agent,recovery_reference_energy_per_agent,max_reference_energy_per_agent,delta_spatial_belief_correlation,recovery_spatial_belief_correlation,max_spatial_belief_correlation,delta_total_correlation,recovery_total_correlation,max_total_correlation,delta_workload_variance,recovery_workload_variance,max_workload_variance
C_quench_n16_g0_field_reversal,C_quench_n16_g0,field_reversal,0.041666666666666664,0.024999999999999998,0.0,0.06666666666666665,0.06666666666666665,1.0,0.01388888888888895,0.00833333333333336,0.5,-0.025,-0.04166666666666667,0.0,-0.04128965851444442,-0.019897253451153285,0.049208860759493704,-0.6883233414007497,-0.5215069637126084,0.9383509393416805,0.9265206696924763,0.687924256190367,4.306439477848102,-0.3951423097636641,-0.3473017052963342,0.9246500353239376,7.327458089947266,7.299437017860537,41.23638814621881,0.09297430555555553,0.13564513888888885,0.806328125,0.0,0.0,1.0,10.666666666666671,10.666666666666671,80.0,-0.08152777777777787,-0.07402777777777803,-1.8,-0.03179976851851851,-0.03207754629629629,0.0,3.802358864523565,3.876932603111244,20.41140088821161,-0.15858124005353008,-0.15383807599103008,0.0
C_quench_n16_g0_message_corruption,C_quench_n16_g0,message_corruption,0.016666666666666663,0.041666666666666664,0.0,0.06666666666666665,0.06666666666666665,1.0,-0.005555555555555536,0.01388888888888895,0.5,-0.05,-0.025,0.0,-0.01800115640473978,-0.055121409569296745,0.09458069620253165,-0.6410401744057272,-1.0011069878479766,0.8647400965276372,-0.4944196850016163,-0.5084384877442324,0.043131329113924144,-0.5702952112309864,-0.7001383220036405,0.34639634524995927,-1.194137656992434,-1.434755152334835,2.666915505423326,0.10774513888888892,0.15394982638888866,0.84259375,0.0,0.0,1.0,10.666666666666671,10.666666666666671,80.0,-0.0886111111111112,-0.08152777777777787,-1.74375,0.017853009259259256,-0.024508101851851847,0.1208333333333333,-0.5344639333686996,-1.0634430724991324,1.6283670736115798,-0.14470383933738426,-0.15780914532696758,0.040407714843750005
C_quench_n16_g0_network_partition,C_quench_n16_g0,network_partition,0.03333333333333333,0.024999999999999998,0.0,0.06666666666666665,0.06666666666666665,1.0,0.005555555555555591,-0.0027777777777777124,0.5,-0.03333333333333333,-0.04166666666666667,0.0,-0.04601803404187059,-0.03536402560305202,0.03445411392405063,-0.8460806609425731,-0.7376036785350779,0.4437922953464478,-0.5040266470269328,-0.4995253284615319,0.014556863132911416,-0.6485175386820904,-0.6122482561275285,0.14558516109100886,-1.590332924093394,-1.4799925452203586,1.2737811713324267,0.09289618055555549,0.11589774305555545,0.7987499999999998,0.0,0.0,1.0,10.666666666666671,10.666666666666671,80.0,-0.08694444444444449,-0.09236111111111134,-1.8,-0.012008101851851846,0.006741898148148157,0.040625,-0.9405885832721963,-0.8321116008647012,0.4437922953464478,-0.15522727683738424,-0.15066835756655092,0.0100531005859375
C_quench_n16_g0_nominal,C_quench_n16_g0,nominal,0.03333333333333333,0.008333333333333331,0.0,0.06666666666666665,0.06666666666666665,1.0,0.005555555555555591,0.002777777777777879,0.5,-0.03333333333333333,-0.058333333333333334,0.0,-0.04601803404187059,-0.009728477079845269,0.03445411392405063,-0.8460806609425731,-0.44619188721238146,0.4437922953464478,-0.5040266470269328,-0.4615163028813632,0.014556863132911416,-0.6485175386820904,-0.5596113271896772,0.14558516109100886,-1.590332924093394,-1.3858471048471461,1.2737811713324267,0.08865190972222203,0.1350857638888887,0.8039765624999999,0.0,0.0,1.0,10.666666666666671,10.666666666666671,80.0,-0.08694444444444449,-0.06652777777777774,-1.8,-0.012008101851851846,0.01695023148148149,0.040625,-0.9405885832721963,-0.5334903241715966,0.4437922953464478,-0.15522727683738424,-0.14182554343894674,0.0100531005859375
C_quench_n16_g1_field_reversal,C_quench_n16_g1,field_reversal,-0.03333333333333333,-0.05,0.125,0.050000000000000044,0.050000000000000044,1.0,-0.005555555555555591,-0.005555555555555591,0.4583333333333333,-0.016666666666666663,-0.03333333333333333,0.125,-0.04277007209743405,-0.07091353201304586,0.11040348101265823,-0.3327708503421011,-0.5574194551439045,1.3250944442052233,0.19430349364211263,0.26082037127924385,4.456192642405063,-0.284224720083926,-0.3229537707108763,1.2828597957239887,8.26792120269901,7.903459042414448,45.589474337337876,0.11871089409722224,0.17263849826388888,0.823796875,0.0,0.0,1.0,10.666666666666671,10.666666666666671,80.0,-0.06583333333333341,-0.08250000000000002,-1.74375,0.04641782407407409,0.04502893518518515,0.1927083333333333,2.9447316024376793,2.680107114809955,20.08629597410652,-0.12854996829562718,-0.15419852786593968,0.075927734375
C_quench_n16_g1_message_corruption,C_quench_n16_g1,message_corruption,-0.058333333333333334,-0.058333333333333334,0.0,0.050000000000000044,0.050000000000000044,1.0,-0.002777777777777768,-0.002777777777777768,0.4166666666666667,-0.041666666666666664,-0.041666666666666664,0.0,-0.09609285690756063,-0.09609285690756063,0.0,-1.0046371113097936,-1.0046371113097936,-0.0,-1.2774430253452291,-1.2774430253452291,0.0,-0.7500399672615409,-0.7500399672615409,0.0,-1.8919853593081837,-1.8919853593081837,0.999698591911593,0.1165145399305555,0.15940256076388892,0.8176562499999998,0.0,0.0,1.0,10.666666666666671,10.666666666666671,80.0,-0.08624999999999994,-0.08624999999999994,-1.9375,0.05891782407407402,0.05891782407407402,0.16666666666666657,-2.2027760352797543,-2.2027760352797543,0.0,-0.15678365156385635,-0.15678365156385635,0.0
C_quench_n16_g1_network_partition,C_quench_n16_g1,network_partition,-0.058333333333333334,-0.058333333333333334,0.0,0.050000000000000044,0.050000000000000044,1.0,-0.002777777777777768,-0.002777777777777768,0.4166666666666667,-0.041666666666666664,-0.041666666666666664,0.0,-0.09609285690756063,-0.09609285690756063,0.0,-1.0046371113097936,-1.0046371113097936,-0.0,-1.2774430253452291,-1.2774430253452291,0.0,-0.7500399672615409,-0.7500399672615409,0.0,-1.8919853593081837,-1.8919853593081837,0.999698591911593,0.10901193576388868,0.13150151909722207,0.7937499999999998,0.0,0.0,1.0,10.666666666666671,10.666666666666671,80.0,-0.08624999999999994,-0.08624999999999994,-1.9375,0.05891782407407402,0.05891782407407402,0.16666666666666657,-2.2027760352797543,-2.2027760352797543,0.0,-0.15678365156385635,-0.15678365156385635,0.0
C_quench_n16_g1_nominal,C_quench_n16_g1,nominal,-0.058333333333333334,-0.058333333333333334,0.0,0.050000000000000044,0.050000000000000044,1.0,-0.002777777777777768,-0.002777777777777768,0.4166666666666667,-0.041666666666666664,-0.041666666666666664,0.0,-0.09609285690756063,-0.09609285690756063,0.0,-1.0046371113097936,-1.0046371113097936,-0.0,-1.2774430253452291,-1.2774430253452291,0.0,-0.7500399672615409,-0.7500399672615409,0.0,-1.8919853593081837,-1.8919853593081837,0.999698591911593,0.11317599826388891,0.13374370659722223,0.8028515624999999,0.0,0.0,1.0,10.666666666666671,10.666666666666671,80.0,-0.08624999999999994,-0.08624999999999994,-1.9375,0.05891782407407402,0.05891782407407402,0.16666666666666657,-2.2027760352797543,-2.2027760352797543,0.0,-0.15678365156385635,-0.15678365156385635,0.0
C_quench_n16_g2_field_reversal,C_quench_n16_g2,field_reversal,0.025,0.01666666666666667,0.0,0.050000000000000044,0.050000000000000044,1.0,-0.025000000000000078,-0.022222222222222254,0.3333333333333333,-0.008333333333333333,-0.016666666666666666,0.0,0.07846514970207039,-0.03456227645826716,0.4531645569620252,-0.5538725455225444,-0.6298862570809522,1.300246612330104,-0.12740539432567521,0.45537756980934563,3.462531250000002,-0.3552390613299351,-0.3744423419302717,1.174015369998207,7.977539140323947,7.643020303709256,47.59026658150115,0.12279531249999986,0.14714531249999996,0.8543593749999998,0.0,0.0,1.0,10.666666666666671,10.666666666666671,80.0,-0.1454166666666663,-0.1324999999999994,-2.075,0.0897511574074075,0.06697337962962971,0.33333333333333337,3.022384428669335,3.294694636143974,19.87111252771449,-0.08922944471571183,-0.09204845513237848,0.0280706787109375
C_quench_n16_g2_message_corruption,C_quench_n16_g2,message_corruption,0.01666666666666667,0.025,0.0,0.050000000000000044,0.050000000000000044,1.0,-0.022222222222222254,-0.025000000000000078,0.375,-0.016666666666666666,-0.008333333333333333,0.0,-0.03332018785067223,-0.06654539882113636,0.06293512658227848,-0.7749077671551795,-0.9599985830421777,0.599898019262134,-1.211873175180106,-1.2601071348320048,0.11774910996835453,-0.6778259369381283,-0.7248112689525951,0.1543288949394941,-1.5668356875975564,-1.8590538893531872,2.975099736935152,0.11152552083333311,0.13613385416666646,0.8377734374999999,0.0,0.0,1.0,10.666666666666671,10.666666666666671,80.0,-0.1324999999999994,-0.1454166666666663,-1.88125,0.09218171296296304,0.09336226851851856,0.35729166666666673,-1.3197992060257837,-1.7436795881916924,1.1301569654367976,-0.08384309217664933,-0.09514676242404516,0.0280706787109375
C_quench_n16_g2_network_partition,C_quench_n16_g2,network_partition,0.008333333333333335,0.025,0.0,0.050000000000000044,0.050000000000000044,1.0,-0.019444444444444486,-0.025000000000000078,0.375,-0.025,-0.008333333333333333,0.0,-0.03102324692240218,-0.05584919628949079,0.06293512658227848,-0.7749077671551795,-0.9599985830421777,0.599898019262134,-1.2063547745999372,-1.2344095082497262,0.11774910996835453,-0.6778259369381283,-0.7248112689525951,0.1543288949394941,-1.5481146910707384,-1.7858499994614165,2.975099736935152,0.10617708333333309,0.13288072916666638,0.8273437499999998,0.0,0.0,1.0,10.666666666666671,10.666666666666671,80.0,-0.11958333333333293,-0.1454166666666663,-1.88125,0.09127893518518523,0.08905671296296305,0.35729166666666673,-1.2902130530026872,-1.6071984475353205,1.1301569654367976,-0.08317288547092015,-0.09195437961154515,0.0280706787109375
C_quench_n16_g2_nominal,C_quench_n16_g2,nominal,0.01666666666666667,0.025,0.0,0.050000000000000044,0.050000000000000044,1.0,-0.022222222222222254,-0.025000000000000078,0.375,-0.016666666666666666,-0.008333333333333333,0.0,-0.03332018785067223,-0.06654539882113636,0.06293512658227848,-0.7749077671551795,-0.9599985830421777,0.599898019262134,-1.211873175180106,-1.2601071348320048,0.11774910996835453,-0.6778259369381283,-0.7248112689525951,0.1543288949394941,-1.5668356875975564,-1.8590538893531872,2.975099736935152,0.10460781249999984,0.11500729166666634,0.8217812499999997,0.0,0.0,1.0,10.666666666666671,10.666666666666671,80.0,-0.1324999999999994,-0.1454166666666663,-1.88125,0.09218171296296304,0.09336226851851856,0.35729166666666673,-1.3197992060257837,-1.7436795881916924,1.1301569654367976,-0.08384309217664933,-0.09514676242404516,0.0280706787109375
C_quench_n16_g3_field_reversal,C_quench_n16_g3,field_reversal,0.0,0.008333333333333335,0.125,0.09166666666666667,0.09166666666666667,1.0,-0.05833333333333329,-0.055555555555555525,0.5,0.075,0.08333333333333334,0.125,0.07728436894851291,0.09343943223965222,0.3081882911392405,-0.26789954842452113,-0.0856894094265116,1.2933565445742308,0.2603424084628182,0.41203688367378877,2.5982744264240507,-0.14547828204157165,-0.09782725493580319,1.1508962765242159,7.963162331585613,8.728924833439834,45.80265446437883,0.10715499131944439,0.15977686631944432,0.8092578125,0.0,0.0,1.0,10.666666666666671,10.666666666666671,80.0,-0.23416666666666663,-0.22125000000000017,-1.74375,0.1241261574074074,0.12995949074074073,0.023958333333333325,3.6870429652305416,4.064296576620476,20.19225070551102,-0.06790015298348885,-0.06193343748869719,0.0191497802734375
C_quench_n16_g3_message_corruption,C_quench_n16_g3,message_corruption,0.008333333333333335,-0.016666666666666666,0.125,0.09166666666666667,0.09166666666666667,1.0,-0.055555555555555525,-0.0527777777777777,0.5416666666666666,0.08333333333333334,0.058333333333333334,0.125,0.009939959665812546,-0.025587466494525007,0.06186708860759494,-0.29607024180115926,-0.7991823055068726,0.957785159550915,-0.5761955991848611,-0.6040476825181944,0.07591762262658219,-0.39013760757971716,-0.5537146943735675,0.33249365730255104,-1.4193161707905295,-1.691853571391519,2.6172331505832727,0.07893467881944438,0.11411749131944438,0.754265625,0.0,0.0,1.0,10.666666666666671,10.666666666666671,80.0,-0.22124999999999995,-0.2416666666666667,-1.6062500000000002,0.12364004629629628,0.11447337962962963,0.022916666666666658,-0.7604912440651511,-1.3109884652693833,1.2971139736048412,-0.06271399575692635,-0.07556686034025968,0.02585693359375
C_quench_n16_g3_network_partition,C_quench_n16_g3,network_partition,-0.016666666666666666,0.016666666666666666,0.0,0.09166666666666667,0.09166666666666667,1.0,-0.0527777777777777,-0.05833333333333329,0.5,0.058333333333333334,0.09166666666666667,0.0,-0.018103289279335133,0.01442571915948344,0.03856803797468354,-0.7074537745667777,-0.2326658824781468,0.48257756517701206,-0.6025321366321185,-0.5562115736046923,0.007810027689873455,-0.5306939483606781,-0.37366563917476037,0.1480138540909294,-1.718264461291503,-1.1915468235284352,1.2817406937073246,0.08044613715277793,0.11383728298611095,0.748984375,0.0,0.0,1.0,10.666666666666671,10.666666666666671,80.0,-0.2416666666666667,-0.21750000000000003,-1.8,0.11752893518518517,0.11745949074074073,0.015624999999999995,-1.2192599343292885,-0.6287724367297116,0.48257756517701206,-0.07330294432463469,-0.05917798501473885,0.0115814208984375
