accepted_physical_actions_v8,action_policy_id,actionable_opportunities,agent_count,allocation_inequality_gini,application,attempted_sketch_messages,autonomous_beneficial_actions,autonomous_harmful_actions,autonomous_neutral_actions,belief_updates_from_delivered_sketches,beneficial_actions,commitment_failures,completed_at,complexity,consensus_recovery_steps,conservation_feasible,coupling,critical_shortage_exposure,cross_community_messages,decision_epochs,delivered_sketch_messages,delivered_useful_sketch_bytes,delivery_completion,detected_groups,detection_groups,detection_recall,disagreement_time_integrated_error,dropped_messages,dropped_sketch_messages,encoding,environment_seed,estimator_target,event_count,false_alarm_groups,false_alarm_rate,forwarded_sketch_messages,fragmentation,fully_counted_bytes,fully_counted_messages,harmful_actions,horizon,information_actions,information_condition,maximum_cascade_depth,maximum_conservation_residual,maximum_detection_delay_steps,maximum_message_age,mean_detection_delay_steps,mean_message_age,mean_quantization_l1_error,net_causal_utility,network_disruption,neutral_actions,normalized_autonomous_reward,normalized_time_integrated_estimation_error,operational_bytes,operational_messages,operational_node_count,operator_escalation_requests,operator_executed_actions,physical_actions,pointwise_estimation_mae_max,pointwise_estimation_mae_p90,pointwise_estimation_mae_p95,primary_distributed_state_error,primary_distributed_state_error_p95,privacy_boundary_pass,proposed_physical_actions,redundant_sketch_bytes,resource_waste,retries,run_id,scheduler,service_loss,service_reaching_actions,sketch_bytes,sketch_header_bytes,sketch_integrity_bytes,sketch_messages,sketch_on_wire_bytes,sketch_payload_bytes,stage,stale_belief_rows,stale_sketch_bytes,started_at,stochastic_tape_digest,time_to_first_critical_delivery,topology_family,total_bytes,total_messages,transmitted_sketch_messages,trigger_activation_rate,trigger_activations,trigger_configuration_digest,trigger_evaluations,trigger_reasons,weighted_unmet_critical_need,event_ledger_scope,belief_consensus_recovery,cascaded_failures,crew_travel,crew_utilization,repeated_work_orders,restoration_time_mean,unsafe_switching_or_isolation,unserved_critical_load_auc,candidate_name,configuration_digest,method,panel_id,sketch_on_wire_bytes_always,fully_counted_bytes_always,transmitted_sketch_messages_always,fully_counted_messages_always,normalized_time_integrated_estimation_error_always,primary_distributed_state_error_always,primary_distributed_state_error_p95_always,pointwise_estimation_mae_p95_always,disagreement_time_integrated_error_always,mean_detection_delay_steps_always,service_loss_always,autonomous_harmful_actions_always,normalized_autonomous_reward_always,sketch_byte_reduction,fully_counted_byte_reduction,message_reduction,estimation_error_increase,primary_estimation_error_increase,primary_p95_increase,pointwise_p95_increase,disagreement_error_increase,detection_delay_increase,service_loss_increase,harmful_action_increase,reward_degradation
240,frozen_local_rule,341,52,0.4142473502885155,humanitarian,50157,93,144,0,2935,93,0.0,2026-08-17T04:39:49.797757+00:00,large,52.0,True,high,80446.3186860089,795,20,41905,361828,186.49383809836692,144,145,0.993103448275862,0.0663352609043693,123,8252,uint8_simplex,8810019,pooled_current_private_evidence_pre_exchange,110544,131,0.8397435897435898,41177,high,1814364,47222,144,100,1039,private_fragmented,3,9.094947017729282e-13,10.0,90.0,0.0689655172413793,17.927884615384617,0.0006517935776896,343.022267462898,high,0,-30.80394806854756,0.0740808331644304,244142,1039,30,287,0,240,0.1884133021645498,0.115860016960262,0.1304696878763531,0.0702080470343999,0.1253209173532162,True,649,1062942,2.5,0,v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule,age_of_information,165411.36805265574,104,0,1108392,184732,0,1570222,277098,development,727,0,2026-08-17T04:39:23.913537+00:00,4666e1e5d937e2e52a06b742589c4176ee023a00da41113b9bbe1d31a89a7098,16.0,random_geometric,244142,1039,46183,0.55,572,e27491322545,1040,"{'age_deadline': 468, 'initial_reference': 156, 'maximum_silence': 416}",4074.974378105002,nan,nan,nan,nan,nan,nan,nan,nan,nan,aoi_30_u8,e27491322545,age_of_information,humanitarian:8810019,2792080,3036199,82120,83159,0.0705495971642838,0.0681323405328802,0.1251071026418777,0.1277798333627123,0.0657150839014766,0.1034482758620689,167304.6236767415,141,-31.21617441270106,0.43761568436434484,0.4024225684811832,0.43761568436434484,0.003531236000146598,0.0020757065015196974,0.00021381471133852248,0.002689854513640816,0.0006201770028926995,-0.0344827586206896,-1893.255624085752,3,-0.41222634415350257
239,frozen_local_rule,339,52,0.4143624927691786,humanitarian,90062,94,141,0,5253,94,0.0,2026-08-17T04:39:36.145316+00:00,large,52.0,True,high,81248.63586265188,795,20,74549,653956,185.2123601305336,145,145,1.0,0.0657150839014766,123,15513,uint8_simplex,8810019,pooled_current_private_evidence_pre_exchange,183090,131,0.8397435897435898,73124,high,3036199,83159,141,100,1039,private_fragmented,3,6.252776074688883e-13,15.0,60.0,0.1034482758620689,12.028846153846152,0.0006679968574175,324.6913791742197,high,0,-31.21617441270106,0.0705495971642838,244119,1039,30,288,0,239,0.1884133021645498,0.1115291993662587,0.1277798333627123,0.0681323405328802,0.1251071026418777,True,649,1880710,3.967446671622448,0,v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on,167304.6236767415,105,0,1970880,328480,0,2792080,492720,development,727,0,2026-08-17T04:38:55.228071+00:00,4666e1e5d937e2e52a06b742589c4176ee023a00da41113b9bbe1d31a89a7098,16.0,random_geometric,244119,1039,82120,1.0,1040,f06f6808d09b,1040,"{'always_on': 884, 'initial_reference': 156}",4164.99627423451,nan,nan,nan,nan,nan,nan,nan,nan,nan,always_on_u8,f06f6808d09b,always_on,humanitarian:8810019,2792080,3036199,82120,83159,0.0705495971642838,0.0681323405328802,0.1251071026418777,0.1277798333627123,0.0657150839014766,0.1034482758620689,167304.6236767415,141,-31.21617441270106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
240,frozen_local_rule,341,52,0.4142272795947566,humanitarian,72484,93,143,0,4234,93,0.0,2026-08-17T04:39:38.836272+00:00,large,52.0,True,high,81263.22993137813,795,20,60365,526218,181.8429486885612,145,145,1.0,0.0666251759457627,123,12119,uint8_simplex,8810019,pooled_current_private_evidence_pre_exchange,151330,131,0.8397435897435898,59216,high,2504752,67528,143,100,1039,private_fragmented,3,3.979039320256561e-13,15.0,90.0,0.1034482758620689,14.798076923076923,0.0006669221770625,323.47760842089605,high,0,-31.225307470911734,0.0710466998467002,244126,1039,30,287,0,240,0.1884133021645498,0.1115087068766298,0.1266965159964988,0.0688359378962314,0.1260070130539292,True,650,1526192,4.467446671622447,0,v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_information,167304.3952234878,103,0,1595736,265956,0,2260626,398934,development,726,0,2026-08-17T04:38:57.987407+00:00,4666e1e5d937e2e52a06b742589c4176ee023a00da41113b9bbe1d31a89a7098,16.0,random_geometric,244126,1039,66489,0.8048076923076923,837,e25eb5b9df1b,1040,"{'below_threshold': 203, 'generalized_information_on': 517, 'initial_reference': 156, 'maximum_silence': 164}",4166.013615377756,nan,nan,nan,nan,nan,nan,nan,nan,nan,generalized_0125_u8,e25eb5b9df1b,generalized_information,humanitarian:8810019,2792080,3036199,82120,83159,0.0705495971642838,0.0681323405328802,0.1251071026418777,0.1277798333627123,0.0657150839014766,0.1034482758620689,167304.6236767415,141,-31.21617441270106,0.19034339990258153,0.17503694586553775,0.19034339990258153,0.0004971026824164004,0.0007035973633511966,0.0008999104120515078,-0.0010833173662134765,0.0009100920442861038,0.0,-0.22845325368689373,2,0.009133058210672118
238,frozen_local_rule,340,52,0.4142752723971449,humanitarian,62541,90,145,0,3657,90,0.0,2026-08-17T04:40:47.805010+00:00,large,52.0,True,high,81328.44947561696,795,20,52098,454512,185.4754365900514,145,145,1.0,0.066750496956536,123,10443,uint8_simplex,8810019,pooled_current_private_evidence_pre_exchange,133117,131,0.8397435897435898,51100,high,2195303,58427,145,100,1039,private_fragmented,3,1.1937117960769685e-12,0.0,90.0,0.0,16.326923076923077,0.0006736416495849,321.07768897878464,high,0,-31.25094490618121,0.0714826423851892,244111,1039,30,286,0,238,0.1884133021645498,0.1116511674253755,0.1271919729941476,0.0691165696708626,0.1252543769885971,True,648,1316820,2.5,0,v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule,js_drift,167415.5134612296,103,0,1377312,229552,0,1951192,344328,development,727,0,2026-08-17T04:40:09.441567+00:00,4666e1e5d937e2e52a06b742589c4176ee023a00da41113b9bbe1d31a89a7098,16.0,random_geometric,244111,1039,57388,0.698076923076923,726,565d3b5e7ead,1040,"{'initial_reference': 156, 'js_drift': 637, 'maximum_silence': 247}",4166.80622459596,nan,nan,nan,nan,nan,nan,nan,nan,nan,js_007_u8,565d3b5e7ead,js_drift,humanitarian:8810019,2792080,3036199,82120,83159,0.0705495971642838,0.0681323405328802,0.1251071026418777,0.1277798333627123,0.0657150839014766,0.1034482758620689,167304.6236767415,141,-31.21617441270106,0.30116902094495857,0.27695681343680045,0.30116902094495857,0.0009330452209053985,0.0009842291379824064,0.00014727434671940598,-0.0005878603685646744,0.0010354130550594004,-0.1034482758620689,110.8897844880994,4,0.034770493480149156
239,frozen_local_rule,338,52,0.4143624927691786,humanitarian,68251,94,141,0,3941,94,0.0,2026-08-17T04:39:37.256260+00:00,large,52.0,True,high,81248.63586265188,795,20,56489,495380,185.2123601305336,145,145,1.0,0.0664858483843248,123,11762,uint8_simplex,8810019,pooled_current_private_evidence_pre_exchange,143219,131,0.8397435897435898,55429,high,2359896,63267,141,100,1039,private_fragmented,3,6.252776074688883e-13,0.0,75.0,0.0,15.634615384615383,0.0006695077227405,324.6913791742197,high,0,-31.213340709508813,0.0716536249620785,244144,1039,30,288,0,239,0.1884133021645498,0.1125033657793423,0.1291659004700216,0.0690697366732017,0.1252543769885971,True,648,1425246,3.967446671622448,0,v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_change,167304.6236767415,105,0,1493472,248912,0,2115752,373368,development,726,0,2026-08-17T04:39:01.412855+00:00,4666e1e5d937e2e52a06b742589c4176ee023a00da41113b9bbe1d31a89a7098,16.0,random_geometric,244144,1039,62228,0.7576923076923077,788,314c8c128df2,1040,"{'initial_reference': 156, 'kpi_change': 680, 'maximum_silence': 204}",4164.99627423451,nan,nan,nan,nan,nan,nan,nan,nan,nan,kpi_012_u8,314c8c128df2,kpi_change,humanitarian:8810019,2792080,3036199,82120,83159,0.0705495971642838,0.0681323405328802,0.1251071026418777,0.1277798333627123,0.0657150839014766,0.1034482758620689,167304.6236767415,141,-31.21617441270106,0.2422308816366293,0.22274659862545243,0.2422308816366293,0.0011040277977946988,0.0009373961403214975,0.00014727434671940598,0.001386067107309319,0.0007707644828481991,-0.1034482758620689,0.0,0,-0.0028337031922482936
239,frozen_local_rule,339,52,0.4143624927691786,humanitarian,88722,94,141,0,5151,94,0.0,2026-08-17T04:39:51.844215+00:00,large,52.0,True,high,81248.63586265188,795,20,73344,644402,185.2123601305336,145,145,1.0,0.0657506346497975,123,15378,uint8_simplex,8810019,pooled_current_private_evidence_pre_exchange,180545,131,0.8397435897435898,71945,high,2991651,81849,141,100,1039,private_fragmented,3,6.252776074688883e-13,15.0,60.0,0.1034482758620689,12.259615384615383,0.0006692619028901,324.6913791742197,high,0,-31.21617441270106,0.0705962402532385,244111,1039,30,287,0,239,0.1884133021645498,0.1115291993662587,0.1277798333627123,0.068173437451518,0.1251071026418777,True,648,1849294,3.967446671622448,0,v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-l1_belief_drift-c1987b7c3312-uint8_simplex-frozen_local_rule,l1_belief_drift,167304.6236767415,105,0,1939440,323240,0,2747540,484860,development,727,0,2026-08-17T04:39:08.350766+00:00,4666e1e5d937e2e52a06b742589c4176ee023a00da41113b9bbe1d31a89a7098,16.0,random_geometric,244111,1039,80810,0.9865384615384616,1026,c1987b7c3312,1040,"{'initial_reference': 156, 'l1_belief_drift': 873, 'maximum_silence': 11}",4164.99627423451,nan,nan,nan,nan,nan,nan,nan,nan,nan,l1_024_u8,c1987b7c3312,l1_belief_drift,humanitarian:8810019,2792080,3036199,82120,83159,0.0705495971642838,0.0681323405328802,0.1251071026418777,0.1277798333627123,0.0657150839014766,0.1034482758620689,167304.6236767415,141,-31.21617441270106,0.015952264978080888,0.014672292560533706,0.015952264978080888,4.6643088954703704e-05,4.1096918637809066e-05,0.0,0.0,3.555074832090055e-05,0.0,0.0,0,0.0
240,frozen_local_rule,340,52,0.4145562713517281,humanitarian,61815,95,143,0,3650,95,0.0,2026-08-17T04:39:52.159649+00:00,large,52.0,True,high,81185.19185583576,795,20,51464,446930,188.2417830265268,145,145,1.0,0.0664842246388643,123,10351,uint8_simplex,8810019,pooled_current_private_evidence_pre_exchange,131762,131,0.8397435897435898,50548,high,2173600,57788,143,100,1039,private_fragmented,3,1.0800249583553525e-12,15.0,90.0,0.1034482758620689,17.004807692307693,0.0006656309432947,345.98978493532246,high,0,-31.145202183396943,0.0726856324355084,244134,1039,30,285,0,240,0.1884133021645498,0.1136447770119144,0.1300539902334159,0.0695849285371864,0.1253147690152736,True,646,1302846,2.9127670085401167,0,v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-matched_random-681a73b1e0f1-uint8_simplex-frozen_local_rule,matched_random,167246.6598291455,106,0,1361976,226996,0,1929466,340494,development,727,0,2026-08-17T04:39:14.684119+00:00,4666e1e5d937e2e52a06b742589c4176ee023a00da41113b9bbe1d31a89a7098,16.0,random_geometric,244134,1039,56749,0.6817307692307693,709,681a73b1e0f1,1040,"{'initial_reference': 156, 'matched_random_selected': 279, 'matched_random_wait': 331, 'maximum_silence': 274}",4138.392999377457,nan,nan,nan,nan,nan,nan,nan,nan,nan,random_045_u8,681a73b1e0f1,matched_random,humanitarian:8810019,2792080,3036199,82120,83159,0.0705495971642838,0.0681323405328802,0.1251071026418777,0.1277798333627123,0.0657150839014766,0.1034482758620689,167304.6236767415,141,-31.21617441270106,0.3089503166098393,0.284104895627724,0.3089503166098393,0.002136035271224593,0.001452588004306199,0.00020766637339592053,0.0022741568707036197,0.0007691407373877079,0.0,-57.963847595994594,2,-0.07097222930411817
239,frozen_local_rule,341,52,0.414258134209267,humanitarian,0,92,144,0,0,92,0.0,2026-08-17T04:39:07.176786+00:00,large,52.0,True,high,80446.3186860089,796,20,0,0,185.9532667774793,145,145,1.0,0.111209337356989,123,0,uint8_simplex,8810019,pooled_current_private_evidence_pre_exchange,18484,131,0.8397435897435898,0,high,244383,1040,144,100,1040,private_fragmented,3,9.094947017729282e-13,15.0,0.0,0.1034482758620689,0.0,0.0,342.40223215783993,high,0,-30.813298175695987,0.0798049016001565,244383,1040,30,288,0,239,0.1884133021645498,0.1192797000956705,0.1354896901421131,0.0955071194785728,0.1494392859582043,True,650,0,2.5,0,v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-none-806ed450405e-uint8_simplex-frozen_local_rule,none,165450.53352599675,103,0,0,0,0,0,0,development,0,0,2026-08-17T04:38:57.198924+00:00,4666e1e5d937e2e52a06b742589c4176ee023a00da41113b9bbe1d31a89a7098,16.0,random_geometric,244383,1040,0,0.0,0,806ed450405e,1040,{'disabled': 1040},4075.380347166989,nan,nan,nan,nan,nan,nan,nan,nan,nan,none_u8,806ed450405e,none,humanitarian:8810019,2792080,3036199,82120,83159,0.0705495971642838,0.0681323405328802,0.1251071026418777,0.1277798333627123,0.0657150839014766,0.1034482758620689,167304.6236767415,141,-31.21617441270106,1.0,0.9195102165569516,1.0,0.009255304435872705,0.027374778945692596,0.02433218331632661,0.007709856779400809,0.045494253455512404,0.0,-1854.0901507447415,3,-0.40287623700507424
239,frozen_local_rule,339,52,0.4143624927691786,humanitarian,90062,94,141,0,5253,94,0.0,2026-08-17T04:41:05.652207+00:00,large,52.0,True,high,81248.63586265188,795,20,74549,653956,185.2123601305336,145,145,1.0,0.0657150839014766,123,15513,uint8_simplex,8810019,pooled_current_private_evidence_pre_exchange,183090,131,0.8397435897435898,73124,high,3036199,83159,141,100,1039,private_fragmented,3,6.252776074688883e-13,15.0,60.0,0.1034482758620689,12.028846153846152,0.0006679968574175,324.6913791742197,high,0,-31.21617441270106,0.0705495971642838,244119,1039,30,288,0,239,0.1884133021645498,0.1115291993662587,0.1277798333627123,0.0681323405328802,0.1251071026418777,True,649,1880710,3.967446671622448,0,v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-offline_oracle-df72669ae5df-uint8_simplex-frozen_local_rule,offline_oracle,167304.6236767415,105,0,1970880,328480,0,2792080,492720,development,727,0,2026-08-17T04:40:24.836682+00:00,4666e1e5d937e2e52a06b742589c4176ee023a00da41113b9bbe1d31a89a7098,16.0,random_geometric,244119,1039,82120,1.0,1040,df72669ae5df,1040,"{'initial_reference': 156, 'offline_oracle': 884}",4164.99627423451,nan,nan,nan,nan,nan,nan,nan,nan,nan,offline_oracle_u8,df72669ae5df,offline_oracle,humanitarian:8810019,2792080,3036199,82120,83159,0.0705495971642838,0.0681323405328802,0.1251071026418777,0.1277798333627123,0.0657150839014766,0.1034482758620689,167304.6236767415,141,-31.21617441270106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
240,frozen_local_rule,341,52,0.4142473502885155,humanitarian,50157,93,144,0,2935,93,0.0,2026-08-17T04:39:32.924719+00:00,large,52.0,True,high,80446.3186860089,795,20,41905,361828,186.49383809836692,144,145,0.993103448275862,0.0663352609043693,123,8252,uint8_simplex,8810019,pooled_current_private_evidence_pre_exchange,110544,131,0.8397435897435898,41177,high,1814364,47222,144,100,1039,private_fragmented,3,9.094947017729282e-13,10.0,90.0,0.0689655172413793,17.927884615384617,0.0006517935776896,343.022267462898,high,0,-30.80394806854756,0.0740808331644304,244142,1039,30,287,0,240,0.1884133021645498,0.115860016960262,0.1304696878763531,0.0702080470343999,0.1253209173532162,True,649,1062942,2.5,0,v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-periodic-52761a8cde7f-uint8_simplex-frozen_local_rule,periodic,165411.36805265574,104,0,1108392,184732,0,1570222,277098,development,727,0,2026-08-17T04:39:08.737176+00:00,4666e1e5d937e2e52a06b742589c4176ee023a00da41113b9bbe1d31a89a7098,16.0,random_geometric,244142,1039,46183,0.55,572,52761a8cde7f,1040,"{'initial_reference': 156, 'maximum_silence': 416, 'periodic_wait': 468}",4074.974378105002,nan,nan,nan,nan,nan,nan,nan,nan,nan,periodic_18_u8,52761a8cde7f,periodic,humanitarian:8810019,2792080,3036199,82120,83159,0.0705495971642838,0.0681323405328802,0.1251071026418777,0.1277798333627123,0.0657150839014766,0.1034482758620689,167304.6236767415,141,-31.21617441270106,0.43761568436434484,0.4024225684811832,0.43761568436434484,0.003531236000146598,0.0020757065015196974,0.00021381471133852248,0.002689854513640816,0.0006201770028926995,-0.0344827586206896,-1893.255624085752,3,-0.41222634415350257
