application,information_condition,coverage,baseline,independent_panels,harm_rate_reduction,harm_reduction_ci95_low,harm_reduction_ci95_high,mean_causal_utility_gain,utility_gain_ci95_low,utility_gain_ci95_high
commercial,private_fragmented,0.5,predictive_uncertainty,15,0.04000000000000001,-0.0066666666666666576,0.08666666666666667,0.01624052762222649,-0.0017900362487777125,0.03423029485491691
commercial,public_shared,0.5,predictive_uncertainty,15,0.0,-0.020000000000000004,0.020000000000000004,-0.00189645693908194,-0.011286782218494116,0.007173683129026612
humanitarian,private_fragmented,0.5,predictive_uncertainty,15,0.03333333333333333,-0.006666666666666665,0.07333333333333333,0.01470172738846275,-0.001196659187141513,0.030659472562634363
humanitarian,public_shared,0.5,predictive_uncertainty,15,0.020000000000000004,0.0,0.04,0.01168983168383161,0.0012935709222270946,0.023093106079756055
utility_restoration,private_fragmented,0.5,predictive_uncertainty,15,0.04,-7.447746123526681e-18,0.08666666666666666,0.019141593462199034,0.0002812892538434236,0.03797494202486434
utility_restoration,public_shared,0.5,predictive_uncertainty,15,0.0,0.0,0.0,-0.0009172856362499972,-0.006858194913547489,0.00410233287943591
