application,matched_seed_panels,private_minus_public_harm_reduction,ci95_low,ci95_high
commercial,15,0.039999999999999994,-7.447746123526681e-18,0.08666666666666667
humanitarian,15,0.013333333333333334,-0.04,0.06000000000000001
utility_restoration,15,0.04,-0.006666666666666659,0.08666666666666666
