run_id,application,regime,information_condition,method,environment_seed,status,failure_type,failure_reason
implementation_pilot_v1_coordination-utility_restoration-no_communication-compound-private_fragmented-e24001-o124001-rnone,utility_restoration,compound,private_fragmented,no_communication,24001,failed,KeyError,'communications_zone'
implementation_pilot_v1_coordination-utility_restoration-no_communication-compound-private_fragmented-e24002-o124002-rnone,utility_restoration,compound,private_fragmented,no_communication,24002,failed,KeyError,'communications_zone'
implementation_pilot_v1_coordination-utility_restoration-no_communication-compound-private_fragmented-e24003-o124003-rnone,utility_restoration,compound,private_fragmented,no_communication,24003,failed,KeyError,'communications_zone'
