control,metric,cluster_id,control_minus_unaltered
content_permutation,adjusted_block_kl_nats_per_update,control_g0,-0.029423264135388733
content_permutation,adjusted_block_kl_nats_per_update,control_g1,0.011917695810297432
content_permutation,adjusted_block_kl_nats_per_update,control_g2,-0.01806983460076833
content_permutation,mean_abs_belief_magnetization,control_g0,0.0062500000000000056
content_permutation,mean_abs_belief_magnetization,control_g1,0.0
content_permutation,mean_abs_belief_magnetization,control_g2,0.056249999999999994
content_permutation,neighbor_belief_mutual_information_bias_corrected,control_g0,0.009409791403349913
content_permutation,neighbor_belief_mutual_information_bias_corrected,control_g1,0.0
content_permutation,neighbor_belief_mutual_information_bias_corrected,control_g2,0.03464045201844501
content_permutation,directed_edge_transfer_entropy_bias_corrected,control_g0,0.001135578349195681
content_permutation,directed_edge_transfer_entropy_bias_corrected,control_g1,-3.32427294825674e-06
content_permutation,directed_edge_transfer_entropy_bias_corrected,control_g2,0.005106364487339209
no_message,adjusted_block_kl_nats_per_update,control_g0,0.04350227571258902
no_message,adjusted_block_kl_nats_per_update,control_g1,0.0033074572706755373
no_message,adjusted_block_kl_nats_per_update,control_g2,0.07596192713910185
no_message,mean_abs_belief_magnetization,control_g0,0.14375
no_message,mean_abs_belief_magnetization,control_g1,-0.025
no_message,mean_abs_belief_magnetization,control_g2,-0.018750000000000003
no_message,neighbor_belief_mutual_information_bias_corrected,control_g0,-3.469446951953614e-18
no_message,neighbor_belief_mutual_information_bias_corrected,control_g1,-6.938893903907228e-18
no_message,neighbor_belief_mutual_information_bias_corrected,control_g2,-0.0760514203702659
no_message,directed_edge_transfer_entropy_bias_corrected,control_g0,9.792915280904674e-06
no_message,directed_edge_transfer_entropy_bias_corrected,control_g1,4.60549192719574e-05
no_message,directed_edge_transfer_entropy_bias_corrected,control_g2,-0.00653841547495335
placebo,adjusted_block_kl_nats_per_update,control_g0,-0.007252816985940852
placebo,adjusted_block_kl_nats_per_update,control_g1,0.012771899598918349
placebo,adjusted_block_kl_nats_per_update,control_g2,-0.008995056366250559
placebo,mean_abs_belief_magnetization,control_g0,-0.018750000000000003
placebo,mean_abs_belief_magnetization,control_g1,0.0
placebo,mean_abs_belief_magnetization,control_g2,0.0
placebo,neighbor_belief_mutual_information_bias_corrected,control_g0,0.0
placebo,neighbor_belief_mutual_information_bias_corrected,control_g1,0.0
placebo,neighbor_belief_mutual_information_bias_corrected,control_g2,0.0008099840387416762
placebo,directed_edge_transfer_entropy_bias_corrected,control_g0,-2.5752196269948624e-06
placebo,directed_edge_transfer_entropy_bias_corrected,control_g1,-1.1306728952987372e-05
placebo,directed_edge_transfer_entropy_bias_corrected,control_g2,-9.604578436190128e-05
sender_identity_permutation,adjusted_block_kl_nats_per_update,control_g0,0.006997617443022422
sender_identity_permutation,adjusted_block_kl_nats_per_update,control_g1,0.010632802242718453
sender_identity_permutation,adjusted_block_kl_nats_per_update,control_g2,-0.007441807935204242
sender_identity_permutation,mean_abs_belief_magnetization,control_g0,0.0
sender_identity_permutation,mean_abs_belief_magnetization,control_g1,0.0
sender_identity_permutation,mean_abs_belief_magnetization,control_g2,0.0
sender_identity_permutation,neighbor_belief_mutual_information_bias_corrected,control_g0,0.0
sender_identity_permutation,neighbor_belief_mutual_information_bias_corrected,control_g1,0.0
sender_identity_permutation,neighbor_belief_mutual_information_bias_corrected,control_g2,0.00025346750707821997
sender_identity_permutation,directed_edge_transfer_entropy_bias_corrected,control_g0,1.196911867666628e-06
sender_identity_permutation,directed_edge_transfer_entropy_bias_corrected,control_g1,-1.3899276127587318e-05
sender_identity_permutation,directed_edge_transfer_entropy_bias_corrected,control_g2,-0.00011646153230223527
temporal_permutation,adjusted_block_kl_nats_per_update,control_g0,-0.007866342139532675
temporal_permutation,adjusted_block_kl_nats_per_update,control_g1,0.013488686096271199
temporal_permutation,adjusted_block_kl_nats_per_update,control_g2,-0.02104035678067126
temporal_permutation,mean_abs_belief_magnetization,control_g0,-0.018750000000000003
temporal_permutation,mean_abs_belief_magnetization,control_g1,0.0
temporal_permutation,mean_abs_belief_magnetization,control_g2,0.056249999999999994
temporal_permutation,neighbor_belief_mutual_information_bias_corrected,control_g0,0.0
temporal_permutation,neighbor_belief_mutual_information_bias_corrected,control_g1,0.0
temporal_permutation,neighbor_belief_mutual_information_bias_corrected,control_g2,0.034898983629517516
temporal_permutation,directed_edge_transfer_entropy_bias_corrected,control_g0,-9.109328634938907e-06
temporal_permutation,directed_edge_transfer_entropy_bias_corrected,control_g1,-1.7374095159505831e-06
temporal_permutation,directed_edge_transfer_entropy_bias_corrected,control_g2,0.005114059791963749
