alpha,independent_n,total_per_update_mean,total_per_update_ci_low,total_per_update_ci_high,coefficient_prediction_mean,coefficient_prediction_ci_low,coefficient_prediction_ci_high,quadratic_prediction_mean
0.0,8,1.100864565477282e-31,1.100864565477282e-31,1.100864565477282e-31,0.11088607406071159,0.09645575130531892,0.12052959516778955,0.0
0.0025,8,6.930391290255535e-07,6.028492445311517e-07,7.533016001937302e-07,0.11088607406071159,0.09645575130531892,0.12052959516778955,6.930379628794475e-07
0.005,8,2.772170509621734e-06,2.4113963109674517e-06,3.0132102937733413e-06,0.11088607406071159,0.09645575130531892,0.12052959516778955,2.77215185151779e-06
0.01,8,1.1088905920769007e-05,9.646329154342817e-06,1.2053275804781313e-05,0.11088607406071159,0.09645575130531892,0.12052959516778955,1.108860740607116e-05
0.02,8,4.435920490165268e-05,3.858469095574694e-05,4.8219575482968036e-05,0.11088607406071159,0.09645575130531892,0.12052959516778955,4.435442962428464e-05
0.05,8,0.00027740145768103753,0.0002411899734055347,0.0003016366569273625,0.11088607406071159,0.09645575130531892,0.12052959516778955,0.00027721518515177903
0.1,8,0.0011118261798224124,0.0009657845534317439,0.0012102312197551876,0.11088607406071159,0.09645575130531892,0.12052959516778955,0.0011088607406071161
0.2,8,0.0044819439782053504,0.0038723949414570407,0.00489570290904335,0.11088607406071159,0.09645575130531892,0.12052959516778955,0.0044354429624284646
0.35,8,0.0139959778731257,0.011915654668365173,0.015416086554146209,0.11088607406071159,0.09645575130531892,0.12052959516778955,0.013583544072437169
0.5,8,0.0292953100103278,0.024432589958012278,0.03263608312026056,0.11088607406071159,0.09645575130531892,0.12052959516778955,0.027721518515177897
0.65,8,0.050834086890852365,0.044178156560960344,0.05732004301260418,0.11088607406071159,0.09645575130531892,0.12052959516778955,0.04684936629065065
0.8,8,0.07879634531681057,0.06253546637620933,0.08992953916182798,0.11088607406071159,0.09645575130531892,0.12052959516778955,0.07096708739885543
