factor,metric,matched_cell,high_minus_low
coupling_strength,mean_abs_belief_magnetization,8.0|modular|0.5|0|0.0,-0.041666666666666664
coupling_strength,mean_abs_belief_magnetization,8.0|modular|0.5|0|0.2,-0.041666666666666664
coupling_strength,mean_abs_belief_magnetization,8.0|modular|0.5|0|0.5,-0.041666666666666664
coupling_strength,mean_abs_belief_magnetization,8.0|modular|0.5|0|0.8,-0.03125000000000001
coupling_strength,mean_abs_belief_magnetization,8.0|modular|0.5|1|0.0,-0.10937500000000001
coupling_strength,mean_abs_belief_magnetization,8.0|modular|0.5|1|0.2,-0.08072916666666669
coupling_strength,mean_abs_belief_magnetization,8.0|modular|0.5|1|0.5,0.09895833333333334
coupling_strength,mean_abs_belief_magnetization,8.0|modular|0.5|1|0.8,0.09895833333333334
coupling_strength,mean_abs_belief_magnetization,8.0|modular|0.85|0|0.0,-0.046875
coupling_strength,mean_abs_belief_magnetization,8.0|modular|0.85|0|0.2,-0.0234375
coupling_strength,mean_abs_belief_magnetization,8.0|modular|0.85|0|0.5,-0.020833333333333315
coupling_strength,mean_abs_belief_magnetization,8.0|modular|0.85|0|0.8,0.002604166666666685
coupling_strength,mean_abs_belief_magnetization,8.0|modular|0.85|1|0.0,-0.06249999999999999
coupling_strength,mean_abs_belief_magnetization,8.0|modular|0.85|1|0.2,0.010416666666666664
coupling_strength,mean_abs_belief_magnetization,8.0|modular|0.85|1|0.5,-0.0234375
coupling_strength,mean_abs_belief_magnetization,8.0|modular|0.85|1|0.8,0.010416666666666664
coupling_strength,mean_abs_belief_magnetization,8.0|ring|0.5|0|0.0,0.30729166666666663
coupling_strength,mean_abs_belief_magnetization,8.0|ring|0.5|0|0.2,0.24999999999999997
coupling_strength,mean_abs_belief_magnetization,8.0|ring|0.5|0|0.5,0.27343749999999994
coupling_strength,mean_abs_belief_magnetization,8.0|ring|0.5|0|0.8,0.20572916666666666
coupling_strength,mean_abs_belief_magnetization,8.0|ring|0.5|1|0.0,0.22916666666666666
coupling_strength,mean_abs_belief_magnetization,8.0|ring|0.5|1|0.2,0.23177083333333331
coupling_strength,mean_abs_belief_magnetization,8.0|ring|0.5|1|0.5,0.20052083333333331
coupling_strength,mean_abs_belief_magnetization,8.0|ring|0.5|1|0.8,0.13802083333333334
coupling_strength,mean_abs_belief_magnetization,8.0|ring|0.85|0|0.0,0.16145833333333334
coupling_strength,mean_abs_belief_magnetization,8.0|ring|0.85|0|0.2,0.15625
coupling_strength,mean_abs_belief_magnetization,8.0|ring|0.85|0|0.5,0.0026041666666666644
