family,cluster_id,metric,alpha,paired_difference
small_network,small_n4_g1,belief_integrated_autocorrelation_time_updates,0.8,1.9788732482541684
small_network,small_n4_g2,belief_integrated_autocorrelation_time_updates,0.8,3.1842527182479454
small_network,small_n4_g3,belief_integrated_autocorrelation_time_updates,0.8,1.748337732751354
collective_network,collective_n16_modular_k0.35_t0.50_g0,adjusted_block_kl_nats_per_update,0.8,-0.014138414733265978
collective_network,collective_n16_modular_k0.35_t0.50_g1,adjusted_block_kl_nats_per_update,0.8,0.014713368092699491
collective_network,collective_n16_modular_k0.35_t0.85_g0,adjusted_block_kl_nats_per_update,0.8,0.0019651150252019828
collective_network,collective_n16_modular_k0.35_t0.85_g1,adjusted_block_kl_nats_per_update,0.8,0.04074082157297114
collective_network,collective_n16_modular_k0.80_t0.50_g0,adjusted_block_kl_nats_per_update,0.8,-0.009484900750695135
collective_network,collective_n16_modular_k0.80_t0.50_g1,adjusted_block_kl_nats_per_update,0.8,-0.05196826271062226
collective_network,collective_n16_modular_k0.80_t0.85_g0,adjusted_block_kl_nats_per_update,0.8,0.01566974877077873
collective_network,collective_n16_modular_k0.80_t0.85_g1,adjusted_block_kl_nats_per_update,0.8,-0.0053217864059783605
collective_network,collective_n16_ring_k0.35_t0.50_g0,adjusted_block_kl_nats_per_update,0.8,-0.051568747414783817
collective_network,collective_n16_ring_k0.35_t0.50_g1,adjusted_block_kl_nats_per_update,0.8,0.05357842968971158
collective_network,collective_n16_ring_k0.35_t0.85_g0,adjusted_block_kl_nats_per_update,0.8,-0.02380223879454485
collective_network,collective_n16_ring_k0.35_t0.85_g1,adjusted_block_kl_nats_per_update,0.8,-0.00920325415104203
collective_network,collective_n16_ring_k0.80_t0.50_g0,adjusted_block_kl_nats_per_update,0.8,0.021410636546481718
collective_network,collective_n16_ring_k0.80_t0.50_g1,adjusted_block_kl_nats_per_update,0.8,-0.07009100981715358
collective_network,collective_n16_ring_k0.80_t0.85_g0,adjusted_block_kl_nats_per_update,0.8,-0.04178348484041103
collective_network,collective_n16_ring_k0.80_t0.85_g1,adjusted_block_kl_nats_per_update,0.8,0.007911806130132204
