metric,matched_arm,persistent_minus_markovized
adjusted_block_kl_nats_per_update,memory_n16_modular_g0|0.00|reciprocal,0.05954601093470807
adjusted_block_kl_nats_per_update,memory_n16_modular_g0|0.80|forward,0.023902049740983197
adjusted_block_kl_nats_per_update,memory_n16_modular_g0|0.80|transpose,0.056238345570931825
adjusted_block_kl_nats_per_update,memory_n16_modular_g1|0.00|reciprocal,-0.007348624769956062
adjusted_block_kl_nats_per_update,memory_n16_modular_g1|0.80|forward,0.02915478333969429
adjusted_block_kl_nats_per_update,memory_n16_modular_g1|0.80|transpose,-0.010168878838188594
adjusted_block_kl_nats_per_update,memory_n16_ring_g0|0.00|reciprocal,0.04729852678457974
adjusted_block_kl_nats_per_update,memory_n16_ring_g0|0.80|forward,0.036939025793990075
adjusted_block_kl_nats_per_update,memory_n16_ring_g0|0.80|transpose,0.13517183832785587
adjusted_block_kl_nats_per_update,memory_n16_ring_g1|0.00|reciprocal,0.069850097925799
adjusted_block_kl_nats_per_update,memory_n16_ring_g1|0.80|forward,0.006156956813286224
adjusted_block_kl_nats_per_update,memory_n16_ring_g1|0.80|transpose,0.029868841522623913
adjusted_block_kl_nats_per_update,memory_n8_modular_g0|0.00|reciprocal,-0.020088425648251116
adjusted_block_kl_nats_per_update,memory_n8_modular_g0|0.80|forward,0.042046031582598044
adjusted_block_kl_nats_per_update,memory_n8_modular_g0|0.80|transpose,0.021275278225042837
adjusted_block_kl_nats_per_update,memory_n8_modular_g1|0.00|reciprocal,-0.02099261610683819
adjusted_block_kl_nats_per_update,memory_n8_modular_g1|0.80|forward,-0.008857133902394105
adjusted_block_kl_nats_per_update,memory_n8_modular_g1|0.80|transpose,-0.005522665645885343
adjusted_block_kl_nats_per_update,memory_n8_ring_g0|0.00|reciprocal,-0.02931612176269912
adjusted_block_kl_nats_per_update,memory_n8_ring_g0|0.80|forward,0.03381997815592281
adjusted_block_kl_nats_per_update,memory_n8_ring_g0|0.80|transpose,-0.026900168118580075
adjusted_block_kl_nats_per_update,memory_n8_ring_g1|0.00|reciprocal,-0.020805426590596324
adjusted_block_kl_nats_per_update,memory_n8_ring_g1|0.80|forward,0.0038200487227981333
adjusted_block_kl_nats_per_update,memory_n8_ring_g1|0.80|transpose,-0.015506928178365121
history_1_conditional_mutual_information,memory_n16_modular_g0|0.00|reciprocal,-0.0010208942483063248
history_1_conditional_mutual_information,memory_n16_modular_g0|0.80|forward,-0.0031861303784672212
history_1_conditional_mutual_information,memory_n16_modular_g0|0.80|transpose,-0.003888472684311304
history_1_conditional_mutual_information,memory_n16_modular_g1|0.00|reciprocal,-0.015565197681017386
history_1_conditional_mutual_information,memory_n16_modular_g1|0.80|forward,-0.012642591992843226
history_1_conditional_mutual_information,memory_n16_modular_g1|0.80|transpose,-0.013198637820087952
history_1_conditional_mutual_information,memory_n16_ring_g0|0.00|reciprocal,-0.021866219055659324
