family,cluster_id,alpha,excess_irreversibility,cluster_slope
small_network,small_n3_g0,0.0,0.0,0.00011305497203696927
small_network,small_n3_g0,0.2,4.080426887131983e-05,0.00011305497203696927
small_network,small_n3_g0,0.5,4.9642202369437034e-05,0.00011305497203696927
small_network,small_n3_g0,0.8,9.019896129424869e-05,0.00011305497203696927
small_network,small_n3_g1,0.0,0.0,0.005557202914011399
small_network,small_n3_g1,0.2,0.0034855573951288552,0.005557202914011399
small_network,small_n3_g1,0.5,0.003430954137019103,0.005557202914011399
small_network,small_n3_g1,0.8,0.0034445127031191,0.005557202914011399
small_network,small_n3_g2,0.0,0.0,-8.034472406518688e-06
small_network,small_n3_g2,0.2,2.7311058167306248e-05,-8.034472406518688e-06
small_network,small_n3_g2,0.5,9.299687944708368e-06,-8.034472406518688e-06
small_network,small_n3_g2,0.8,-2.1980143679847265e-05,-8.034472406518688e-06
small_network,small_n3_g3,0.0,0.0,0.0001463283276906283
small_network,small_n3_g3,0.2,5.300617429415209e-05,0.0001463283276906283
small_network,small_n3_g3,0.5,9.652623837957994e-05,0.0001463283276906283
small_network,small_n3_g3,0.8,9.652623837957994e-05,0.0001463283276906283
small_network,small_n4_g0,0.0,0.0,-3.43729680015172e-05
small_network,small_n4_g0,0.2,-2.256825977337404e-05,-3.43729680015172e-05
small_network,small_n4_g0,0.5,-2.2699498980935994e-05,-3.43729680015172e-05
small_network,small_n4_g0,0.8,-2.012932349533525e-05,-3.43729680015172e-05
small_network,small_n4_g1,0.0,0.0,3.894499051332974e-05
small_network,small_n4_g1,0.2,4.0727841930432494e-05,3.894499051332974e-05
small_network,small_n4_g1,0.5,5.459490711023437e-05,3.894499051332974e-05
small_network,small_n4_g1,0.8,9.6977404524123e-07,3.894499051332974e-05
small_network,small_n4_g2,0.0,0.0,-0.0020533321170947056
small_network,small_n4_g2,0.2,0.0,-0.0020533321170947056
small_network,small_n4_g2,0.5,-1.9407451434802408e-05,-0.0020533321170947056
small_network,small_n4_g2,0.8,-0.002374868928975844,-0.0020533321170947056
small_network,small_n4_g3,0.0,0.0,0.001894305526231341
small_network,small_n4_g3,0.2,0.001014986474956996,0.001894305526231341
