n_agents,topology,coupling_strength,sampling_temperature,independent_seeds,mean_abs_belief_magnetization_mean,mean_abs_belief_magnetization_sd,mean_abs_belief_magnetization_q025,mean_abs_belief_magnetization_q975,mean_abs_action_magnetization_mean,mean_abs_action_magnetization_sd,mean_abs_action_magnetization_q025,mean_abs_action_magnetization_q975,belief_susceptibility_mean,belief_susceptibility_sd,belief_susceptibility_q025,belief_susceptibility_q975,belief_correlation_time_sweeps_mean,belief_correlation_time_sweeps_sd,belief_correlation_time_sweeps_q025,belief_correlation_time_sweeps_q975,mean_field_belief_mean,mean_field_belief_sd,mean_field_belief_q025,mean_field_belief_q975,mean_field_action_mean,mean_field_action_sd,mean_field_action_q025,mean_field_action_q975,local_belief_stability_index_mean,local_belief_stability_index_sd,local_belief_stability_index_q025,local_belief_stability_index_q975
8,modular,0.2,0.4,16,0.0,0.0,0.0,0.0,0.0010416666666666667,0.004166666666666667,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.8166938803743115e-08,0.0,-1.8166938803743115e-08,-1.8166938803743115e-08,6.52000234198416e-08,0.0,6.52000234198416e-08,6.52000234198416e-08,6.177889217774389,0.0,6.177889217774389,6.177889217774389
8,modular,0.2,0.5,16,0.0,0.0,0.0,0.0,0.0005208333333333333,0.0009983267894836958,0.0,0.002777777777777778,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.8166938803743115e-08,0.0,-1.8166938803743115e-08,-1.8166938803743115e-08,6.52000234198416e-08,0.0,6.52000234198416e-08,6.52000234198416e-08,6.177889217774389,0.0,6.177889217774389,6.177889217774389
8,modular,0.2,0.6,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-0.00430146861559732,0.0,-0.00430146861559732,-0.00430146861559732,-0.01143886129412982,0.0,-0.01143886129412982,-0.01143886129412982,5.613916556457504,0.0,5.613916556457504,5.613916556457504
8,modular,0.2,0.7,16,0.00034722222222222224,0.0009487917375888517,0.0,0.002777777777777778,0.0009548611111111112,0.001736111111111111,0.0,0.0050347222222222225,0.0006905648665425203,0.001886982450176711,0.0,0.0055245189323401625,1.1242702906283348,0.33957107993067637,1.0,1.9941623250266778,-0.008773465221594348,0.0,-0.008773465221594348,-0.008773465221594348,-0.02344540195923141,0.0,-0.02344540195923141,-0.02344540195923141,5.049762914634441,0.0,5.049762914634441,5.049762914634441
8,modular,0.2,0.85,16,0.012239583333333335,0.00637919453711727,0.0038194444444444448,0.025694444444444443,0.012760416666666666,0.007194010962201812,0.0038194444444444448,0.027604166666666666,0.02424445220360025,0.012663130821449662,0.007658286778398511,0.05126474239602732,2.0701496408603273,0.7855453911071731,1.0,3.5047080587389363,-0.01582574250190199,0.0,-0.01582574250190199,-0.01582574250190199,-0.04265844971329744,0.0,-0.04265844971329744,-0.04265844971329744,4.203295466290937,0.0,4.203295466290937,4.203295466290937
8,modular,0.2,1.0,16,0.01171875,0.004810416883878965,0.0038194444444444448,0.0203125,0.012326388888888888,0.006104268054186861,0.003298611111111111,0.024305555555555556,0.023297835195530723,0.0096290487347911,0.007588454376163873,0.040399984481688384,1.8141998613377444,0.6444631738629736,1.077245380318006,3.2720461820696634,-0.01582574250190199,0.0,-0.01582574250190199,-0.01582574250190199,-0.04265844971329744,0.0,-0.04265844971329744,-0.04265844971329744,4.203295466290937,0.0,4.203295466290937,4.203295466290937
8,modular,0.3,0.4,16,0.0,0.0,0.0,0.0,0.00026041666666666666,0.0007554244848185519,0.0,0.0022569444444444447,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.8000761018008453e-08,0.0,-1.8000761018008453e-08,-1.8000761018008453e-08,6.45334806870485e-08,0.0,6.45334806870485e-08,6.45334806870485e-08,6.3730620757225465,0.0,6.3730620757225465,6.3730620757225465
8,modular,0.3,0.5,16,0.0,0.0,0.0,0.0,0.00017361111111111112,0.00047439586879442585,0.0,0.001388888888888889,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.8000761018008453e-08,0.0,-1.8000761018008453e-08,-1.8000761018008453e-08,6.45334806870485e-08,0.0,6.45334806870485e-08,6.45334806870485e-08,6.3730620757225465,0.0,6.3730620757225465,6.3730620757225465
8,modular,0.3,0.6,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-0.004249976733855165,0.0,-0.004249976733855165,-0.004249976733855165,-0.011581913001081096,0.0,-0.011581913001081096,-0.011581913001081096,5.811233710139795,0.0,5.811233710139795,5.811233710139795
8,modular,0.3,0.7,16,0.00043402777777777775,0.001736111111111111,0.0,0.004340277777777778,0.0006944444444444445,0.0018285571905677313,0.0,0.005381944444444444,0.0008486576660459338,0.003394630664183735,0.0,0.00848657666045934,1.1447748522950745,0.5790994091802985,1.0,2.447748522950746,-0.008664605167201241,0.0,-0.008664605167201241,-0.008664605167201241,-0.02377363029755026,0.0,-0.02377363029755026,-0.02377363029755026,5.249221159992243,0.0,5.249221159992243,5.249221159992243
