model_key,condition,phase,graph_distance,metric,estimate,ci_low,ci_high,independent_clusters,clusters_total,undefined_clusters,bootstrap_replicates
granite,field_markovized,baseline,1.0,connected_correlation,-0.0013638117283950636,-0.0040398341049382724,0.0002228009259259222,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,2.0,connected_correlation,-0.004716159611992944,-0.008771542634767272,-0.001769731040564374,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,3.0,connected_correlation,-0.0007005046249485082,-0.004864636961436918,0.002384007648953301,6.0,6.0,0.0,10000.0
granite,field_markovized,baseline,4.0,connected_correlation,0.0034857253086419755,0.0,0.009550540123456791,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,1.0,connected_correlation,0.009657118055555556,-0.0065075231481481486,0.030473572530864194,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,2.0,connected_correlation,0.005319194794738271,-0.0022312825895253446,0.013634229196729193,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,3.0,connected_correlation,0.0007636147305921624,-0.008101500767704002,0.009405229158166738,6.0,6.0,0.0,10000.0
granite,field_markovized,disruption,4.0,connected_correlation,0.025736239711934155,-0.011215277777777777,0.08877314814814814,6.0,6.0,0.0,10000.0
granite,field_markovized,recovery,1.0,connected_correlation,0.017144579475308643,-0.011099054783950608,0.05413966049382715,6.0,6.0,0.0,10000.0
granite,field_markovized,recovery,2.0,connected_correlation,0.011534212030588846,-0.010672201875553324,0.03496571891272979,6.0,6.0,0.0,10000.0
granite,field_markovized,recovery,3.0,connected_correlation,0.003876515753746984,-0.013966286503834954,0.022136379992293388,6.0,6.0,0.0,10000.0
granite,field_markovized,recovery,4.0,connected_correlation,-0.006271437297912995,-0.03409267526455025,0.01821751221707817,6.0,6.0,0.0,10000.0
granite,field_persistent,baseline,1.0,connected_correlation,0.027484567901234564,0.003457754629629628,0.057363522376543206,6.0,6.0,0.0,10000.0
granite,field_persistent,baseline,2.0,connected_correlation,0.016729647013614405,0.005512951940035273,0.028619778487079212,6.0,6.0,0.0,10000.0
granite,field_persistent,baseline,3.0,connected_correlation,0.019870553215698496,0.0077140378963924785,0.032248088324817216,6.0,6.0,0.0,10000.0
granite,field_persistent,baseline,4.0,connected_correlation,0.044567281194885365,0.013808214836860669,0.08551215277777778,6.0,6.0,0.0,10000.0
granite,field_persistent,disruption,1.0,connected_correlation,0.007161458333333332,7.233796296295886e-06,0.015653935185185184,6.0,6.0,0.0,10000.0
granite,field_persistent,disruption,2.0,connected_correlation,0.014167082313821446,0.003422290647154778,0.03206412337662338,6.0,6.0,0.0,10000.0
granite,field_persistent,disruption,3.0,connected_correlation,0.009499568556591642,0.0011262194322735279,0.022576782103134477,6.0,6.0,0.0,10000.0
granite,field_persistent,disruption,4.0,connected_correlation,0.005260416666666666,0.0,0.015781249999999997,6.0,6.0,0.0,10000.0
granite,field_persistent,recovery,1.0,connected_correlation,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_persistent,recovery,2.0,connected_correlation,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_persistent,recovery,3.0,connected_correlation,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_persistent,recovery,4.0,connected_correlation,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,field_scrambled,baseline,1.0,connected_correlation,0.008169849537037034,-0.015399787808641978,0.035572434413580246,6.0,6.0,0.0,10000.0
granite,field_scrambled,baseline,2.0,connected_correlation,-0.0031574517387470274,-0.02486342352963729,0.022387787794264247,6.0,6.0,0.0,10000.0
granite,field_scrambled,baseline,3.0,connected_correlation,-0.001025038227989555,-0.02342237500512695,0.02146384443054891,6.0,6.0,0.0,10000.0
granite,field_scrambled,baseline,4.0,connected_correlation,0.0033465149176954818,-0.056324588477366246,0.06549754050925917,6.0,6.0,0.0,10000.0
granite,field_scrambled,disruption,1.0,connected_correlation,0.009005111882716051,-0.003288483796296293,0.022497106481481486,6.0,6.0,0.0,10000.0
granite,field_scrambled,disruption,2.0,connected_correlation,-0.01169585972518491,-0.020674309901551752,-0.0018556379878843657,6.0,6.0,0.0,10000.0
granite,field_scrambled,disruption,3.0,connected_correlation,0.003722928839343607,-0.005653524244269815,0.012759936015749963,6.0,6.0,0.0,10000.0
granite,field_scrambled,disruption,4.0,connected_correlation,-0.013347456459435629,-0.0402558697089947,0.017350363756613755,6.0,6.0,0.0,10000.0
granite,field_scrambled,recovery,1.0,connected_correlation,0.017083815586419755,0.007238618827160496,0.02996238425925926,6.0,6.0,0.0,10000.0
granite,field_scrambled,recovery,2.0,connected_correlation,-0.0019045879015308353,-0.0094759372933201,0.00595425986050986,6.0,6.0,0.0,10000.0
granite,field_scrambled,recovery,3.0,connected_correlation,-0.005884933526190861,-0.02714050245931365,0.012755347145318077,6.0,6.0,0.0,10000.0
granite,field_scrambled,recovery,4.0,connected_correlation,-0.0005325107473544977,-0.0617720389660494,0.056662119708994714,6.0,6.0,0.0,10000.0
granite,nominal_markovized,baseline,1.0,connected_correlation,-0.0013638117283950636,-0.0040398341049382724,0.0002228009259259222,6.0,6.0,0.0,10000.0
granite,nominal_markovized,baseline,2.0,connected_correlation,-0.004716159611992944,-0.008731860095084731,-0.001873789874242772,6.0,6.0,0.0,10000.0
granite,nominal_markovized,baseline,3.0,connected_correlation,-0.0007005046249485082,-0.0048338379582818424,0.002384007648953301,6.0,6.0,0.0,10000.0
granite,nominal_markovized,baseline,4.0,connected_correlation,0.0034857253086419755,0.0,0.009550540123456791,6.0,6.0,0.0,10000.0
granite,nominal_markovized,disruption,1.0,connected_correlation,0.0035170717592592593,-0.0007204861111111104,0.011271701388888888,6.0,6.0,0.0,10000.0
granite,nominal_markovized,disruption,2.0,connected_correlation,-0.0033091248274672185,-0.009429725241545894,0.0019440670289855076,6.0,6.0,0.0,10000.0
granite,nominal_markovized,disruption,3.0,connected_correlation,-0.0017529690016103057,-0.005258907004830917,0.0,6.0,6.0,0.0,10000.0
granite,nominal_markovized,disruption,4.0,connected_correlation,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
