model_key,cluster_id,panel_id,condition,block_length,pseudocount,raw_block_divergence_nats_per_update,shuffle_floor_nats_per_update,adjusted_irreversibility_nats_per_update
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,2,0.1,0.039793587710663034,0.06921572844670372,-0.029422140736040686
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,2,0.5,0.017827379937819233,0.035744654889784226,-0.017917274951964993
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,2,1.0,0.010944429166735978,0.023918589063807085,-0.012974159897071107
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,3,0.1,0.03641702057266612,0.09540561062694096,-0.05898859005427484
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,3,0.5,0.01612372938672343,0.04547201501927846,-0.029348285632555027
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,3,1.0,0.009762636345914722,0.02792045264632852,-0.018157816300413798
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,4,0.1,0.033065296094847936,0.11904382669965138,-0.08597853060480345
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,4,0.5,0.014493565813563458,0.05262074895195323,-0.038127183138389774
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,4,1.0,0.008675183736670153,0.030868149231940378,-0.022192965495270223
qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,2,0.1,0.11975081230837971,0.1646939733343505,-0.044943161025970804
qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,2,0.5,0.05255825612007676,0.07820850519399897,-0.02565024907392221
qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,2,1.0,0.03138884314058946,0.048600061571450165,-0.0172112184308607
qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,3,0.1,0.08476970853051338,0.19688048188259763,-0.11211077335208425
qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,3,0.5,0.036685142380209056,0.08423611807465721,-0.047550975694448154
qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,3,1.0,0.021554845957397987,0.047934657096476194,-0.026379811139078207
qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,4,0.1,0.06732443116246357,0.22656812845225688,-0.15924369728979332
qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,4,0.5,0.02874087343626582,0.08889944779894174,-0.06015857436267592
qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,4,1.0,0.01665361467961831,0.0467516829120711,-0.030098068232452792
qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,2,0.1,0.12040330376610052,0.05968025859187382,0.0607230451742267
qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,2,0.5,0.05320877854371663,0.028220991056382545,0.024987787487334087
qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,2,1.0,0.031965544313119564,0.017628612895704505,0.014336931417415058
qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,3,0.1,0.08708267058949813,0.07078794427808674,0.016294726311411392
qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,3,0.5,0.03749288557592386,0.0314425777532293,0.006050307822694563
qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,3,1.0,0.021998084173459345,0.019025594396011272,0.002972489777448073
