model_key,cluster_id,persistent_mean_entries_per_prompt,scrambled_mean_entries_per_prompt,persistent_minus_scrambled_mean_entries_per_prompt,persistent_mean_memory_characters_per_prompt,scrambled_mean_memory_characters_per_prompt,persistent_minus_scrambled_mean_memory_characters_per_prompt,persistent_memory_characters_q05,scrambled_memory_characters_q05,persistent_minus_scrambled_memory_characters_q05,persistent_memory_characters_q50,scrambled_memory_characters_q50,persistent_minus_scrambled_memory_characters_q50,persistent_memory_characters_q95,scrambled_memory_characters_q95,persistent_minus_scrambled_memory_characters_q95,persistent_mean_prompt_tokens,scrambled_mean_prompt_tokens,persistent_minus_scrambled_mean_prompt_tokens,persistent_sd_prompt_tokens,scrambled_sd_prompt_tokens,persistent_minus_scrambled_sd_prompt_tokens,persistent_prompt_token_q05,scrambled_prompt_token_q05,persistent_minus_scrambled_prompt_token_q05,persistent_prompt_token_q50,scrambled_prompt_token_q50,persistent_minus_scrambled_prompt_token_q50,persistent_prompt_token_q95,scrambled_prompt_token_q95,persistent_minus_scrambled_prompt_token_q95,persistent_belief_amber_fraction_in_memory,scrambled_belief_amber_fraction_in_memory,persistent_minus_scrambled_belief_amber_fraction_in_memory,persistent_belief_cobalt_fraction_in_memory,scrambled_belief_cobalt_fraction_in_memory,persistent_minus_scrambled_belief_cobalt_fraction_in_memory,persistent_action_amber_fraction_in_memory,scrambled_action_amber_fraction_in_memory,persistent_minus_scrambled_action_amber_fraction_in_memory,persistent_action_cobalt_fraction_in_memory,scrambled_action_cobalt_fraction_in_memory,persistent_minus_scrambled_action_cobalt_fraction_in_memory,persistent_memory_stable_fraction,scrambled_memory_stable_fraction,persistent_minus_scrambled_memory_stable_fraction,persistent_memory_evidence_amber_fraction,scrambled_memory_evidence_amber_fraction,persistent_minus_scrambled_memory_evidence_amber_fraction,persistent_memory_evidence_cobalt_fraction,scrambled_memory_evidence_cobalt_fraction,persistent_minus_scrambled_memory_evidence_cobalt_fraction,persistent_memory_conflict_fraction,scrambled_memory_conflict_fraction,persistent_minus_scrambled_memory_conflict_fraction,persistent_memory_uncertain_fraction,scrambled_memory_uncertain_fraction,persistent_minus_scrambled_memory_uncertain_fraction,both_controls_fully_reconstructed,future_information_violations
granite,V15G_g0,2.8666666666666667,2.8666666666666667,0.0,149.74166666666667,144.72083333333333,5.020833333333343,95.0,95.95,-0.9500000000000028,150.0,151.0,-1.0,168.0,162.0,6.0,667.1652777777778,663.4388888888889,3.7263888888888914,46.09111934265982,49.38280138344934,-3.2916820407895173,613.95,613.0,0.9500000000000455,674.0,669.0,5.0,734.0,728.0,6.0,0.1380813953488372,0.4617248062015504,-0.3236434108527132,0.8619186046511628,0.5382751937984496,0.3236434108527132,0.19767441860465115,0.49612403100775193,-0.29844961240310075,0.8023255813953488,0.5038759689922481,0.29844961240310075,0.0,0.1690891472868217,-0.1690891472868217,0.0625,0.2010658914728682,-0.1385658914728682,0.40310077519379844,0.2189922480620155,0.18410852713178294,0.0,0.21027131782945738,-0.21027131782945738,0.5343992248062015,0.2005813953488372,0.33381782945736427,True,0
granite,V15G_g1,2.8666666666666667,2.8666666666666667,0.0,141.72916666666666,143.55694444444444,-1.8277777777777828,94.9,95.95,-1.0499999999999972,150.0,149.0,1.0,150.0,160.0,-10.0,664.5041666666667,660.725,3.779166666666697,44.15407949940186,43.667754802114345,0.4863246972875146,613.95,611.95,2.0,672.0,667.0,5.0,728.0,726.0,2.0,0.19040697674418605,0.5033914728682171,-0.312984496124031,0.809593023255814,0.49660852713178294,0.312984496124031,0.20930232558139536,0.5077519379844961,-0.29844961240310075,0.7906976744186046,0.49224806201550386,0.29844961240310075,0.0,0.20881782945736435,-0.20881782945736435,0.0,0.1826550387596899,-0.1826550387596899,0.0,0.1933139534883721,-0.1933139534883721,0.0,0.19767441860465115,-0.19767441860465115,1.0,0.21753875968992248,0.7824612403100775,True,0
granite,V15G_g2,2.8666666666666667,2.8666666666666667,0.0,142.94166666666666,144.0013888888889,-1.0597222222222342,95.0,93.0,2.0,150.0,150.0,0.0,150.04999999999995,162.0,-11.950000000000045,664.8277777777778,661.0041666666667,3.823611111111063,47.742859050606405,47.516441594840444,0.2264174557659615,614.0,612.0,2.0,673.0,667.0,6.0,749.7999999999993,744.149999999999,5.650000000000318,0.11482558139534883,0.4888565891472868,-0.374031007751938,0.8851744186046512,0.5111434108527132,0.374031007751938,0.16715116279069767,0.48643410852713176,-0.3192829457364341,0.8328488372093024,0.5135658914728682,0.3192829457364341,0.0,0.20300387596899225,-0.20300387596899225,0.0,0.20251937984496124,-0.20251937984496124,0.050872093023255814,0.1923449612403101,-0.14147286821705427,0.0,0.18943798449612403,-0.18943798449612403,0.9491279069767442,0.2126937984496124,0.7364341085271318,True,0
granite,V15G_g3,2.8666666666666667,2.8666666666666667,0.0,141.87083333333334,143.51666666666668,-1.6458333333333428,94.9,94.0,0.9000000000000057,150.0,149.0,1.0,150.0,161.0,-11.0,665.0472222222222,661.5986111111112,3.448611111111063,46.756410082353554,46.57751101275603,0.17889906959752722,612.0,613.0,-1.0,673.0,668.0,5.0,730.0,728.0,2.0,0.15261627906976744,0.5033914728682171,-0.3507751937984496,0.8473837209302325,0.49660852713178294,0.35077519379844957,0.19767441860465115,0.49127906976744184,-0.29360465116279066,0.8023255813953488,0.5087209302325582,0.29360465116279066,0.0,0.19670542635658914,-0.19670542635658914,0.0,0.187984496124031,-0.187984496124031,0.0,0.18023255813953487,-0.18023255813953487,0.0,0.2126937984496124,-0.2126937984496124,1.0,0.22238372093023256,0.7776162790697674,True,0
granite,V15G_g4,2.8666666666666667,2.8666666666666667,0.0,142.7375,144.46666666666667,-1.7291666666666572,95.0,94.95,0.04999999999999716,150.0,150.0,0.0,150.0,162.0,-12.0,666.3791666666667,662.9666666666667,3.4125000000000227,45.48996874703694,47.61197474461712,-2.1220059975801817,615.0,613.0,2.0,674.0,667.0,7.0,730.0,728.0,2.0,0.10174418604651163,0.48691860465116277,-0.3851744186046511,0.8982558139534884,0.5130813953488372,0.3851744186046512,0.16424418604651161,0.5174418604651163,-0.3531976744186047,0.8357558139534884,0.48255813953488375,0.35319767441860467,0.0,0.17781007751937986,-0.17781007751937986,0.0,0.21608527131782945,-0.21608527131782945,0.036337209302325583,0.20397286821705427,-0.16763565891472867,0.0,0.21124031007751937,-0.21124031007751937,0.9636627906976745,0.19089147286821706,0.7727713178294574,True,0
granite,V15G_g5,2.8666666666666667,2.8666666666666667,0.0,142.2375,143.70277777777778,-1.4652777777777715,95.0,93.0,2.0,150.0,150.0,0.0,150.0,160.0,-10.0,666.2694444444444,662.1986111111111,4.070833333333326,46.91945170428323,46.53101913946564,0.3884325648175917,615.0,613.0,2.0,673.0,667.0,6.0,730.0,728.0,2.0,0.10465116279069768,0.498546511627907,-0.3938953488372093,0.8953488372093024,0.501453488372093,0.39389534883720934,0.15261627906976744,0.5,-0.34738372093023256,0.8473837209302325,0.5,0.3473837209302325,0.0,0.187984496124031,-0.187984496124031,0.0,0.18071705426356588,-0.18071705426356588,0.005813953488372093,0.19525193798449614,-0.18943798449612403,0.0,0.2238372093023256,-0.2238372093023256,0.9941860465116279,0.21220930232558138,0.7819767441860466,True,0
qwen,V15Q_g0,2.8666666666666667,2.8666666666666667,0.0,155.46666666666667,144.07638888888889,11.390277777777783,96.9,93.0,3.9000000000000057,162.0,150.0,12.0,168.0,161.0,7.0,605.6833333333333,602.7222222222222,2.9611111111111086,44.70633276339717,44.08331416244052,0.6230186009566481,554.0,552.95,1.0499999999999545,609.0,608.0,1.0,672.0,667.0,5.0,0.49709302325581395,0.48352713178294576,0.013565891472868186,0.502906976744186,0.5164728682170543,-0.013565891472868241,0.4956395348837209,0.4941860465116279,0.0014534883720930258,0.5043604651162791,0.5058139534883721,-0.0014534883720930258,0.0,0.18507751937984496,-0.18507751937984496,0.4578488372093023,0.187984496124031,0.2698643410852713,0.5159883720930233,0.20155038759689922,0.31443798449612403,0.0,0.19718992248062014,-0.19718992248062014,0.02616279069767442,0.22819767441860464,-0.20203488372093023,True,0
qwen,V15Q_g1,2.8666666666666667,2.8666666666666667,0.0,155.5625,144.01944444444445,11.543055555555554,99.95,96.95,3.0,162.0,150.0,12.0,168.0,163.0,5.0,605.05,602.6625,2.387499999999932,43.07738290497213,42.72503195264644,0.35235095232569336,555.0,553.95,1.0499999999999545,609.0,608.0,1.0,669.0,665.0,4.0,0.5116279069767442,0.4733527131782946,0.038275193798449625,0.4883720930232558,0.5266472868217055,-0.03827519379844968,0.49127906976744184,0.5116279069767442,-0.02034883720930236,0.5087209302325582,0.4883720930232558,0.02034883720930236,0.0,0.19089147286821706,-0.19089147286821706,0.5101744186046512,0.18943798449612403,0.32073643410852715,0.4796511627906977,0.20445736434108527,0.27519379844961245,0.0,0.21705426356589147,-0.21705426356589147,0.010174418604651164,0.19815891472868216,-0.187984496124031,True,0
qwen,V15Q_g2,2.8666666666666667,2.8666666666666667,0.0,156.26666666666668,144.68055555555554,11.586111111111137,102.9,93.9,9.0,162.0,151.0,11.0,168.0,163.0,5.0,605.8736111111111,601.9430555555556,3.930555555555543,45.29872258560387,44.55252194647423,0.7462006391296399,556.0,554.0,2.0,610.0,607.0,3.0,673.0,666.0,7.0,0.501453488372093,0.48498062015503873,0.016472868217054293,0.498546511627907,0.5150193798449613,-0.016472868217054293,0.4941860465116279,0.5203488372093024,-0.026162790697674465,0.5058139534883721,0.4796511627906977,0.02616279069767441,0.0,0.1744186046511628,-0.1744186046511628,0.2543604651162791,0.2243217054263566,0.03003875968992248,0.7325581395348837,0.2063953488372093,0.5261627906976744,0.0,0.20155038759689922,-0.20155038759689922,0.01308139534883721,0.1933139534883721,-0.1802325581395349,True,0
qwen,V15Q_g3,2.8666666666666667,2.8666666666666667,0.0,154.80416666666667,143.73333333333332,11.070833333333354,99.9,94.95,4.950000000000003,161.0,150.0,11.0,168.0,162.04999999999995,5.9500000000000455,604.2736111111111,602.1902777777777,2.0833333333333712,45.705276727514516,45.31679452922455,0.3884821982899638,555.0,555.0,0.0,607.5,607.0,0.5,676.2499999999989,672.5499999999986,3.700000000000273,0.5087209302325582,0.4937015503875969,0.015019379844961267,0.49127906976744184,0.5062984496124031,-0.015019379844961267,0.498546511627907,0.4757751937984496,0.02277131782945735,0.501453488372093,0.5242248062015504,-0.022771317829457405,0.0,0.2131782945736434,-0.2131782945736434,0.7441860465116279,0.1875,0.5566860465116279,0.24127906976744187,0.19428294573643412,0.04699612403100775,0.0,0.19476744186046513,-0.19476744186046513,0.014534883720930232,0.21027131782945738,-0.19573643410852715,True,0
qwen,V15Q_g4,2.8666666666666667,2.8666666666666667,0.0,152.87083333333334,143.59722222222223,9.273611111111109,100.95,93.0,7.950000000000003,159.0,150.0,9.0,168.0,163.0,5.0,604.0236111111111,602.2416666666667,1.7819444444444343,43.92031282285834,43.630544448829106,0.2897683740292365,551.0,553.0,-2.0,607.0,607.0,0.0,670.0,667.0,3.0,0.501453488372093,0.49757751937984496,0.003875968992248069,0.498546511627907,0.502422480620155,-0.003875968992248069,0.4941860465116279,0.5348837209302325,-0.04069767441860461,0.5058139534883721,0.46511627906976744,0.04069767441860467,0.10610465116279069,0.21996124031007752,-0.11385658914728683,0.5101744186046512,0.20251937984496124,0.3076550387596899,0.375,0.18556201550387597,0.18943798449612403,0.0,0.1816860465116279,-0.1816860465116279,0.00872093023255814,0.21027131782945738,-0.20155038759689925,True,0
