phase,temporal_window,binder_cumulant,magnetization_second_moment,magnetization_fourth_moment,near_zero_denominator,window_updates,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
baseline,full_phase,0.05594891017631565,0.0095703125,0.0002593994140625,False,240,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,early_half,0.38925242910965685,0.016015625,0.000469970703125,False,120,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,late_half,-0.6666666666666665,0.003125,4.8828125e-05,False,120,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,full_phase,,0.0,0.0,True,240,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,early_half,,0.0,0.0,True,120,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,late_half,,0.0,0.0,True,120,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,full_phase,-7.0,0.0006510416666666666,1.0172526041666666e-05,False,240,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,early_half,-3.0,0.0013020833333333333,2.0345052083333332e-05,False,120,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,late_half,,0.0,0.0,True,120,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,full_phase,0.05594891017631565,0.0095703125,0.0002593994140625,False,240,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,early_half,0.38925242910965685,0.016015625,0.000469970703125,False,120,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,late_half,-0.6666666666666665,0.003125,4.8828125e-05,False,120,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,full_phase,-2.1039999999999996,0.006510416666666667,0.0003946940104166667,False,240,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,early_half,-1.0650519031141865,0.011067708333333334,0.0007588704427083333,False,120,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,late_half,-1.6666666666666665,0.001953125,3.0517578125e-05,False,120,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,full_phase,-10.875,0.0020833333333333333,0.00015462239583333333,False,240,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,early_half,-4.9375,0.004166666666666667,0.00030924479166666665,False,120,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
recovery,late_half,,0.0,0.0,True,120,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,full_phase,-2.1999999999999997,0.0016276041666666667,2.5431315104166668e-05,False,240,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,early_half,-0.5999999999999999,0.0032552083333333335,5.0862630208333336e-05,False,120,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,late_half,,0.0,0.0,True,120,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
disruption,full_phase,-7.775510204081632,0.0036458333333333334,0.00034993489583333334,False,240,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
disruption,early_half,-3.387755102040816,0.007291666666666667,0.0006998697916666667,False,120,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
disruption,late_half,,0.0,0.0,True,120,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
recovery,full_phase,-8.362962962962964,0.0029296875,0.0002410888671875,False,240,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
recovery,early_half,-3.681481481481482,0.005859375,0.000482177734375,False,120,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
recovery,late_half,,0.0,0.0,True,120,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,full_phase,-0.4814814814814814,0.003515625,5.4931640625e-05,False,240,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
baseline,early_half,-0.11111111111111094,0.0046875,7.32421875e-05,False,120,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
baseline,late_half,-1.2222222222222219,0.00234375,3.662109375e-05,False,120,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
disruption,full_phase,-4.1626666666666665,0.0048828125,0.0003692626953125,False,240,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
disruption,early_half,-3.387755102040816,0.007291666666666667,0.0006998697916666667,False,120,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
disruption,late_half,-1.1052631578947372,0.0024739583333333332,3.865559895833333e-05,False,120,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
recovery,full_phase,-4.139833711262282,0.0041015625,0.0002593994140625,False,240,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
recovery,early_half,-1.5699168556311411,0.008203125,0.000518798828125,False,120,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
recovery,late_half,,0.0,0.0,True,120,qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,16
baseline,full_phase,-0.23482483524106823,0.012109375,0.000543212890625,False,240,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
baseline,early_half,0.25388300188706625,0.021614583333333333,0.0010457356770833333,False,120,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
baseline,late_half,-1.0,0.0026041666666666665,4.0690104166666664e-05,False,120,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
disruption,full_phase,-5.666666666666666,0.00078125,1.220703125e-05,False,240,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
disruption,early_half,-2.333333333333333,0.0015625,2.44140625e-05,False,120,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
disruption,late_half,,0.0,0.0,True,120,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
recovery,full_phase,-2.076923076923077,0.0016927083333333334,2.6448567708333334e-05,False,240,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
recovery,early_half,-1.3529411764705888,0.0022135416666666666,3.4586588541666666e-05,False,120,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
recovery,late_half,-3.4444444444444438,0.001171875,1.8310546875e-05,False,120,qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,16
baseline,full_phase,-0.23482483524106823,0.012109375,0.000543212890625,False,240,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
baseline,early_half,0.25388300188706625,0.021614583333333333,0.0010457356770833333,False,120,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
baseline,late_half,-1.0,0.0026041666666666665,4.0690104166666664e-05,False,120,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
disruption,full_phase,-9.370370370370368,0.00234375,0.0001708984375,False,240,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
disruption,early_half,-4.185185185185184,0.0046875,0.000341796875,False,120,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
disruption,late_half,,0.0,0.0,True,120,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
recovery,full_phase,-3.279835390946502,0.0017578125,3.96728515625e-05,False,240,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
recovery,early_half,-2.4349030470914137,0.0024739583333333332,6.306966145833334e-05,False,120,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
recovery,late_half,-4.0,0.0010416666666666667,1.6276041666666666e-05,False,120,qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,16
baseline,full_phase,-0.11412965769681715,0.012174479166666667,0.0004954020182291667,False,240,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
baseline,early_half,0.40201616678630503,0.023307291666666667,0.0009745279947916667,False,120,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
baseline,late_half,-4.0,0.0010416666666666667,1.6276041666666666e-05,False,120,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
disruption,full_phase,-9.370370370370368,0.00234375,0.0001708984375,False,240,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
disruption,early_half,-4.185185185185184,0.0046875,0.000341796875,False,120,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
disruption,late_half,,0.0,0.0,True,120,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
recovery,full_phase,-12.333333333333332,0.00078125,2.44140625e-05,False,240,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
recovery,early_half,-5.666666666666666,0.0015625,4.8828125e-05,False,120,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
recovery,late_half,,0.0,0.0,True,120,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
baseline,full_phase,-2.395013850415513,0.006184895833333333,0.00038960774739583336,False,240,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
baseline,early_half,-0.6975069252077566,0.012369791666666666,0.0007792154947916667,False,120,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
baseline,late_half,,0.0,0.0,True,120,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
disruption,full_phase,-3.7058823529411775,0.004427083333333333,0.0002766927083333333,False,240,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
disruption,early_half,-1.3529411764705888,0.008854166666666666,0.0005533854166666667,False,120,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
