model_key,cluster_id,panel_id,condition,memory_mode,baseline_mean_distance,maximum_disruption_distance,maximum_post_quench_distance,early_recovery_mean_distance_sweeps_31_35,late_recovery_mean_distance_sweeps_41_45,fixed_early_minus_late_recovery_distance,recovery_time_sweeps,final_five_sweep_mean_distance,macrostate_path_length,energy_entropy_signed_loop_area,belief_action_signed_loop_area,training_nominal_threshold_95
granite,V15G_g0,V15G_g0_field_markovized,field_markovized,markovized,6.226950586666192,31.64906148062955,50.579485242440995,36.44517303069459,11.05209485993014,25.39307817076445,15.0,11.05209485993014,34.80382452257399,2.4698609175061677,0.140625,5.458678911092433
granite,V15G_g0,V15G_g0_field_persistent,field_persistent,persistent_memory,9.271430159427654,25.564752111560807,25.564752111560807,16.657698614383246,16.674884224806824,-0.017185610423577913,15.0,16.674884224806824,17.927255396195534,1.208754786826086,0.078125,5.458678911092433
granite,V15G_g0,V15G_g0_field_scrambled,field_scrambled,scrambled_memory,10.999876146294508,20.010368447318076,20.287674822789462,13.769677941136866,17.141060715408575,-3.3713827742717086,15.0,17.141060715408575,21.668749387064974,0.4574887334412594,-0.046875,5.458678911092433
granite,V15G_g0,V15G_g0_nominal_markovized,nominal_markovized,markovized,6.224493466438406,8.140104391286425,8.140104391286425,4.658855697520405,4.327102579699027,0.3317531178213784,1.0,4.327102579699027,9.268276691228888,0.5253578347192605,0.015625,5.458678911092433
granite,V15G_g1,V15G_g1_field_markovized,field_markovized,markovized,4.022816425782215,25.991447860661328,25.991447860661328,18.132034728389424,8.031852530920329,10.100182197469096,15.0,8.031852530920329,24.213497810598017,1.9090427732458473,0.171875,5.757765829513417
granite,V15G_g1,V15G_g1_field_persistent,field_persistent,persistent_memory,5.754451468941338,12.642994673564898,12.642994673564898,11.705529014966489,11.91873380962536,-0.21320479465887132,15.0,11.91873380962536,15.662970387576229,0.5795878667123215,0.1171875,5.757765829513417
granite,V15G_g1,V15G_g1_field_scrambled,field_scrambled,scrambled_memory,7.90485290988636,33.70231655226041,33.70231655226041,15.110662906637382,10.023101914835232,5.08756099180215,15.0,10.023101914835232,30.794521935862846,1.5886680293547641,-0.0078125,5.757765829513417
granite,V15G_g1,V15G_g1_nominal_markovized,nominal_markovized,markovized,4.018272697435406,3.2616615414419243,3.9299317350428944,3.2616615414419243,3.3541867833818566,-0.09252524193993228,1.0,3.3541867833818566,5.770783999835324,0.26097498787131634,0.0078125,5.757765829513417
granite,V15G_g2,V15G_g2_field_markovized,field_markovized,markovized,3.6390225570629866,18.058667671769175,54.95738009815352,51.705866109535826,8.373139748576573,43.332726360959256,15.0,8.373139748576573,39.40763043635666,1.4151145143670867,0.3203125,5.558147085650867
granite,V15G_g2,V15G_g2_field_persistent,field_persistent,persistent_memory,5.8575123622683085,26.754503886849022,26.754503886849022,17.062371112207344,17.10596297080552,-0.043591858598176714,15.0,17.10596297080552,18.703939692533737,2.284541381588765,0.2578125,5.558147085650867
