model_key,condition,phase,agent_i,agent_j,community_i,community_j,connected_correlation,between_cluster_sd,independent_clusters
granite,field_markovized,baseline,0,0,0,0,0.1640046296296296,0.2936639047283974,6
granite,field_markovized,baseline,0,1,0,0,0.003356481481481497,0.008221666960730614,6
granite,field_markovized,baseline,0,2,0,0,0.0,0.0,6
granite,field_markovized,baseline,0,3,0,0,-0.021354166666666664,0.052306812215682445,6
granite,field_markovized,baseline,0,4,0,0,0.0,0.0,6
granite,field_markovized,baseline,0,5,0,0,0.017534722222222205,0.04295112222588555,6
granite,field_markovized,baseline,0,6,0,0,-0.0024999999999999836,0.006123724356957906,6
granite,field_markovized,baseline,0,7,0,0,-0.008506944444444442,0.020837673159093004,6
granite,field_markovized,baseline,0,8,0,1,0.0,0.0,6
granite,field_markovized,baseline,0,9,0,1,0.0,0.0,6
granite,field_markovized,baseline,0,10,0,1,0.03385416666666665,0.08292543400047213,6
granite,field_markovized,baseline,0,11,0,1,0.0,0.0,6
granite,field_markovized,baseline,0,12,0,1,0.03910879629629629,0.08823544996720785,6
granite,field_markovized,baseline,0,13,0,1,-0.0919097222222222,0.16605724083519,6
granite,field_markovized,baseline,0,14,0,1,0.026041666666666685,0.06378879538497864,6
granite,field_markovized,baseline,0,15,0,1,0.08861111111111113,0.2170520077632872,6
granite,field_markovized,baseline,1,0,0,0,0.003356481481481497,0.008221666960730614,6
granite,field_markovized,baseline,1,1,0,0,0.019108796296296287,0.03334636367614628,6
granite,field_markovized,baseline,1,2,0,0,0.0,0.0,6
granite,field_markovized,baseline,1,3,0,0,0.0,0.0,6
granite,field_markovized,baseline,1,4,0,0,0.003981481481481484,0.009752598049970067,6
granite,field_markovized,baseline,1,5,0,0,0.0,0.0,6
granite,field_markovized,baseline,1,6,0,0,0.0,0.0,6
granite,field_markovized,baseline,1,7,0,0,-0.002731481481481481,0.006690735871491087,6
granite,field_markovized,baseline,1,8,0,1,-0.005439814814814814,0.01332477059152886,6
granite,field_markovized,baseline,1,9,0,1,-0.005486111111111136,0.013438172894435552,6
granite,field_markovized,baseline,1,10,0,1,0.0,0.0,6
granite,field_markovized,baseline,1,11,0,1,0.0,0.0,6
granite,field_markovized,baseline,1,12,0,1,-0.0027546296296296346,0.006747437022944415,6
granite,field_markovized,baseline,1,13,0,1,-0.007986111111111116,0.019561897251393446,6
granite,field_markovized,baseline,1,14,0,1,0.0,0.0,6
granite,field_markovized,baseline,1,15,0,1,0.006250000000000001,0.015309310892394866,6
granite,field_markovized,baseline,2,0,0,0,0.0,0.0,6
granite,field_markovized,baseline,2,1,0,0,0.0,0.0,6
granite,field_markovized,baseline,2,2,0,0,0.0,0.0,6
granite,field_markovized,baseline,2,3,0,0,0.0,0.0,6
granite,field_markovized,baseline,2,4,0,0,0.0,0.0,6
granite,field_markovized,baseline,2,5,0,0,0.0,0.0,6
granite,field_markovized,baseline,2,6,0,0,0.0,0.0,6
granite,field_markovized,baseline,2,7,0,0,0.0,0.0,6
granite,field_markovized,baseline,2,8,0,1,0.0,0.0,6
granite,field_markovized,baseline,2,9,0,1,0.0,0.0,6
granite,field_markovized,baseline,2,10,0,1,0.0,0.0,6
granite,field_markovized,baseline,2,11,0,1,0.0,0.0,6
granite,field_markovized,baseline,2,12,0,1,0.0,0.0,6
granite,field_markovized,baseline,2,13,0,1,0.0,0.0,6
granite,field_markovized,baseline,2,14,0,1,0.0,0.0,6
granite,field_markovized,baseline,2,15,0,1,0.0,0.0,6
granite,field_markovized,baseline,3,0,0,0,-0.021354166666666664,0.052306812215682445,6
granite,field_markovized,baseline,3,1,0,0,0.0,0.0,6
granite,field_markovized,baseline,3,2,0,0,0.0,0.0,6
granite,field_markovized,baseline,3,3,0,0,0.3054398148148148,0.47609205334821214,6
granite,field_markovized,baseline,3,4,0,0,0.0,0.0,6
granite,field_markovized,baseline,3,5,0,0,-0.06121527777777778,0.14994619501828968,6
granite,field_markovized,baseline,3,6,0,0,0.0,0.0,6
granite,field_markovized,baseline,3,7,0,0,0.06635416666666667,0.1625338506409255,6
granite,field_markovized,baseline,3,8,0,1,0.0,0.0,6
granite,field_markovized,baseline,3,9,0,1,0.0,0.0,6
granite,field_markovized,baseline,3,10,0,1,-0.018506944444444444,0.04533257058692479,6
granite,field_markovized,baseline,3,11,0,1,0.0,0.0,6
granite,field_markovized,baseline,3,12,0,1,-0.019930555555555556,0.04881969140130362,6
granite,field_markovized,baseline,3,13,0,1,0.0128125,0.03138408732940947,6
granite,field_markovized,baseline,3,14,0,1,-0.05140046296296297,0.09073782798376835,6
granite,field_markovized,baseline,3,15,0,1,0.0,0.0,6
granite,field_markovized,baseline,4,0,0,0,0.0,0.0,6
granite,field_markovized,baseline,4,1,0,0,0.003981481481481484,0.009752598049970067,6
granite,field_markovized,baseline,4,2,0,0,0.0,0.0,6
granite,field_markovized,baseline,4,3,0,0,0.0,0.0,6
granite,field_markovized,baseline,4,4,0,0,0.13537037037037036,0.33158833369898205,6
granite,field_markovized,baseline,4,5,0,0,0.0,0.0,6
granite,field_markovized,baseline,4,6,0,0,0.0,0.0,6
granite,field_markovized,baseline,4,7,0,0,-0.09287037037037038,0.22748501963069703,6
granite,field_markovized,baseline,4,8,0,1,-0.009953703703703696,0.024381495124925132,6
granite,field_markovized,baseline,4,9,0,1,-0.005972222222222222,0.014628897074955089,6
granite,field_markovized,baseline,4,10,0,1,0.0,0.0,6
granite,field_markovized,baseline,4,11,0,1,0.0,0.0,6
granite,field_markovized,baseline,4,12,0,1,-0.0019907407407407374,0.0048762990249850225,6
granite,field_markovized,baseline,4,13,0,1,0.0,0.0,6
granite,field_markovized,baseline,4,14,0,1,0.0,0.0,6
granite,field_markovized,baseline,4,15,0,1,0.0,0.0,6
granite,field_markovized,baseline,5,0,0,0,0.017534722222222205,0.04295112222588555,6
granite,field_markovized,baseline,5,1,0,0,0.0,0.0,6
granite,field_markovized,baseline,5,2,0,0,0.0,0.0,6
granite,field_markovized,baseline,5,3,0,0,-0.06121527777777778,0.14994619501828968,6
granite,field_markovized,baseline,5,4,0,0,0.0,0.0,6
granite,field_markovized,baseline,5,5,0,0,0.09804398148148147,0.24015772698051271,6
granite,field_markovized,baseline,5,6,0,0,0.0,0.0,6
granite,field_markovized,baseline,5,7,0,0,-0.024386574074074085,0.059734663056066645,6
granite,field_markovized,baseline,5,8,0,1,0.0,0.0,6
granite,field_markovized,baseline,5,9,0,1,0.0,0.0,6
granite,field_markovized,baseline,5,10,0,1,0.01297453703703703,0.03178099538958265,6
granite,field_markovized,baseline,5,11,0,1,0.0,0.0,6
granite,field_markovized,baseline,5,12,0,1,0.015254629629629627,0.037366058807734116,6
granite,field_markovized,baseline,5,13,0,1,-0.0038541666666666585,0.009440741716976812,6
granite,field_markovized,baseline,5,14,0,1,0.006134259259259256,0.015025805135128283,6
granite,field_markovized,baseline,5,15,0,1,0.0,0.0,6
granite,field_markovized,baseline,6,0,0,0,-0.0024999999999999836,0.006123724356957906,6
granite,field_markovized,baseline,6,1,0,0,0.0,0.0,6
granite,field_markovized,baseline,6,2,0,0,0.0,0.0,6
