model_key,condition,phase,temporal_window,pooling_rule,estimate,ci_low,ci_high,independent_clusters,clusters_total,undefined_clusters,bootstrap_replicates,valid_bootstrap_replicates
granite,field_markovized,baseline,early_half,mean_of_cluster_cumulants,0.5099923373034452,0.3941309789188168,0.5880225148206796,6.0,6.0,0.0,10000.0,
granite,field_markovized,baseline,early_half,pooled_moments_across_clusters,0.1587074529355288,-0.07364255354762328,0.5088471906942829,6.0,6.0,0.0,10000.0,10000.0
granite,field_markovized,baseline,full_phase,mean_of_cluster_cumulants,0.3643715084958202,-0.009023077715932526,0.5920469965996537,6.0,6.0,0.0,10000.0,
granite,field_markovized,baseline,full_phase,pooled_moments_across_clusters,0.2709678460743802,-0.0682702891352791,0.5078604831092058,6.0,6.0,0.0,10000.0,10000.0
granite,field_markovized,baseline,late_half,mean_of_cluster_cumulants,0.6154934697292134,0.5526862577649898,0.6660364257864659,5.0,6.0,1.0,10000.0,
granite,field_markovized,baseline,late_half,pooled_moments_across_clusters,0.41665944794623155,-0.0027540427935881517,0.5897562872247617,6.0,6.0,0.0,10000.0,9999.0
granite,field_markovized,disruption,early_half,mean_of_cluster_cumulants,0.6138059356227896,0.5905617562699988,0.6352200869658295,6.0,6.0,0.0,10000.0,
granite,field_markovized,disruption,early_half,pooled_moments_across_clusters,0.4930122973969703,0.3560032846482737,0.5955242605130393,6.0,6.0,0.0,10000.0,10000.0
granite,field_markovized,disruption,full_phase,mean_of_cluster_cumulants,0.530800638467528,0.4532845659868043,0.6093964456978241,6.0,6.0,0.0,10000.0,
granite,field_markovized,disruption,full_phase,pooled_moments_across_clusters,0.4488359937401116,0.21764161485085476,0.5888705363394475,6.0,6.0,0.0,10000.0,10000.0
granite,field_markovized,disruption,late_half,mean_of_cluster_cumulants,0.48554582207696817,0.21927482438132836,0.660773093127335,6.0,6.0,0.0,10000.0,
granite,field_markovized,disruption,late_half,pooled_moments_across_clusters,0.4912514209682809,0.17165402604645763,0.6386046128037082,6.0,6.0,0.0,10000.0,10000.0
granite,field_markovized,recovery,early_half,mean_of_cluster_cumulants,0.5929002843899578,0.5489328624996928,0.6293909530129593,6.0,6.0,0.0,10000.0,
granite,field_markovized,recovery,early_half,pooled_moments_across_clusters,0.5059329454587543,0.40339381950197906,0.602782128320484,6.0,6.0,0.0,10000.0,10000.0
granite,field_markovized,recovery,full_phase,mean_of_cluster_cumulants,0.4956574047524787,0.33220863055195365,0.6012384142643089,6.0,6.0,0.0,10000.0,
granite,field_markovized,recovery,full_phase,pooled_moments_across_clusters,0.4360059368251007,0.2952302244241434,0.5607941429487571,6.0,6.0,0.0,10000.0,10000.0
granite,field_markovized,recovery,late_half,mean_of_cluster_cumulants,0.6225657347838638,0.5881337490313089,0.6523663259580669,6.0,6.0,0.0,10000.0,
granite,field_markovized,recovery,late_half,pooled_moments_across_clusters,0.4188203705164327,0.16706729353800176,0.5987049776652491,6.0,6.0,0.0,10000.0,10000.0
granite,field_persistent,baseline,early_half,mean_of_cluster_cumulants,0.33260166669642593,0.12054096505250415,0.5355782885240638,6.0,6.0,0.0,10000.0,
granite,field_persistent,baseline,early_half,pooled_moments_across_clusters,0.19986881531283085,-0.20000865650969546,0.5036012520169058,6.0,6.0,0.0,10000.0,10000.0
granite,field_persistent,baseline,full_phase,mean_of_cluster_cumulants,0.5263793226190017,0.4640078717383313,0.5912127438099467,6.0,6.0,0.0,10000.0,
granite,field_persistent,baseline,full_phase,pooled_moments_across_clusters,0.42924076359023455,0.2961348993143509,0.5545245600435151,6.0,6.0,0.0,10000.0,10000.0
granite,field_persistent,baseline,late_half,mean_of_cluster_cumulants,0.6568918742543844,0.6422543329633582,0.6657486524021374,6.0,6.0,0.0,10000.0,
granite,field_persistent,baseline,late_half,pooled_moments_across_clusters,0.5729308245271196,0.48559670781893005,0.6495078206231781,6.0,6.0,0.0,10000.0,10000.0
granite,field_persistent,disruption,early_half,mean_of_cluster_cumulants,0.6303688461282565,0.594450123690749,0.6541563577189082,6.0,6.0,0.0,10000.0,
granite,field_persistent,disruption,early_half,pooled_moments_across_clusters,0.6193873688863382,0.5924195575729556,0.6402780657467138,6.0,6.0,0.0,10000.0,10000.0
granite,field_persistent,disruption,full_phase,mean_of_cluster_cumulants,0.6477530601875309,0.6315955566696938,0.6573189256345486,6.0,6.0,0.0,10000.0,
granite,field_persistent,disruption,full_phase,pooled_moments_across_clusters,0.6344686208119205,0.6218376333246809,0.6491902329062,6.0,6.0,0.0,10000.0,10000.0
granite,field_persistent,disruption,late_half,mean_of_cluster_cumulants,0.665478413684745,0.6631019077209014,0.6666666666666669,6.0,6.0,0.0,10000.0,
granite,field_persistent,disruption,late_half,pooled_moments_across_clusters,0.6512204745477929,0.6413076090286387,0.6639125740850904,6.0,6.0,0.0,10000.0,10000.0
granite,field_persistent,recovery,early_half,mean_of_cluster_cumulants,0.6662091216605597,0.6652940316483456,0.6666666666666669,6.0,6.0,0.0,10000.0,
granite,field_persistent,recovery,early_half,pooled_moments_across_clusters,0.6599445872189842,0.6586509362271893,0.6652451631028142,6.0,6.0,0.0,10000.0,10000.0
granite,field_persistent,recovery,full_phase,mean_of_cluster_cumulants,0.6654335227791959,0.6634410695255382,0.6666666666666669,6.0,6.0,0.0,10000.0,
granite,field_persistent,recovery,full_phase,pooled_moments_across_clusters,0.6607014507763815,0.6595201258008033,0.6650516471438339,6.0,6.0,0.0,10000.0,10000.0
granite,field_persistent,recovery,late_half,mean_of_cluster_cumulants,0.6663342347524862,0.6656693709241249,0.6666666666666669,6.0,6.0,0.0,10000.0,
granite,field_persistent,recovery,late_half,pooled_moments_across_clusters,0.6616982684063366,0.6607061551480207,0.666314347297357,6.0,6.0,0.0,10000.0,10000.0
granite,field_scrambled,baseline,early_half,mean_of_cluster_cumulants,0.26915412752133766,0.06773711778750686,0.47139383972996035,6.0,6.0,0.0,10000.0,
granite,field_scrambled,baseline,early_half,pooled_moments_across_clusters,0.0791691803309198,-0.5062967062370509,0.47563315232715153,6.0,6.0,0.0,10000.0,10000.0
granite,field_scrambled,baseline,full_phase,mean_of_cluster_cumulants,0.3086246824444175,0.06634388663223673,0.5093874408303009,6.0,6.0,0.0,10000.0,
granite,field_scrambled,baseline,full_phase,pooled_moments_across_clusters,0.3339523919586642,0.018410340892656918,0.5281038585443871,6.0,6.0,0.0,10000.0,10000.0
granite,field_scrambled,baseline,late_half,mean_of_cluster_cumulants,0.44657696827347776,0.1723704152823036,0.6013460373754663,6.0,6.0,0.0,10000.0,
granite,field_scrambled,baseline,late_half,pooled_moments_across_clusters,0.4795200123134483,0.295976191952384,0.5850949376540315,6.0,6.0,0.0,10000.0,10000.0
granite,field_scrambled,disruption,early_half,mean_of_cluster_cumulants,0.6132742793340918,0.5904710198867962,0.6346883826388664,6.0,6.0,0.0,10000.0,
granite,field_scrambled,disruption,early_half,pooled_moments_across_clusters,0.5832805939412167,0.5418345591355973,0.6205752876405273,6.0,6.0,0.0,10000.0,10000.0
granite,field_scrambled,disruption,full_phase,mean_of_cluster_cumulants,0.6088276364366568,0.5908793785378469,0.6238075412436108,6.0,6.0,0.0,10000.0,
granite,field_scrambled,disruption,full_phase,pooled_moments_across_clusters,0.5848819903526721,0.5695791482987156,0.6091573306765175,6.0,6.0,0.0,10000.0,10000.0
granite,field_scrambled,disruption,late_half,mean_of_cluster_cumulants,0.6395035345717305,0.6248989679929657,0.6521993183212289,6.0,6.0,0.0,10000.0,
granite,field_scrambled,disruption,late_half,pooled_moments_across_clusters,0.6017112733713786,0.5605736598426024,0.6391000770630841,6.0,6.0,0.0,10000.0,10000.0
granite,field_scrambled,recovery,early_half,mean_of_cluster_cumulants,0.6227578429033712,0.5946323280010116,0.643429417703948,6.0,6.0,0.0,10000.0,
granite,field_scrambled,recovery,early_half,pooled_moments_across_clusters,0.6167328559618229,0.5904434973757051,0.6431246143383602,6.0,6.0,0.0,10000.0,10000.0
granite,field_scrambled,recovery,full_phase,mean_of_cluster_cumulants,0.6116698822661717,0.5901067556800855,0.6319197274515574,6.0,6.0,0.0,10000.0,
granite,field_scrambled,recovery,full_phase,pooled_moments_across_clusters,0.603344032085504,0.5844713289281124,0.6257358550683316,6.0,6.0,0.0,10000.0,10000.0
granite,field_scrambled,recovery,late_half,mean_of_cluster_cumulants,0.6342927121444033,0.620423399329594,0.6452057901776144,6.0,6.0,0.0,10000.0,
granite,field_scrambled,recovery,late_half,pooled_moments_across_clusters,0.5897130381841167,0.5703987694603446,0.6277667284188118,6.0,6.0,0.0,10000.0,10000.0
granite,nominal_markovized,baseline,early_half,mean_of_cluster_cumulants,0.5099923373034452,0.3909801600068296,0.5880225148206796,6.0,6.0,0.0,10000.0,
granite,nominal_markovized,baseline,early_half,pooled_moments_across_clusters,0.1587074529355288,-0.07364255354762328,0.5088471906942829,6.0,6.0,0.0,10000.0,10000.0
granite,nominal_markovized,baseline,full_phase,mean_of_cluster_cumulants,0.3643715084958202,-0.009023077715932526,0.5909328610354573,6.0,6.0,0.0,10000.0,
