model_key,condition,phase,lag_truncation_sweeps,lag_truncation_updates,is_primary,metric,estimate,ci_low,ci_high,independent_clusters,clusters_total,undefined_clusters,bootstrap_replicates
granite,nominal_markovized,recovery,3,48,False,integrated_autocorrelation_time_updates,17.84009914434103,8.918405634564797,30.774158679234134,4.0,6.0,2.0,10000.0
qwen,field_markovized,baseline,1,16,False,integrated_autocorrelation_time_updates,10.26185423791298,8.853740131041372,11.650279340359946,6.0,6.0,0.0,10000.0
qwen,field_markovized,baseline,2,32,True,integrated_autocorrelation_time_updates,13.358653501885831,9.13730513247773,17.417040140599614,6.0,6.0,0.0,10000.0
qwen,field_markovized,baseline,3,48,False,integrated_autocorrelation_time_updates,14.172610186389754,8.728662745103838,20.2195266574081,6.0,6.0,0.0,10000.0
qwen,field_markovized,disruption,1,16,False,integrated_autocorrelation_time_updates,4.247659631848934,2.459576843123148,5.64374683692661,6.0,6.0,0.0,10000.0
qwen,field_markovized,disruption,2,32,True,integrated_autocorrelation_time_updates,3.8787486843509726,2.2213134563269663,5.193092075755728,6.0,6.0,0.0,10000.0
qwen,field_markovized,disruption,3,48,False,integrated_autocorrelation_time_updates,3.283547716357688,1.9307976538672305,4.2499032358781905,6.0,6.0,0.0,10000.0
qwen,field_markovized,recovery,1,16,False,integrated_autocorrelation_time_updates,4.385341866195524,3.0752422247339246,6.205300200926129,6.0,6.0,0.0,10000.0
qwen,field_markovized,recovery,2,32,True,integrated_autocorrelation_time_updates,4.56857219980953,2.688738920318617,7.273999372468983,6.0,6.0,0.0,10000.0
qwen,field_markovized,recovery,3,48,False,integrated_autocorrelation_time_updates,4.427507993408354,1.9032722635268504,8.30647229582105,6.0,6.0,0.0,10000.0
qwen,field_persistent,baseline,1,16,False,integrated_autocorrelation_time_updates,8.292786519500448,6.04123994252431,10.403417637358688,6.0,6.0,0.0,10000.0
qwen,field_persistent,baseline,2,32,True,integrated_autocorrelation_time_updates,10.028999584302603,4.086573627545989,16.35939204095376,6.0,6.0,0.0,10000.0
qwen,field_persistent,baseline,3,48,False,integrated_autocorrelation_time_updates,9.550432290854628,0.8276360971690032,18.339267884488375,6.0,6.0,0.0,10000.0
qwen,field_persistent,disruption,1,16,False,integrated_autocorrelation_time_updates,3.770620726176217,2.112822869501334,5.124180840074184,6.0,6.0,0.0,10000.0
qwen,field_persistent,disruption,2,32,True,integrated_autocorrelation_time_updates,3.7094369316616036,2.132328841507657,5.026256182035318,6.0,6.0,0.0,10000.0
qwen,field_persistent,disruption,3,48,False,integrated_autocorrelation_time_updates,3.6003283194916094,2.013380691697672,4.8820957840816765,6.0,6.0,0.0,10000.0
qwen,field_persistent,recovery,1,16,False,integrated_autocorrelation_time_updates,2.1194736776022434,0.6732812500853876,4.058585440608209,6.0,6.0,0.0,10000.0
qwen,field_persistent,recovery,2,32,True,integrated_autocorrelation_time_updates,2.0986189713064776,0.6402603812773833,4.034417445673412,6.0,6.0,0.0,10000.0
qwen,field_persistent,recovery,3,48,False,integrated_autocorrelation_time_updates,2.035876752164986,0.6414390949445447,3.988975168598776,6.0,6.0,0.0,10000.0
qwen,field_scrambled,baseline,1,16,False,integrated_autocorrelation_time_updates,7.982657817187906,6.194463485439698,10.213657914270453,6.0,6.0,0.0,10000.0
qwen,field_scrambled,baseline,2,32,True,integrated_autocorrelation_time_updates,9.414846160617584,4.856839236532049,14.412588088896918,6.0,6.0,0.0,10000.0
qwen,field_scrambled,baseline,3,48,False,integrated_autocorrelation_time_updates,8.448770461333316,3.734395963235023,13.609767158890802,6.0,6.0,0.0,10000.0
qwen,field_scrambled,disruption,1,16,False,integrated_autocorrelation_time_updates,5.267902518257171,2.589148868502492,8.196516612121632,6.0,6.0,0.0,10000.0
qwen,field_scrambled,disruption,2,32,True,integrated_autocorrelation_time_updates,5.834211790352755,2.0861208537891334,11.210447997457438,6.0,6.0,0.0,10000.0
qwen,field_scrambled,disruption,3,48,False,integrated_autocorrelation_time_updates,5.773276334844726,1.6092669221537574,11.621584068724578,6.0,6.0,0.0,10000.0
qwen,field_scrambled,recovery,1,16,False,integrated_autocorrelation_time_updates,3.817019229723582,1.214988214146885,6.9485275818355134,6.0,6.0,0.0,10000.0
qwen,field_scrambled,recovery,2,32,True,integrated_autocorrelation_time_updates,4.43800230581321,1.013874648371381,9.40489862038262,6.0,6.0,0.0,10000.0
qwen,field_scrambled,recovery,3,48,False,integrated_autocorrelation_time_updates,4.48566779904369,0.9046269324431163,9.760334401899046,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,baseline,1,16,False,integrated_autocorrelation_time_updates,10.26185423791298,8.853740131041372,11.675239871526545,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,baseline,2,32,True,integrated_autocorrelation_time_updates,13.358653501885831,9.094963791031658,17.423254355549904,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,baseline,3,48,False,integrated_autocorrelation_time_updates,14.172610186389754,8.478355922270387,20.283140258616893,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,disruption,1,16,False,integrated_autocorrelation_time_updates,5.866953014688388,5.492062520388339,6.2418435089884365,2.0,6.0,4.0,10000.0
qwen,nominal_markovized,disruption,2,32,True,integrated_autocorrelation_time_updates,5.9152132269676345,4.457621911020374,7.372804542914895,2.0,6.0,4.0,10000.0
qwen,nominal_markovized,disruption,3,48,False,integrated_autocorrelation_time_updates,6.762792608376628,3.272526435132146,10.25305878162111,2.0,6.0,4.0,10000.0
qwen,nominal_markovized,recovery,1,16,False,integrated_autocorrelation_time_updates,7.1380635175475815,5.71475206967619,8.603090591236246,5.0,6.0,1.0,10000.0
qwen,nominal_markovized,recovery,2,32,True,integrated_autocorrelation_time_updates,6.788538034279378,5.221973362791507,8.843570654092975,5.0,6.0,1.0,10000.0
qwen,nominal_markovized,recovery,3,48,False,integrated_autocorrelation_time_updates,7.331179055528078,4.9734658869344965,9.688892224121657,5.0,6.0,1.0,10000.0
