model_key,cluster_id,panel_id,condition,memory_mode,updates,total_displayed_memory_entries,mean_entries_per_prompt,mean_memory_characters_per_prompt,sd_memory_characters_per_prompt,memory_characters_q05,memory_characters_q50,memory_characters_q95,mean_prompt_tokens,sd_prompt_tokens,prompt_token_q05,prompt_token_q50,prompt_token_q95,belief_amber_fraction_in_memory,belief_cobalt_fraction_in_memory,action_amber_fraction_in_memory,action_cobalt_fraction_in_memory,memory_stable_fraction,memory_evidence_amber_fraction,memory_evidence_cobalt_fraction,memory_conflict_fraction,memory_uncertain_fraction,digest_matches,entry_count_matches,character_count_matches,future_information_violations,all_entries_reconstructed,donor_agent_state_used_by_construction,peer_private_state_used_by_construction
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,550.0361111111112,41.78341834787164,502.0,553.0,610.0,,,,,,,,,,720,720,720,0,True,False,False
qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,550.2680555555555,42.07522347118194,502.0,554.0,610.0,,,,,,,,,,720,720,720,0,True,False,False
qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,720,2064,2.8666666666666667,155.46666666666667,30.377119711176515,96.9,162.0,168.0,605.6833333333333,44.70633276339717,554.0,609.0,672.0,0.49709302325581395,0.502906976744186,0.4956395348837209,0.5043604651162791,0.0,0.4578488372093023,0.5159883720930233,0.0,0.02616279069767442,720,720,720,0,True,False,False
qwen,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,scrambled_memory,720,2064,2.8666666666666667,144.07638888888889,28.007717956053774,93.0,150.0,161.0,602.7222222222222,44.08331416244052,552.95,608.0,667.0,0.48352713178294576,0.5164728682170543,0.4941860465116279,0.5058139534883721,0.18507751937984496,0.187984496124031,0.20155038759689922,0.19718992248062014,0.22819767441860464,720,720,720,0,True,False,False
qwen,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,549.4722222222222,40.400592203698196,502.0,553.0,606.0,,,,,,,,,,720,720,720,0,True,False,False
qwen,V15Q_g1,V15Q_g1_field_markovized,field_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,550.05,40.73729739643399,502.0,553.5,608.0,,,,,,,,,,720,720,720,0,True,False,False
qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,720,2064,2.8666666666666667,155.5625,30.139296162272316,99.95,162.0,168.0,605.05,43.07738290497213,555.0,609.0,669.0,0.5116279069767442,0.4883720930232558,0.49127906976744184,0.5087209302325582,0.0,0.5101744186046512,0.4796511627906977,0.0,0.010174418604651164,720,720,720,0,True,False,False
qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,720,2064,2.8666666666666667,144.01944444444445,28.07147958892147,96.95,150.0,163.0,602.6625,42.72503195264644,553.95,608.0,665.0,0.4733527131782946,0.5266472868217055,0.5116279069767442,0.4883720930232558,0.19089147286821706,0.18943798449612403,0.20445736434108527,0.21705426356589147,0.19815891472868216,720,720,720,0,True,False,False
qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,549.6444444444444,42.91112168291481,502.0,553.0,610.0,,,,,,,,,,720,720,720,0,True,False,False
qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,549.6,43.04128108697264,502.0,553.0,610.05,,,,,,,,,,720,720,720,0,True,False,False
