actionable_opportunities,agent_count,allocation_inequality_gini,application,autonomous_action_coverage,autonomous_beneficial_actions,autonomous_harmful_actions,autonomous_neutral_actions,baseline_calibration_sketch_messages,beneficial_actions,commitment_failures,completed_at,complexity,conservation_feasible,controller,coupling,critical_shortage_exposure,cross_community_messages,decision_epochs,delivery_completion,distributed_estimation_mae,dropped_messages,eligible_operational_proposals,environment_seed,event_count,fragmentation,harmful_actions,horizon,information_actions,information_condition,maximum_cascade_depth,maximum_conservation_residual,net_causal_utility,network_disruption,neutral_actions,operational_bytes,operational_communication_policy,operational_messages,operational_node_count,operator_escalations,operator_executed_actions,operator_minutes,physical_actions,post_disruption_sketch_messages,privacy_boundary_pass,resource_waste,run_id,service_loss,service_reaching_actions,sketch_bytes,sketch_messages,sketch_policy,started_at,stochastic_tape_digest,time_to_first_critical_delivery,topology_family,total_bytes,total_messages,weighted_unmet_critical_need,belief_consensus_recovery,cascaded_failures,crew_travel,crew_utilization,repeated_work_orders,restoration_time_mean,unsafe_switching_or_isolation,unserved_critical_load_auc
639,52,0.4172716237562732,humanitarian,0.5743348982785602,143,214,0,318,143,0,2026-08-16T17:29:38.018128+00:00,large,True,always_act,high,64992.031512882764,8168,20,186.84182739244704,0.04016142818214321,10443,639,787043,172066,high,214,100,1039,private_fragmented,3,2.5579538487363607e-13,585.5778241924024,high,0,244340,agent_event_triggered,1039,30,0,0,0.0,367,36962,True,8.870177701612079,v7-development_formal_reference-humanitarian-large-high-high-high-modular-private_fragmented-787043-always_act-event_triggered-agent_event_triggered,137329.7044377227,108,18425102,53472,event_triggered,2026-08-16T17:17:54.518767+00:00,5aa34b129c3c8f6d6d6f1c6b2f0f6e3c231073111ad6cc2e1f86acdba6c18c8a,12,modular,18669442,54511,3151.3354415697686,,,,,,,,
687,52,0.4174082423631436,humanitarian,0.5880640465793304,160,239,0,486,160,0,2026-08-16T17:03:07.923040+00:00,large,True,always_act,high,72558.37181310415,70914,20,180.95250207571922,0.03942033365339157,17540,687,787041,286983,high,239,100,1040,private_fragmented,3,5.115907697472721e-13,734.7142763223463,high,0,243868,agent_event_triggered,1040,30,0,0,0.0,404,76531,True,10.695972424994618,v7-development_formal_reference-humanitarian-large-high-high-high-random_geometric-private_fragmented-787041-always_act-event_triggered-agent_event_triggered,137667.6537514679,105,32320500,94118,event_triggered,2026-08-16T16:43:37.551422+00:00,e2cec0e355039741be40a3a742770d94b73a6c7079396f44c26e39770c5bc7ed,12,random_geometric,32564368,95158,3449.0698485488456,,,,,,,,
667,52,0.4175673179658095,humanitarian,0.6026986506746627,156,240,0,588,156,0,2026-08-16T18:05:19.606308+00:00,large,True,always_act,high,57892.7104762849,133999,20,183.420682773474,0.035841976516363915,33856,667,787044,517763,high,240,100,1040,private_fragmented,3,4.831690603168681e-13,684.9995568993993,high,0,244576,agent_event_triggered,1040,30,0,0,0.0,402,131675,True,8.225438889078312,v7-development_formal_reference-humanitarian-large-high-high-high-random_geometric-private_fragmented-787044-always_act-event_triggered-agent_event_triggered,129085.65484753653,113,60543861,176485,event_triggered,2026-08-16T17:29:51.302258+00:00,2a01923c962b9d3eece9885fcee5bc0f196c73e33cdae569da8b3ca070857a04,12,random_geometric,60788437,177525,3395.827366305483,,,,,,,,
679,52,0.4183198803405657,humanitarian,0.593519882179676,168,226,0,312,168,0,2026-08-16T17:17:39.743180+00:00,large,True,always_act,high,79020.17888887484,20734,20,177.66062055330858,0.039782260410497906,9413,679,787042,193597,high,226,100,1040,private_fragmented,3,1.4210854715202004e-13,731.4211141417109,high,0,244537,agent_event_triggered,1040,30,0,0,0.0,403,44988,True,7.479965479406181,v7-development_formal_reference-humanitarian-large-high-high-high-small_world-private_fragmented-787042-always_act-event_triggered-agent_event_triggered,139767.06671342105,114,20700844,60283,event_triggered,2026-08-16T17:03:28.455162+00:00,e45e8ab43a1f27d37ce7fb4b044e01e4476ebedb0e0a6c7d1db47a46028429e5,12,small_world,20945381,61323,3532.1293367301128,,,,,,,,
236,28,0.4569147585936273,humanitarian,0.6483050847457628,59,90,0,74,59,0,2026-08-16T16:17:36.578011+00:00,medium,True,always_act,high,15780.649726367168,778,15,91.4847724437273,0.04113872295301538,752,236,787026,19336,high,90,60,420,private_fragmented,3,4.263256414560601e-14,146.7900903433155,high,0,98639,agent_event_triggered,420,16,0,0,0.0,153,2798,True,5.452634790778045,v7-development_formal_reference-humanitarian-medium-high-high-high-modular-private_fragmented-787026-always_act-event_triggered-agent_event_triggered,30611.00794850285,56,1282283,3721,event_triggered,2026-08-16T16:16:24.343978+00:00,5ba2447bd338e685db34a45b0be5aeb98acffa6f15315ab2eafead92e078b31e,14,modular,1380922,4141,1404.9733903053616,,,,,,,,
266,28,0.45195495927299145,humanitarian,0.5977443609022557,60,93,0,80,60,0,2026-08-16T16:28:06.725647+00:00,medium,True,always_act,high,14723.487103182906,1144,15,81.27436819210259,0.0456391911719509,885,266,787030,20575,high,93,60,420,private_fragmented,3,5.684341886080802e-14,193.75837601146182,high,0,98816,agent_event_triggered,420,16,0,0,0.0,159,3105,True,4.0,v7-development_formal_reference-humanitarian-medium-high-high-high-modular-private_fragmented-787030-always_act-event_triggered-agent_event_triggered,31856.489509682535,47,1441012,4174,event_triggered,2026-08-16T16:26:49.371715+00:00,8292838724ef87c2bc7b5e114f728733482233994bbe51b08c52af344885c83c,15,modular,1539828,4594,1505.7838699593592,,,,,,,,
266,28,0.4538447144038766,humanitarian,0.6353383458646616,57,107,0,88,57,0,2026-08-16T16:35:12.262425+00:00,medium,True,always_act,high,12760.100910448406,1006,15,80.87176176380748,0.04480111648437109,1123,266,787033,20551,high,107,60,419,private_fragmented,3,2.842170943040401e-14,209.7054979677181,high,0,98751,agent_event_triggered,419,16,0,0,0.0,169,3188,True,7.5,v7-development_formal_reference-humanitarian-medium-high-high-high-modular-private_fragmented-787033-always_act-event_triggered-agent_event_triggered,30402.263707201433,49,1460079,4237,event_triggered,2026-08-16T16:34:01.022045+00:00,70c6ca78cc0ad0b331f1d3965a940f76ffcd5c1bd63bb492f9b344ace2250ef2,22,modular,1558830,4656,1414.7704062641237,,,,,,,,
255,28,0.4532747611872871,humanitarian,0.6039215686274509,59,91,0,86,59,0,2026-08-16T16:42:31.805372+00:00,medium,True,always_act,high,15026.44750838803,1286,15,56.32622468618597,0.040026962263125146,1307,255,787036,23121,high,91,60,420,private_fragmented,3,7.105427357601002e-14,184.9668999130371,high,0,98935,agent_event_triggered,420,16,0,0,0.0,154,3868,True,2.5,v7-development_formal_reference-humanitarian-medium-high-high-high-modular-private_fragmented-787036-always_act-event_triggered-agent_event_triggered,30728.086547336217,36,1783537,5164,event_triggered,2026-08-16T16:41:01.461004+00:00,6bf644450937d9bcae07708aeb73372979d1d9ff6100f592ca1f110f445542ad,18,modular,1882472,5584,1423.0855249160843,,,,,,,,
216,28,0.4617166530509202,humanitarian,0.5277777777777778,43,66,0,100,43,0,2026-08-16T18:13:43.494601+00:00,medium,True,always_act,high,13784.98175409301,1771,15,71.17512534764678,0.009345050150196892,1562,216,787047,29003,high,66,60,69,public_shared,3,1.2789769243681803e-13,148.72792896265432,high,0,28654,agent_event_triggered,121,16,0,0,0.0,114,6105,True,2.0,v7-development_formal_reference-humanitarian-medium-high-high-high-modular-public_shared-787047-always_act-event_triggered-agent_event_triggered,28422.953036043764,43,2537789,7658,event_triggered,2026-08-16T18:12:22.324803+00:00,046fe7a41b91eb2aff2b4ef7a7c16b3d18c2489dd5ea3b76dd7da6a3babf0609,10,modular,2566443,7779,1302.582176817633,,,,,,,,
226,28,0.4563261554851267,humanitarian,0.5575221238938053,54,67,0,88,54,0,2026-08-16T18:21:22.267591+00:00,medium,True,always_act,high,17300.68938805184,1406,15,82.85855530309662,0.01424677003879964,1433,226,787050,24959,high,67,60,51,public_shared,3,2.913225216616411e-13,179.70033462289908,high,0,26429,agent_event_triggered,112,16,0,0,0.0,126,5048,True,2.850883549639968,v7-development_formal_reference-humanitarian-medium-high-high-high-modular-public_shared-787050-always_act-event_triggered-agent_event_triggered,32410.138747827423,52,2076724,6273,event_triggered,2026-08-16T18:19:54.751920+00:00,1934ac7be6210bab6eb4051bf2d19bef06e9329a5cebf69b7fc9e17354650b86,22,modular,2103153,6385,1448.5335843194628,,,,,,,,
