cluster_id,panel_id,disruption,n_agents,topology,sweep,phase,window_sweeps,belief_magnetization,action_magnetization,belief_action_overlap,belief_disagreement,reference_energy_per_agent,energy_variance,configuration_entropy,entropy_rate,mean_individual_entropy,mean_individual_uncertainty,total_correlation,total_correlation_raw,total_correlation_null_mean,total_correlation_bias_adjusted,total_correlation_normalized_raw,total_correlation_normalized_adjusted,pairwise_mutual_information_raw,pairwise_mutual_information_null_mean,pairwise_mutual_information_bias_adjusted,edge_mutual_information_raw,edge_mutual_information_null_mean,edge_mutual_information_bias_adjusted,marginal_entropy_sum,null_replicates,mean_pairwise_belief_mutual_information,mean_edge_belief_mutual_information,pairwise_mutual_information,edge_mutual_information,belief_susceptibility,binder_cumulant,spatial_belief_correlation,integrated_correlation_time,path_reversal_divergence,belief_action_lag,mean_confidence,messages_delivered,message_current,wire_bytes,corrupted_messages,macrostate_distance,training_nominal_threshold_95
V14Q_g0,V14Q_g0_nominal,nominal,16,modular,1,baseline,3,0.125,0.25,0.625,0.4583333333333333,-0.9166666666666666,0.6086710069444445,1.574679441748109,1.597811807077259,0.1655685673579328,0.6768296894020063,3.284158631744582,3.284158631744582,2.9025793655104764,0.38157926623410576,0.6198637753514447,0.07202062722471507,0.002611588324611577,0.0020285666590405516,0.0005830216655710253,0.0,0.0,0.0,5.298194155453849,200.0,0.002611588324611577,0.0,0.002611588324611577,0.0,0.057291666666666664,0.5151515151515151,-0.06770833333333331,2.394285714285714,0.12484230553046702,0.3416666666666667,0.5484374999999999,16,1.0,288,0,8.113633954861161,6.283787353197912
V14Q_g0,V14Q_g0_nominal,nominal,16,modular,2,baseline,3,-0.125,-0.125,0.75,0.625,-0.9645833333333336,0.6085740787410395,1.5973827307872295,1.480185794984763,0.18312708726701368,0.6659248746146867,3.719135719535777,3.719135719535777,3.2085376763681994,0.5105980431675774,0.6346575647000313,0.08713177873965426,0.0030973193954983067,0.002003503259446951,0.0010938161360513556,0.0,0.0,0.0,5.860066792544438,200.0,0.0030973193954983067,0.0,0.0030973193954983067,0.0,0.06451612903225806,0.5897435897435898,-0.005208333333333334,2.18494623655914,0.10589034107644432,0.5161290322580645,0.580859375,32,1.0,576,0,8.335820648554208,6.283787353197912
V14Q_g0,V14Q_g0_nominal,nominal,16,modular,3,baseline,3,0.0,0.125,0.875,0.5833333333333334,-1.2854166666666669,1.0274689716312055,1.9387880267997526,1.6752826603926345,0.2096590946693099,0.6595256697128432,4.40793744113721,4.40793744113721,3.851664343374806,0.556273097762404,0.6570096339145429,0.08291333286778588,0.0090072015838685,0.006279804115444778,0.002727397468423722,3.122502256758252e-17,3.122502256758252e-17,0.0,6.709091029417917,200.0,0.0090072015838685,3.122502256758252e-17,0.0090072015838685,3.122502256758252e-17,0.09530141843971632,0.4285714285714286,-0.06249999999999998,8.036645064875561,0.11157781056785487,0.601063829787234,0.5990885416666666,48,1.0,864,0,7.192729537165285,6.283787353197912
V14Q_g0,V14Q_g0_nominal,nominal,16,modular,4,baseline,3,-0.125,-0.125,1.0,0.5416666666666666,-1.6062500000000002,0.8896992895488575,1.5872037647491244,0.9499536415435947,0.15538279365560315,0.647118756259039,3.024979754082625,3.024979754082625,2.500915315595213,0.5240644384874118,0.6083724915166836,0.105397858523707,0.014206654231695755,0.006460684011261217,0.007745970220434538,0.004194331771902415,0.004514035820893225,-0.0003197040489908102,4.972249396979301,200.0,0.014206654231695755,0.004194331771902415,0.014206654231695755,0.004194331771902415,0.14893617021276595,0.4285714285714286,-0.07638888888888888,10.263584686771887,0.0859783530261999,0.7872340425531915,0.6341145833333333,48,1.0,864,0,7.174623604688235,6.283787353197912
V14Q_g0,V14Q_g0_nominal,nominal,16,modular,5,baseline,3,0.0,0.0,1.0,0.5833333333333334,-1.6625,0.6633037825059104,1.4142282773702313,0.7620626854341046,0.07816675171881786,0.6405779253937571,0.8325809851090678,0.8325809851090678,0.652438277019736,0.18014270808933175,0.33285450927078447,0.07201859491413894,0.0011320054381902733,0.0010852971813086682,4.6708256881605086e-05,0.0002800292962326317,0.000611868123494331,-0.0003318388272616993,2.5013360550021715,200.0,0.0011320054381902733,0.0002800292962326317,0.0011320054381902733,0.0002800292962326317,0.06338652482269504,0.2727272727272727,-0.1354166666666666,9.172945673557543,0.07847230633343641,0.8909574468085106,0.6499348958333333,48,1.0,864,0,3.4422678986568984,6.283787353197912
V14Q_g0,V14Q_g0_nominal,nominal,16,modular,6,baseline,3,0.0,0.0,1.0,0.5833333333333334,-1.6625,0.22480419498620952,0.9529051359157916,0.33420099982398366,0.061381303372844476,0.6360121758951723,0.7567697794923594,0.7567697794923594,0.4024169661938366,0.35435281329852275,0.38528109228124896,0.18040551124037946,0.0006126377427309836,0.0005477726229341488,6.486511979683477e-05,1.445602896647339e-17,1.4456028966473387e-17,3.0814879110195774e-33,1.9642017079310232,200.0,0.0006126377427309836,1.445602896647339e-17,0.0006126377427309836,1.445602896647339e-17,0.06205673758865248,0.20000000000000007,-0.1319444444444444,12.395144982471479,0.04266455489973242,0.9680851063829787,0.6595442708333333,48,1.0,864,0,2.1724056950708976,6.283787353197912
V14Q_g0,V14Q_g0_nominal,nominal,16,modular,7,baseline,3,0.0,0.0,1.0,0.5833333333333334,-1.6625,0.007876496010638275,0.48257756517701206,0.13640263982648018,0.030161097823563254,0.6332183866673998,0.48257756517701206,0.48257756517701206,0.083838808431342,0.39873875674567005,0.5,0.41313437001511927,0.0,0.0,0.0,0.0,0.0,0.0,0.9651551303540241,200.0,0.0,0.0,0.0,0.0,0.03889627659574468,-0.7777777777777777,-0.15104166666666663,9.220956970490473,0.022420658952410397,0.9973404255319149,0.6642057291666666,48,1.0,864,0,1.484703619053351,6.283787353197912
V14Q_g0,V14Q_g0_nominal,nominal,16,modular,8,baseline,3,0.0,0.0,1.0,0.5833333333333334,-1.6625,8.056451798001822e-31,-0.0,0.0,0.0,0.6303750442131851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,nan,-0.1666666666666666,1.0,0.0,1.0,0.6679557291666667,48,1.0,864,0,1.3919818110858984,6.283787353197912
V14Q_g0,V14Q_g0_nominal,nominal,16,modular,9,baseline,3,0.0,0.0,1.0,0.5833333333333334,-1.6625,8.056451798001822e-31,-0.0,0.0,0.0,0.6277521859679728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,nan,-0.1666666666666666,1.0,0.0,1.0,0.6710807291666666,48,1.0,864,0,1.3919818110858984,6.283787353197912
V14Q_g0,V14Q_g0_nominal,nominal,16,modular,10,baseline,3,0.0,0.0,1.0,0.5833333333333334,-1.6625,8.056451798001822e-31,-0.0,0.0,0.0,0.6256635621477854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,nan,-0.1666666666666666,1.0,0.0,1.0,0.6732942708333334,48,1.0,864,0,1.3919818110858984,6.283787353197912
