replicate,full_statmech_balanced_accuracy,order_only_balanced_accuracy,simple_uncertainty_balanced_accuracy,full_minus_order_only_balanced_accuracy,full_minus_simple_uncertainty_balanced_accuracy
0,0.20833333333333334,0.16666666666666666,0.2916666666666667,0.041666666666666685,-0.08333333333333334
1,0.2916666666666667,0.125,0.25,0.16666666666666669,0.041666666666666685
2,0.16666666666666666,0.2916666666666667,0.2916666666666667,-0.12500000000000003,-0.12500000000000003
3,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.0,-0.041666666666666685
4,0.2916666666666667,0.375,0.20833333333333334,-0.08333333333333331,0.08333333333333334
5,0.2916666666666667,0.375,0.3333333333333333,-0.08333333333333331,-0.04166666666666663
6,0.3333333333333333,0.20833333333333334,0.2916666666666667,0.12499999999999997,0.04166666666666663
7,0.125,0.20833333333333334,0.125,-0.08333333333333334,0.0
8,0.25,0.2916666666666667,0.20833333333333334,-0.041666666666666685,0.04166666666666666
9,0.25,0.25,0.20833333333333334,0.0,0.04166666666666666
10,0.3333333333333333,0.2916666666666667,0.375,0.04166666666666663,-0.041666666666666685
11,0.25,0.25,0.3333333333333333,0.0,-0.08333333333333331
12,0.4583333333333333,0.25,0.4583333333333333,0.20833333333333331,0.0
13,0.25,0.125,0.25,0.125,0.0
14,0.2916666666666667,0.25,0.20833333333333334,0.041666666666666685,0.08333333333333334
15,0.16666666666666666,0.125,0.125,0.04166666666666666,0.04166666666666666
16,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0
17,0.2916666666666667,0.3333333333333333,0.375,-0.04166666666666663,-0.08333333333333331
18,0.20833333333333334,0.125,0.125,0.08333333333333334,0.08333333333333334
19,0.041666666666666664,0.25,0.041666666666666664,-0.20833333333333334,0.0
20,0.2916666666666667,0.2916666666666667,0.4166666666666667,0.0,-0.125
21,0.3333333333333333,0.16666666666666666,0.2916666666666667,0.16666666666666666,0.04166666666666663
22,0.5416666666666666,0.3333333333333333,0.2916666666666667,0.20833333333333331,0.24999999999999994
23,0.25,0.2916666666666667,0.375,-0.041666666666666685,-0.125
24,0.16666666666666666,0.125,0.375,0.04166666666666666,-0.20833333333333334
25,0.2916666666666667,0.3333333333333333,0.25,-0.04166666666666663,0.041666666666666685
26,0.3333333333333333,0.20833333333333334,0.25,0.12499999999999997,0.08333333333333331
27,0.16666666666666666,0.16666666666666666,0.25,0.0,-0.08333333333333334
28,0.4583333333333333,0.375,0.375,0.08333333333333331,0.08333333333333331
29,0.4583333333333333,0.3333333333333333,0.3333333333333333,0.125,0.125
30,0.16666666666666666,0.25,0.3333333333333333,-0.08333333333333334,-0.16666666666666666
31,0.2916666666666667,0.25,0.20833333333333334,0.041666666666666685,0.08333333333333334
32,0.2916666666666667,0.3333333333333333,0.2916666666666667,-0.04166666666666663,0.0
33,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0
34,0.5416666666666666,0.3333333333333333,0.3333333333333333,0.20833333333333331,0.20833333333333331
35,0.20833333333333334,0.375,0.125,-0.16666666666666666,0.08333333333333334
36,0.25,0.2916666666666667,0.3333333333333333,-0.041666666666666685,-0.08333333333333331
37,0.375,0.4166666666666667,0.375,-0.041666666666666685,0.0
38,0.2916666666666667,0.20833333333333334,0.3333333333333333,0.08333333333333334,-0.04166666666666663
39,0.25,0.4166666666666667,0.25,-0.16666666666666669,0.0
40,0.375,0.3333333333333333,0.2916666666666667,0.041666666666666685,0.08333333333333331
41,0.2916666666666667,0.2916666666666667,0.20833333333333334,0.0,0.08333333333333334
42,0.25,0.20833333333333334,0.25,0.04166666666666666,0.0
43,0.16666666666666666,0.25,0.25,-0.08333333333333334,-0.08333333333333334
44,0.375,0.25,0.3333333333333333,0.125,0.041666666666666685
45,0.16666666666666666,0.25,0.20833333333333334,-0.08333333333333334,-0.041666666666666685
46,0.20833333333333334,0.375,0.25,-0.16666666666666666,-0.04166666666666666
47,0.3333333333333333,0.375,0.3333333333333333,-0.041666666666666685,0.0
48,0.125,0.4166666666666667,0.2916666666666667,-0.2916666666666667,-0.16666666666666669
49,0.5,0.2916666666666667,0.4166666666666667,0.20833333333333331,0.08333333333333331
50,0.25,0.375,0.2916666666666667,-0.125,-0.041666666666666685
51,0.20833333333333334,0.20833333333333334,0.16666666666666666,0.0,0.041666666666666685
52,0.2916666666666667,0.3333333333333333,0.2916666666666667,-0.04166666666666663,0.0
53,0.3333333333333333,0.2916666666666667,0.16666666666666666,0.04166666666666663,0.16666666666666666
54,0.2916666666666667,0.2916666666666667,0.3333333333333333,0.0,-0.04166666666666663
55,0.2916666666666667,0.08333333333333333,0.2916666666666667,0.20833333333333337,0.0
56,0.20833333333333334,0.08333333333333333,0.20833333333333334,0.125,0.0
57,0.3333333333333333,0.2916666666666667,0.25,0.04166666666666663,0.08333333333333331
58,0.25,0.16666666666666666,0.25,0.08333333333333334,0.0
59,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333
60,0.2916666666666667,0.25,0.2916666666666667,0.041666666666666685,0.0
61,0.2916666666666667,0.20833333333333334,0.25,0.08333333333333334,0.041666666666666685
62,0.20833333333333334,0.375,0.2916666666666667,-0.16666666666666666,-0.08333333333333334
63,0.5,0.5416666666666666,0.3333333333333333,-0.04166666666666663,0.16666666666666669
64,0.20833333333333334,0.3333333333333333,0.2916666666666667,-0.12499999999999997,-0.08333333333333334
65,0.25,0.25,0.2916666666666667,0.0,-0.041666666666666685
66,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.0,0.0
67,0.2916666666666667,0.125,0.25,0.16666666666666669,0.041666666666666685
68,0.5,0.4166666666666667,0.375,0.08333333333333331,0.125
69,0.2916666666666667,0.2916666666666667,0.20833333333333334,0.0,0.08333333333333334
70,0.2916666666666667,0.20833333333333334,0.20833333333333334,0.08333333333333334,0.08333333333333334
71,0.25,0.25,0.25,0.0,0.0
72,0.20833333333333334,0.20833333333333334,0.3333333333333333,0.0,-0.12499999999999997
73,0.20833333333333334,0.125,0.125,0.08333333333333334,0.08333333333333334
74,0.16666666666666666,0.25,0.20833333333333334,-0.08333333333333334,-0.041666666666666685
75,0.20833333333333334,0.25,0.3333333333333333,-0.04166666666666666,-0.12499999999999997
76,0.25,0.3333333333333333,0.16666666666666666,-0.08333333333333331,0.08333333333333334
77,0.20833333333333334,0.375,0.16666666666666666,-0.16666666666666666,0.041666666666666685
78,0.20833333333333334,0.20833333333333334,0.16666666666666666,0.0,0.041666666666666685
79,0.125,0.25,0.2916666666666667,-0.125,-0.16666666666666669
80,0.20833333333333334,0.20833333333333334,0.3333333333333333,0.0,-0.12499999999999997
81,0.16666666666666666,0.20833333333333334,0.20833333333333334,-0.041666666666666685,-0.041666666666666685
82,0.16666666666666666,0.25,0.16666666666666666,-0.08333333333333334,0.0
83,0.4166666666666667,0.375,0.375,0.041666666666666685,0.041666666666666685
84,0.2916666666666667,0.3333333333333333,0.375,-0.04166666666666663,-0.08333333333333331
85,0.16666666666666666,0.16666666666666666,0.25,0.0,-0.08333333333333334
86,0.16666666666666666,0.20833333333333334,0.2916666666666667,-0.041666666666666685,-0.12500000000000003
87,0.3333333333333333,0.20833333333333334,0.20833333333333334,0.12499999999999997,0.12499999999999997
