representation,held_out_cluster,class,feature,standardized_coefficient
order_only,V14Q_g1,field_reversal,recovery_belief_action_overlap,-0.023327584748815577
order_only,V14Q_g1,field_reversal,peak_belief_action_overlap,0.13371750985241934
order_only,V14Q_g1,message_corruption,delta_belief_magnetization,0.042881833243637556
order_only,V14Q_g1,message_corruption,recovery_belief_magnetization,0.009595319367790893
order_only,V14Q_g1,message_corruption,peak_belief_magnetization,0.05766145850557268
order_only,V14Q_g1,message_corruption,delta_action_magnetization,0.04156248988338422
order_only,V14Q_g1,message_corruption,recovery_action_magnetization,-0.006479149520918868
order_only,V14Q_g1,message_corruption,peak_action_magnetization,-0.01781177068386018
order_only,V14Q_g1,message_corruption,delta_belief_action_overlap,0.007411048645859099
order_only,V14Q_g1,message_corruption,recovery_belief_action_overlap,0.00214035377314267
order_only,V14Q_g1,message_corruption,peak_belief_action_overlap,-0.05234786609587204
order_only,V14Q_g1,network_partition,delta_belief_magnetization,-0.047376373109817294
order_only,V14Q_g1,network_partition,recovery_belief_magnetization,0.32710785081575294
order_only,V14Q_g1,network_partition,peak_belief_magnetization,-0.0011427864047218882
order_only,V14Q_g1,network_partition,delta_action_magnetization,-0.22605952273478758
order_only,V14Q_g1,network_partition,recovery_action_magnetization,0.29866509972488303
order_only,V14Q_g1,network_partition,peak_action_magnetization,-0.19771396583699793
order_only,V14Q_g1,network_partition,delta_belief_action_overlap,-0.002784081396183051
order_only,V14Q_g1,network_partition,recovery_belief_action_overlap,-0.0030963087066672255
order_only,V14Q_g1,network_partition,peak_belief_action_overlap,-0.046449269191676974
order_only,V14Q_g1,nominal,delta_belief_magnetization,0.12346333683049417
order_only,V14Q_g1,nominal,recovery_belief_magnetization,-0.2748101781949054
order_only,V14Q_g1,nominal,peak_belief_magnetization,0.23503181767313255
order_only,V14Q_g1,nominal,delta_action_magnetization,0.282124613614217
order_only,V14Q_g1,nominal,recovery_action_magnetization,-0.3084191063028955
order_only,V14Q_g1,nominal,peak_action_magnetization,-0.09552703208074877
order_only,V14Q_g1,nominal,delta_belief_action_overlap,0.012326705412345072
order_only,V14Q_g1,nominal,recovery_belief_action_overlap,0.02428353968233997
order_only,V14Q_g1,nominal,peak_belief_action_overlap,-0.03492037456487042
order_only,V14Q_g2,field_reversal,delta_belief_magnetization,0.08771424937168468
order_only,V14Q_g2,field_reversal,recovery_belief_magnetization,-0.24016024821412202
order_only,V14Q_g2,field_reversal,peak_belief_magnetization,-0.2866718945364248
order_only,V14Q_g2,field_reversal,delta_action_magnetization,0.07152041562781872
order_only,V14Q_g2,field_reversal,recovery_action_magnetization,-0.21161667650515545
order_only,V14Q_g2,field_reversal,peak_action_magnetization,-0.20100388428051752
order_only,V14Q_g2,field_reversal,delta_belief_action_overlap,0.06595771771945184
order_only,V14Q_g2,field_reversal,recovery_belief_action_overlap,-0.07839822092850024
order_only,V14Q_g2,field_reversal,peak_belief_action_overlap,0.06595771771945184
order_only,V14Q_g2,message_corruption,delta_belief_magnetization,-0.06487130551568257
order_only,V14Q_g2,message_corruption,recovery_belief_magnetization,0.17472633037994634
order_only,V14Q_g2,message_corruption,peak_belief_magnetization,0.05781835091400755
order_only,V14Q_g2,message_corruption,delta_action_magnetization,-0.07963862711555225
order_only,V14Q_g2,message_corruption,recovery_action_magnetization,0.1891373082655445
order_only,V14Q_g2,message_corruption,peak_action_magnetization,0.1877240494937044
order_only,V14Q_g2,message_corruption,delta_belief_action_overlap,-0.024844822715158227
order_only,V14Q_g2,message_corruption,recovery_belief_action_overlap,0.022344461982867866
order_only,V14Q_g2,message_corruption,peak_belief_action_overlap,-0.024844822715158227
order_only,V14Q_g2,network_partition,delta_belief_magnetization,-0.06935652054925427
order_only,V14Q_g2,network_partition,recovery_belief_magnetization,0.22906512960379272
order_only,V14Q_g2,network_partition,peak_belief_magnetization,-0.032374579403720315
order_only,V14Q_g2,network_partition,delta_action_magnetization,-0.10686562835846192
order_only,V14Q_g2,network_partition,recovery_action_magnetization,0.2439438332854419
order_only,V14Q_g2,network_partition,peak_action_magnetization,-0.08371026051408277
order_only,V14Q_g2,network_partition,delta_belief_action_overlap,0.0012074051983761377
order_only,V14Q_g2,network_partition,recovery_belief_action_overlap,0.044166297909329945
order_only,V14Q_g2,network_partition,peak_belief_action_overlap,0.0012074051983761377
order_only,V14Q_g2,nominal,delta_belief_magnetization,0.046513576693252665
order_only,V14Q_g2,nominal,recovery_belief_magnetization,-0.16363121176961623
order_only,V14Q_g2,nominal,peak_belief_magnetization,0.26122812302613724
order_only,V14Q_g2,nominal,delta_action_magnetization,0.11498383984619506
order_only,V14Q_g2,nominal,recovery_action_magnetization,-0.22146446504583137
order_only,V14Q_g2,nominal,peak_action_magnetization,0.09699009530089579
