cluster_id,panel_id,disruption,baseline_mean_distance,maximum_disruption_distance,maximum_post_quench_distance,integrated_disruption_distance,counter_quench_peak_distance,final_five_sweep_mean_distance,recovery_drop_estimand,fixed_early_five_sweep_mean_distance,fixed_early_minus_late_recovery_distance,recovery_time_sweeps,time_outside_baseline_sweeps,entropy_overshoot,energy_overshoot,macrostate_path_length,energy_entropy_signed_loop_area,belief_action_signed_loop_area,baseline_threshold_95,threshold_source
V14Q_g0,V14Q_g0_field_reversal,field_reversal,3.3920138043571146,111.23173812064744,111.23173812064744,377.1033320554866,103.07414579118891,1.4020763721726446,101.67206941901627,68.1444570515723,66.74238067939966,6.0,13,0.07642612038674301,0.1251388888888887,93.30489872959521,0.828581758120233,0.0078125,5.7488559988786,leave_one_cluster_out_training_nominal
V14Q_g0,V14Q_g0_message_corruption,message_corruption,3.3920138043571146,1.4729482649902301,3.818048899673052,22.09422397485345,3.818048899673052,1.4020763721726446,2.415972527500408,1.4729482649902301,0.07087189281758555,1.0,3,-0.8965821779829347,0.1251388888888887,10.097516608201126,0.8145079399582258,0.0078125,5.7488559988786,leave_one_cluster_out_training_nominal
V14Q_g0,V14Q_g0_network_partition,network_partition,3.3920138043571146,1.4729482649902301,3.818048899673052,22.09422397485345,3.818048899673052,1.4020763721726446,2.415972527500408,1.7524778435475512,0.3504014713749066,1.0,3,-0.8965821779829347,0.1251388888888887,10.97232758987764,0.8420353832015923,0.0078125,5.7488559988786,leave_one_cluster_out_training_nominal
V14Q_g0,V14Q_g0_nominal,nominal,3.3920138043571146,3.624045022496501,3.624045022496501,27.896541991513047,3.0197714644891622,1.4729482649902301,1.546823199498932,1.7524778435475512,0.2795295785573211,1.0,3,0.16730109198623022,0.2063888888888885,14.313049838733908,0.8330017214340195,0.0078125,5.7488559988786,leave_one_cluster_out_training_nominal
V14Q_g1,V14Q_g1_field_reversal,field_reversal,5.670665644739766,112.44088512218521,112.78284910880681,377.63706189465665,112.78284910880681,1.465883021886457,111.31696608692036,72.57686830467676,71.11098528279031,6.0,16,-0.22742627496611934,0.1531944444444442,97.2600677260508,0.8101175983541609,0.046875,6.254243934364358,leave_one_cluster_out_training_nominal
V14Q_g1,V14Q_g1_message_corruption,message_corruption,5.670665644739766,4.567459636011811,4.567459636011811,28.521581491452764,1.747486110613131,1.465883021886457,0.28160308872667406,1.5016793384525013,0.03579631656604443,1.0,6,-0.3450305950729413,0.234444444444444,14.941653698010736,0.783244128220419,0.046875,6.254243934364358,leave_one_cluster_out_training_nominal
V14Q_g1,V14Q_g1_network_partition,network_partition,5.670665644739766,4.643521683675492,4.643521683675492,26.010693256265913,1.747486110613131,1.465883021886457,0.28160308872667406,1.5016793384525013,0.03579631656604443,1.0,6,-0.48688529663581903,0.234444444444444,14.369932328041493,0.7646639491161569,0.046875,6.254243934364358,leave_one_cluster_out_training_nominal
V14Q_g1,V14Q_g1_nominal,nominal,5.670665644739766,4.643521683675492,4.643521683675492,26.010693256265913,1.747486110613131,1.465883021886457,0.28160308872667406,1.5016793384525013,0.03579631656604443,1.0,6,-0.48688529663581903,0.234444444444444,14.369932328041493,0.7646639491161569,0.046875,6.254243934364358,leave_one_cluster_out_training_nominal
V14Q_g2,V14Q_g2_field_reversal,field_reversal,4.60719603109498,101.89303243270359,113.05226001318532,333.76132713547656,113.05226001318532,1.9896902462001118,111.0625697669852,71.807445235486,69.81775498928589,6.0,12,0.4100226720197966,0.26097222222222216,91.9809859844339,0.7261340241189487,0.0078125,6.33188832312639,leave_one_cluster_out_training_nominal
V14Q_g2,V14Q_g2_message_corruption,message_corruption,4.60719603109498,3.62340338149584,3.62340338149584,34.86177171643855,1.989690246200112,1.9896902462001118,2.220446049250313e-16,1.9896902462001118,0.0,1.0,2,-0.5110448637248843,0.26097222222222216,13.897548708427468,0.6816150386814641,0.0078125,6.33188832312639,leave_one_cluster_out_training_nominal
V14Q_g2,V14Q_g2_network_partition,network_partition,4.60719603109498,3.62340338149584,3.62340338149584,34.826483004297096,3.4534219754265925,2.2862356999336497,1.1671862754929427,2.352744363911529,0.06650866397787913,1.0,2,-0.5110448637248843,0.26097222222222216,16.721029076091305,0.5529532075500043,0.0078125,6.33188832312639,leave_one_cluster_out_training_nominal
V14Q_g2,V14Q_g2_nominal,nominal,4.60719603109498,3.5567965223408393,3.5567965223408393,36.20561149571622,3.4534219754265925,2.2862356999336497,1.1671862754929427,2.210177407232462,-0.07605829270118791,1.0,2,-0.5110448637248843,0.26097222222222216,15.311143011786076,0.4670089261841319,0.0078125,6.33188832312639,leave_one_cluster_out_training_nominal
V14Q_g3,V14Q_g3_field_reversal,field_reversal,3.6341541185028055,114.03302182867814,114.03302182867814,393.7141824182841,113.57364409806034,2.1751701499876774,111.39847394807266,73.67048258575004,71.49531243576236,6.0,11,-0.0631169189651749,0.09583333333333344,97.83572071291171,0.6845850275979544,0.0078125,6.409750119008652,leave_one_cluster_out_training_nominal
V14Q_g3,V14Q_g3_message_corruption,message_corruption,3.6341541185028055,3.4024583350403823,3.4024583350403823,34.92356497417151,3.14768094221684,2.3320349875711757,0.8156459546456643,2.3485100059359043,0.016475018364728644,1.0,1,-0.5536218579902887,0.09583333333333344,13.47266868686309,0.5595195494837562,0.0078125,6.409750119008652,leave_one_cluster_out_training_nominal
V14Q_g3,V14Q_g3_network_partition,network_partition,3.6341541185028055,3.2221364895344933,3.2221364895344933,36.0393225789188,2.3485100059359043,2.3485100059359043,0.0,2.0704089508374475,-0.27810105509845684,1.0,1,-0.28640437209612957,0.09583333333333344,14.217257101856621,0.6994534715289227,0.0078125,6.409750119008652,leave_one_cluster_out_training_nominal
V14Q_g3,V14Q_g3_nominal,nominal,3.6341541185028055,2.3485100059359043,3.139026541470948,35.22765008903856,3.139026541470948,2.1751701499876774,0.9638563914832705,2.3485100059359043,0.17333985594822687,1.0,1,-0.9540210324392582,0.09583333333333344,12.551218319589278,0.6845850275979544,0.0078125,6.409750119008652,leave_one_cluster_out_training_nominal
V14Q_g4,V14Q_g4_field_reversal,field_reversal,3.002728024177217,111.73985570170046,112.99616069045663,370.7759759453496,112.99616069045663,0.8054268616844531,112.19073382877218,73.6005990584922,72.79517219680774,6.0,12,-0.16751695043386494,0.07180555555555546,99.0578391516277,0.5624026466107708,0.015625,5.9377263237829006,leave_one_cluster_out_training_nominal
V14Q_g4,V14Q_g4_message_corruption,message_corruption,3.002728024177217,0.8843729347631278,2.73556606491343,13.265594021446919,2.73556606491343,1.2252484329448694,1.5103176319685607,0.8843729347631278,-0.34087549818174157,1.0,2,-1.1405252488035427,0.07180555555555546,13.552137064392046,0.41506374994507667,0.015625,5.9377263237829006,leave_one_cluster_out_training_nominal
