window_sweeps,cluster_id,metric,field_reversal_mean,nominal_mean,field_minus_nominal
3,V14Q_g0,total_correlation_raw,2.961798873161226,0.34579197016040464,2.6160069030008213
3,V14Q_g0,total_correlation_null_mean,2.5247506448652643,0.12798718635297554,2.396763458512289
3,V14Q_g0,total_correlation_bias_adjusted,0.4370482282959617,0.21780478380742913,0.21924344448853256
3,V14Q_g0,total_correlation_normalized_raw,0.2786746418960591,0.2094324035900814,0.06924223830597773
3,V14Q_g0,total_correlation_normalized_adjusted,0.10800057823696692,0.14271171699243926,-0.03471113875547234
3,V14Q_g0,pairwise_mutual_information_raw,0.053086594956201376,0.00018902574884637768,0.052897569207355
3,V14Q_g0,pairwise_mutual_information_null_mean,0.018600597404087725,0.00013452986858982096,0.018466067535497906
3,V14Q_g0,pairwise_mutual_information_bias_adjusted,0.03448599755211365,5.4495880256556745e-05,0.034431501671857094
3,V14Q_g0,edge_mutual_information_raw,0.05644359417806341,6.360652745248294e-19,0.05644359417806341
3,V14Q_g0,edge_mutual_information_null_mean,0.019189580472703846,6.36065274524829e-19,0.019189580472703846
3,V14Q_g0,edge_mutual_information_bias_adjusted,0.037254013705359565,3.0814879110195775e-34,0.037254013705359565
3,V14Q_g1,total_correlation_raw,2.8653833036053062,0.17101994836176362,2.6943633552435426
3,V14Q_g1,total_correlation_null_mean,2.505716448788644,0.03961264067535396,2.46610380811329
3,V14Q_g1,total_correlation_bias_adjusted,0.3596668548166623,0.13140730768640965,0.22825954713025262
3,V14Q_g1,total_correlation_normalized_raw,0.17867464189605906,0.13333333333333333,0.045341308562725724
3,V14Q_g1,total_correlation_normalized_adjusted,0.02433283732686633,0.10254018510813649,-0.07820734778127017
3,V14Q_g1,pairwise_mutual_information_raw,0.053086594956201376,0.0,0.053086594956201376
3,V14Q_g1,pairwise_mutual_information_null_mean,0.018686376486520676,0.0,0.018686376486520676
3,V14Q_g1,pairwise_mutual_information_bias_adjusted,0.0344002184696807,0.0,0.0344002184696807
3,V14Q_g1,edge_mutual_information_raw,0.05354070252257715,0.0,0.05354070252257715
3,V14Q_g1,edge_mutual_information_null_mean,0.018370168982575694,0.0,0.018370168982575694
3,V14Q_g1,edge_mutual_information_bias_adjusted,0.03517053354000146,0.0,0.03517053354000146
3,V14Q_g2,total_correlation_raw,2.744823073377296,0.3136443905044913,2.4311786828728046
