run_id,application,complexity,coupling,fragmentation,network_disruption,topology_family,environment_seed,method,coverage,selected_actions,harm_rate,mean_causal_utility,beneficial_rate
v7-pilots_iteration3-utility_restoration-medium-high-high-high-modular-private_fragmented-776106-always_act-event_triggered,utility_restoration,medium,high,high,high,modular,776106,kpi_confidence,0.6,44,0.8636363636363636,0.1106531209232711,0.13636363636363635
v7-pilots_iteration3-utility_restoration-medium-high-high-high-modular-private_fragmented-776106-always_act-event_triggered,utility_restoration,medium,high,high,high,modular,776106,predictive_uncertainty,0.6,44,0.8636363636363636,-0.09022807820305731,0.13636363636363635
v7-pilots_iteration3-utility_restoration-medium-high-high-high-modular-private_fragmented-776106-always_act-event_triggered,utility_restoration,medium,high,high,high,modular,776106,shannon_js,0.6,44,0.8863636363636364,-0.13627535503315966,0.11363636363636363
v7-pilots_iteration3-utility_restoration-medium-high-high-high-modular-private_fragmented-776106-always_act-event_triggered,utility_restoration,medium,high,high,high,modular,776106,generalized_tsallis_gini,0.6,44,0.8863636363636364,-0.13661021732655867,0.11363636363636363
v7-pilots_iteration3-utility_restoration-medium-high-high-high-modular-private_fragmented-776106-always_act-event_triggered,utility_restoration,medium,high,high,high,modular,776106,graph_disagreement,0.6,44,0.8636363636363636,0.03124812689629002,0.13636363636363635
v7-pilots_iteration3-utility_restoration-medium-high-high-high-modular-private_fragmented-776106-always_act-event_triggered,utility_restoration,medium,high,high,high,modular,776106,combined_generalized_entropic,0.6,44,0.8863636363636364,-0.37715933105481186,0.11363636363636363
v7-pilots_iteration3-utility_restoration-medium-high-low-medium-grid-private_fragmented-776104-always_act-event_triggered,utility_restoration,medium,high,low,medium,grid,776104,kpi_confidence,0.6,29,0.9655172413793104,0.29871950949384873,0.034482758620689655
v7-pilots_iteration3-utility_restoration-medium-high-low-medium-grid-private_fragmented-776104-always_act-event_triggered,utility_restoration,medium,high,low,medium,grid,776104,predictive_uncertainty,0.6,29,0.9655172413793104,0.2967425972401036,0.034482758620689655
v7-pilots_iteration3-utility_restoration-medium-high-low-medium-grid-private_fragmented-776104-always_act-event_triggered,utility_restoration,medium,high,low,medium,grid,776104,shannon_js,0.6,29,0.9655172413793104,0.29668222381850823,0.034482758620689655
v7-pilots_iteration3-utility_restoration-medium-high-low-medium-grid-private_fragmented-776104-always_act-event_triggered,utility_restoration,medium,high,low,medium,grid,776104,generalized_tsallis_gini,0.6,29,0.9655172413793104,0.29713520377208746,0.034482758620689655
v7-pilots_iteration3-utility_restoration-medium-high-low-medium-grid-private_fragmented-776104-always_act-event_triggered,utility_restoration,medium,high,low,medium,grid,776104,graph_disagreement,0.6,29,0.9655172413793104,0.2961124503199169,0.034482758620689655
v7-pilots_iteration3-utility_restoration-medium-high-low-medium-grid-private_fragmented-776104-always_act-event_triggered,utility_restoration,medium,high,low,medium,grid,776104,combined_generalized_entropic,0.6,29,0.9655172413793104,0.29815917791246227,0.034482758620689655
v7-pilots_iteration3-utility_restoration-medium-low-high-medium-modular-private_fragmented-776105-always_act-event_triggered,utility_restoration,medium,low,high,medium,modular,776105,kpi_confidence,0.6,43,0.813953488372093,2.4203588324250114,0.18604651162790697
v7-pilots_iteration3-utility_restoration-medium-low-high-medium-modular-private_fragmented-776105-always_act-event_triggered,utility_restoration,medium,low,high,medium,modular,776105,predictive_uncertainty,0.6,43,0.813953488372093,1.9110075418819394,0.18604651162790697
v7-pilots_iteration3-utility_restoration-medium-low-high-medium-modular-private_fragmented-776105-always_act-event_triggered,utility_restoration,medium,low,high,medium,modular,776105,shannon_js,0.6,43,0.813953488372093,3.6642631234019123,0.18604651162790697
v7-pilots_iteration3-utility_restoration-medium-low-high-medium-modular-private_fragmented-776105-always_act-event_triggered,utility_restoration,medium,low,high,medium,modular,776105,generalized_tsallis_gini,0.6,43,0.813953488372093,3.6646620802419836,0.18604651162790697
v7-pilots_iteration3-utility_restoration-medium-low-high-medium-modular-private_fragmented-776105-always_act-event_triggered,utility_restoration,medium,low,high,medium,modular,776105,graph_disagreement,0.6,43,0.8604651162790697,1.7285958754966744,0.13953488372093023
