application,complexity,method,rows,independent_panels,harm_prevalence,roc_auc,average_precision
humanitarian,medium,kpi_confidence,135,2,0.6666666666666666,0.4138271604938271,0.6152788280897707
humanitarian,medium,predictive_uncertainty,135,2,0.6666666666666666,0.46567901234567904,0.6372309174493018
humanitarian,medium,shannon_js,135,2,0.6666666666666666,0.4792592592592593,0.6655971681533132
humanitarian,medium,generalized_tsallis_gini,135,2,0.6666666666666666,0.48567901234567895,0.6843125799257505
humanitarian,medium,graph_disagreement,135,2,0.6666666666666666,0.4720987654320988,0.653215840070853
humanitarian,medium,combined_generalized_entropic,135,2,0.6666666666666666,0.4718518518518518,0.6627280301468897
humanitarian,small,kpi_confidence,33,1,0.2727272727272727,0.8749999999999999,0.8136277302943971
humanitarian,small,predictive_uncertainty,33,1,0.2727272727272727,0.8425925925925926,0.6434221642554976
humanitarian,small,shannon_js,33,1,0.2727272727272727,0.8055555555555556,0.557843137254902
humanitarian,small,generalized_tsallis_gini,33,1,0.2727272727272727,0.8194444444444445,0.5530034235916589
humanitarian,small,graph_disagreement,33,1,0.2727272727272727,0.8842592592592592,0.772520689187356
humanitarian,small,combined_generalized_entropic,33,1,0.2727272727272727,0.8101851851851852,0.625925925925926
utility_restoration,large,kpi_confidence,75,1,0.9333333333333333,0.7742857142857142,0.9790583753781069
utility_restoration,large,predictive_uncertainty,75,1,0.9333333333333333,0.6657142857142857,0.961258152796868
utility_restoration,large,shannon_js,75,1,0.9333333333333333,0.6371428571428572,0.9595910740759928
utility_restoration,large,generalized_tsallis_gini,75,1,0.9333333333333333,0.6685714285714286,0.964113178799795
utility_restoration,large,graph_disagreement,75,1,0.9333333333333333,0.6428571428571428,0.9553197037058819
utility_restoration,large,combined_generalized_entropic,75,1,0.9333333333333333,0.7571428571428571,0.9765799420209498
utility_restoration,medium,kpi_confidence,247,4,0.8906882591093117,0.6627946127946129,0.9346091086588075
utility_restoration,medium,predictive_uncertainty,247,4,0.8906882591093117,0.7089225589225588,0.9479644119145505
utility_restoration,medium,shannon_js,247,4,0.8906882591093117,0.6237373737373737,0.9117284975889248
utility_restoration,medium,generalized_tsallis_gini,247,4,0.8906882591093117,0.6409090909090909,0.9169282557111006
utility_restoration,medium,graph_disagreement,247,4,0.8906882591093117,0.6695286195286195,0.9450614778485649
utility_restoration,medium,combined_generalized_entropic,247,4,0.8906882591093117,0.6597643097643098,0.9188380966852632
utility_restoration,small,kpi_confidence,47,2,0.8085106382978723,0.49415204678362573,0.7909789698784485
utility_restoration,small,predictive_uncertainty,47,2,0.8085106382978723,0.476608187134503,0.8427727301126264
utility_restoration,small,shannon_js,47,2,0.8085106382978723,0.44736842105263164,0.8101666159004691
utility_restoration,small,generalized_tsallis_gini,47,2,0.8085106382978723,0.45029239766081874,0.8251626478771104
utility_restoration,small,graph_disagreement,47,2,0.8085106382978723,0.3654970760233918,0.776678459681076
utility_restoration,small,combined_generalized_entropic,47,2,0.8085106382978723,0.48830409356725146,0.7741004693976713
