episode_path,ledger_path,run_id,evidence_category,events,ledger_sha256_match,ledger_digest_match,metric_regeneration_match,privacy_boundary_pass,finite_metrics,maximum_reconstructed_conservation_residual,status,mismatch_reasons
raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/events.jsonl.gz,v6-development_dynamic-commercial-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered,formal_or_qualified,705,True,True,True,True,True,0.0,pass,
raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66101-kpi_confidence_crossfit-c050-event_triggered/episode.json.gz,raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66101-kpi_confidence_crossfit-c050-event_triggered/events.jsonl.gz,v6-development_dynamic-commercial-compound-private_fragmented-e66101-kpi_confidence_crossfit-c050-event_triggered,formal_or_qualified,707,True,True,True,True,True,0.0,pass,
raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66102-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66102-combined_generalized_entropic_crossfit-c050-event_triggered/events.jsonl.gz,v6-development_dynamic-commercial-compound-private_fragmented-e66102-combined_generalized_entropic_crossfit-c050-event_triggered,formal_or_qualified,703,True,True,True,True,True,0.0,pass,
raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66102-kpi_confidence_crossfit-c050-event_triggered/episode.json.gz,raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66102-kpi_confidence_crossfit-c050-event_triggered/events.jsonl.gz,v6-development_dynamic-commercial-compound-private_fragmented-e66102-kpi_confidence_crossfit-c050-event_triggered,formal_or_qualified,703,True,True,True,True,True,0.0,pass,
raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66103-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66103-combined_generalized_entropic_crossfit-c050-event_triggered/events.jsonl.gz,v6-development_dynamic-commercial-compound-private_fragmented-e66103-combined_generalized_entropic_crossfit-c050-event_triggered,formal_or_qualified,693,True,True,True,True,True,0.0,pass,
raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66103-kpi_confidence_crossfit-c050-event_triggered/episode.json.gz,raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66103-kpi_confidence_crossfit-c050-event_triggered/events.jsonl.gz,v6-development_dynamic-commercial-compound-private_fragmented-e66103-kpi_confidence_crossfit-c050-event_triggered,formal_or_qualified,693,True,True,True,True,True,0.0,pass,
raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66104-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66104-combined_generalized_entropic_crossfit-c050-event_triggered/events.jsonl.gz,v6-development_dynamic-commercial-compound-private_fragmented-e66104-combined_generalized_entropic_crossfit-c050-event_triggered,formal_or_qualified,683,True,True,True,True,True,0.0,pass,
raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66104-kpi_confidence_crossfit-c050-event_triggered/episode.json.gz,raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66104-kpi_confidence_crossfit-c050-event_triggered/events.jsonl.gz,v6-development_dynamic-commercial-compound-private_fragmented-e66104-kpi_confidence_crossfit-c050-event_triggered,formal_or_qualified,673,True,True,True,True,True,0.0,pass,
raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66105-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66105-combined_generalized_entropic_crossfit-c050-event_triggered/events.jsonl.gz,v6-development_dynamic-commercial-compound-private_fragmented-e66105-combined_generalized_entropic_crossfit-c050-event_triggered,formal_or_qualified,660,True,True,True,True,True,0.0,pass,
raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66105-kpi_confidence_crossfit-c050-event_triggered/episode.json.gz,raw/development_dynamic/v6-development_dynamic-commercial-compound-private_fragmented-e66105-kpi_confidence_crossfit-c050-event_triggered/events.jsonl.gz,v6-development_dynamic-commercial-compound-private_fragmented-e66105-kpi_confidence_crossfit-c050-event_triggered,formal_or_qualified,660,True,True,True,True,True,0.0,pass,
