attempt_id,attempt_number,checkpoint,checkpoint_generated_at,checkpoint_origin_source_branch,checkpoint_origin_source_checksum,checkpoint_origin_source_commit,checkpoint_selection_rule,checkpoint_sha256,ended_at,environment_seed_rule,episodes,failure_reason,final_window_primary_mean,generated_tokens,llm_calls,log,planner,prompt_tokens,protocol_checksum,resumed_existing_checkpoint,rl_training_seed,single_gpu_hours_reserved,source_branch,source_checksum,source_commit,source_dirty,started_at,status,training_method,trigger_normalizer_path,trigger_normalizer_sha256,variant,wall_clock_seconds
no_entropy-seed7301-attempt1,1,checkpoints/coordination_no_entropy_seed7301.pt,2026-08-13T22:54:31.971564+00:00,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,d59232dab18f8a7ebfe6226ff2dc9d2da59773489556044229aed52d4922e7f1,2026-08-13T22:54:32.019457+00:00,independent RandomState(training seed); fixed 192-episode distribution when defaults are used,192,,835.3264040617554,0,0,logs/training/no_entropy_seed7301.jsonl,deterministic mock-v2,0,94a57bc7d74cbab0b98854347bbd80e9349c12ba4b076a863c2f2764e2d7b4a9,False,7301,0.00485817712214258,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,False,2026-08-13T22:54:12.631302+00:00,complete,"PPO, staged planner training",,,no_entropy,17.489437639713287
no_entropy-seed7302-attempt1,1,checkpoints/coordination_no_entropy_seed7302.pt,2026-08-13T22:54:48.856086+00:00,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,c5820545298236be608ccd3bfadd18781a87b48d6bfc35fa66d87408d49f5934,2026-08-13T22:54:48.889589+00:00,independent RandomState(training seed); fixed 192-episode distribution when defaults are used,192,,782.3146645139735,0,0,logs/training/no_entropy_seed7302.jsonl,deterministic mock-v2,0,94a57bc7d74cbab0b98854347bbd80e9349c12ba4b076a863c2f2764e2d7b4a9,False,7302,0.0046389021176016995,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,False,2026-08-13T22:54:32.076430+00:00,complete,"PPO, staged planner training",,,no_entropy,16.700047623366117
no_entropy-seed7303-attempt1,1,checkpoints/coordination_no_entropy_seed7303.pt,2026-08-13T22:55:05.946936+00:00,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,a547d8faec3aec348ce1e52006d727762c0d95bbd2b8b9ea98334b1594231c7d,2026-08-13T22:55:05.984075+00:00,independent RandomState(training seed); fixed 192-episode distribution when defaults are used,192,,856.4110523350853,0,0,logs/training/no_entropy_seed7303.jsonl,deterministic mock-v2,0,94a57bc7d74cbab0b98854347bbd80e9349c12ba4b076a863c2f2764e2d7b4a9,False,7303,0.0046955015531016725,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,False,2026-08-13T22:54:48.955837+00:00,complete,"PPO, staged planner training",,,no_entropy,16.90380559116602
no_entropy-seed7304-attempt1,1,checkpoints/coordination_no_entropy_seed7304.pt,2026-08-13T22:55:22.998155+00:00,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,b6216222c7c3cffd9071ad06e6dc77a2ff1374491fd2987ada674e26d29b8425,2026-08-13T22:55:23.040321+00:00,independent RandomState(training seed); fixed 192-episode distribution when defaults are used,192,,954.2904477469444,0,0,logs/training/no_entropy_seed7304.jsonl,deterministic mock-v2,0,94a57bc7d74cbab0b98854347bbd80e9349c12ba4b076a863c2f2764e2d7b4a9,False,7304,0.004684372180038028,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,False,2026-08-13T22:55:06.055746+00:00,complete,"PPO, staged planner training",,,no_entropy,16.863739848136902
no_entropy-seed7305-attempt1,1,checkpoints/coordination_no_entropy_seed7305.pt,2026-08-13T22:55:40.441656+00:00,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,512bc5d1727ca4e45353d86743e923a86c6addbb01ccf7701810ff24e8a9b64c,2026-08-13T22:55:40.483333+00:00,independent RandomState(training seed); fixed 192-episode distribution when defaults are used,192,,735.581981205982,0,0,logs/training/no_entropy_seed7305.jsonl,deterministic mock-v2,0,94a57bc7d74cbab0b98854347bbd80e9349c12ba4b076a863c2f2764e2d7b4a9,False,7305,0.0047960751959019235,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,False,2026-08-13T22:55:23.095931+00:00,complete,"PPO, staged planner training",,,no_entropy,17.265870705246925
thermo-seed7301-attempt1,1,checkpoints/coordination_thermo_seed7301.pt,2026-08-13T22:56:01.362009+00:00,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,0d0a9e702c5787d9f25bc528cf6e64a1183932667325df09a5f56fc7a6e14427,2026-08-13T22:56:01.400103+00:00,independent RandomState(training seed); fixed 192-episode distribution when defaults are used,192,,902.7475794263368,0,0,logs/training/thermo_seed7301.jsonl,deterministic mock-v2,0,94a57bc7d74cbab0b98854347bbd80e9349c12ba4b076a863c2f2764e2d7b4a9,False,7301,0.005754495579749346,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,False,2026-08-13T22:55:40.556675+00:00,complete,"PPO, staged planner training",,,thermo,20.716184087097645
thermo-seed7302-attempt1,1,checkpoints/coordination_thermo_seed7302.pt,2026-08-13T22:56:22.863714+00:00,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,50601e9333aef37bbef7287a6e5cdca1fc1ef5a2bbc74cb1214728dd8e6f5294,2026-08-13T22:56:22.902132+00:00,independent RandomState(training seed); fixed 192-episode distribution when defaults are used,192,,804.1049208211418,0,0,logs/training/thermo_seed7302.jsonl,deterministic mock-v2,0,94a57bc7d74cbab0b98854347bbd80e9349c12ba4b076a863c2f2764e2d7b4a9,False,7302,0.005863377196300361,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,False,2026-08-13T22:56:01.468985+00:00,complete,"PPO, staged planner training",,,thermo,21.1081579066813
thermo-seed7303-attempt1,1,checkpoints/coordination_thermo_seed7303.pt,2026-08-13T22:56:43.576407+00:00,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,d0e9a0fef9173cfb25cb0bfa9b72f4bffe5c8504afd648173a29c6ffdc7d2bf4,2026-08-13T22:56:43.626726+00:00,independent RandomState(training seed); fixed 192-episode distribution when defaults are used,192,,879.7515489622014,0,0,logs/training/thermo_seed7303.jsonl,deterministic mock-v2,0,94a57bc7d74cbab0b98854347bbd80e9349c12ba4b076a863c2f2764e2d7b4a9,False,7303,0.005692564740570055,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,False,2026-08-13T22:56:22.990509+00:00,complete,"PPO, staged planner training",,,thermo,20.4932330660522
thermo-seed7304-attempt1,1,checkpoints/coordination_thermo_seed7304.pt,2026-08-13T22:57:04.967281+00:00,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,96e917080e0cdf8d04f7edd9881d9b44d1e8c0a48981b1046a9ac57c536ff29b,2026-08-13T22:57:04.999769+00:00,independent RandomState(training seed); fixed 192-episode distribution when defaults are used,192,,948.8009614839082,0,0,logs/training/thermo_seed7304.jsonl,deterministic mock-v2,0,94a57bc7d74cbab0b98854347bbd80e9349c12ba4b076a863c2f2764e2d7b4a9,False,7304,0.0058886631526466875,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,False,2026-08-13T22:56:43.684941+00:00,complete,"PPO, staged planner training",,,thermo,21.199187349528074
thermo-seed7305-attempt1,1,checkpoints/coordination_thermo_seed7305.pt,2026-08-13T22:57:26.072726+00:00,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,e9e9fbbf368481b401472c0640eaf218c62265a5f6b89b7bbe13aa435927e826,2026-08-13T22:57:26.123756+00:00,independent RandomState(training seed); fixed 192-episode distribution when defaults are used,192,,702.1429671492688,0,0,logs/training/thermo_seed7305.jsonl,deterministic mock-v2,0,94a57bc7d74cbab0b98854347bbd80e9349c12ba4b076a863c2f2764e2d7b4a9,False,7305,0.005804459288095434,entropy-triggered-communication,d3c38e08625e134c972149cd4ea98964a2b7de228176479e8d7ef7110089fc87,aeb1dca9e1079bf37288650957e43913694ba7db,False,2026-08-13T22:57:05.079434+00:00,complete,"PPO, staged planner training",,,thermo,20.896053437143564
